entry_day,n,mean_net_bp,median_net_bp,sum_event_net_bp,profit_factor,profit_factor_infinite,win_rate,loss_n,flat_n
2023-01-03,2,-23.637535277401515,-23.637535277401515,-47.27507055480303,0.0,False,0.0,2,0
2023-01-09,1,21.739881727271833,21.739881727271833,21.739881727271833,inf,True,1.0,0,0
2023-01-10,1,-20.63744835219537,-20.63744835219537,-20.63744835219537,0.0,False,0.0,1,0
2023-01-11,1,-49.998153959756024,-49.998153959756024,-49.998153959756024,0.0,False,0.0,1,0
2023-01-15,1,-86.14648245226729,-86.14648245226729,-86.14648245226729,0.0,False,0.0,1,0
2023-01-16,1,32.20052629571814,32.20052629571814,32.20052629571814,inf,True,1.0,0,0
2023-01-21,1,-40.75062757459501,-40.75062757459501,-40.75062757459501,0.0,False,0.0,1,0
2023-01-31,1,-64.79190698605807,-64.79190698605807,-64.79190698605807,0.0,False,0.0,1,0
2023-02-02,1,-23.611700228880466,-23.611700228880466,-23.611700228880466,0.0,False,0.0,1,0
2023-02-05,1,160.1227077919021,160.1227077919021,160.1227077919021,inf,True,1.0,0,0
2023-02-06,1,-50.48859821839001,-50.48859821839001,-50.48859821839001,0.0,False,0.0,1,0
2023-02-07,1,-32.340349454278424,-32.340349454278424,-32.340349454278424,0.0,False,0.0,1,0
2023-02-09,1,-55.74378147006785,-55.74378147006785,-55.74378147006785,0.0,False,0.0,1,0
2023-02-12,1,-66.1821527138917,-66.1821527138917,-66.1821527138917,0.0,False,0.0,1,0
2023-02-15,1,212.39763813269752,212.39763813269752,212.39763813269752,inf,True,1.0,0,0
2023-02-16,1,41.17303885821435,41.17303885821435,41.17303885821435,inf,True,1.0,0,0
2023-02-20,1,-46.99651696722927,-46.99651696722927,-46.99651696722927,0.0,False,0.0,1,0
2023-02-21,1,-97.06993735226541,-97.06993735226541,-97.06993735226541,0.0,False,0.0,1,0
2023-02-22,1,50.610551472585215,50.610551472585215,50.610551472585215,inf,True,1.0,0,0
2023-02-23,1,54.31500504353927,54.31500504353927,54.31500504353927,inf,True,1.0,0,0
2023-02-26,1,-56.55828060091459,-56.55828060091459,-56.55828060091459,0.0,False,0.0,1,0
2023-02-28,1,-48.14440576142774,-48.14440576142774,-48.14440576142774,0.0,False,0.0,1,0
2023-03-01,1,-118.61054614742405,-118.61054614742405,-118.61054614742405,0.0,False,0.0,1,0
2023-03-03,1,-104.23618634886276,-104.23618634886276,-104.23618634886276,0.0,False,0.0,1,0
2023-03-11,1,-154.57296251901064,-154.57296251901064,-154.57296251901064,0.0,False,0.0,1,0
2023-03-14,1,67.42377926796108,67.42377926796108,67.42377926796108,inf,True,1.0,0,0
2023-03-18,1,-92.1432606821093,-92.1432606821093,-92.1432606821093,0.0,False,0.0,1,0
