stage,value,events,excluded_results,rejected_entries,censored,mean_net_bp,median_net_bp,profit_factor,win_rate,p95_net_bp,worst_fold_bp,positive_folds,minimum_fold_events,robust_score_bp,net_week_cluster_p,net_month_cluster_p,extra_10bp_mean_net_bp,leave_top_two_mean_net_bp,range_feature_auc,range_top_decile_net_bp,range_top_decile_gross_bp,mean_hold_hours,eligible
exit,15m_first,251,0,0,0,-15.369866315322785,-36.71761198535737,0.6794253961150191,0.24701195219123506,203.31698346829518,-27.24585676367809,0,55,-20.948767172134147,0.9753,0.9938,-25.369866315322785,-20.1908819743141,0.6336405529953917,5.295959732359187,25.29595973235919,5.689907038512616,True
exit,15m_two,251,0,0,0,-18.439595226664252,-42.299356244828154,0.636879758154808,0.26294820717131473,200.7498128080798,-31.78582583790729,0,55,-29.67447003573671,0.9894,0.9912,-28.439595226664252,-23.49550191917362,0.6266175266175266,4.430474399001178,24.43047439900118,6.3067729083665345,True
exit,15m_slope,251,0,0,0,-15.96583101734449,-41.61208893806887,0.6963897342503464,0.2549800796812749,192.87027668606572,-29.578537885505074,1,55,-35.41279379125827,0.9692,0.9618,-25.96583101734449,-21.764732488347907,0.6519886363636364,8.313812494142285,28.31381249414229,7.939575033200531,True
exit,15m_half,251,0,0,0,-16.904730770993517,-41.06145999497211,0.655487291455091,0.26294820717131473,201.5400222235633,-29.51584130079269,0,55,-25.152745665280747,0.9864,0.9931,-26.904730770993517,-21.148021706090123,0.6258804258804259,4.863217065680181,24.863217065680185,6.3067729083665345,True
exit,5m_native40,251,0,0,0,-14.021357516515367,-33.09611812897016,0.629418945734669,0.24701195219123506,177.37030227018613,-24.562819689803334,0,55,-13.560780441904726,0.987,0.9974,-24.021357516515366,-17.033017472832714,0.565284178187404,-18.513292256400263,1.486707743599739,2.483731739707835,True
exit,5m_clock120,251,0,0,0,-18.5562225724831,-33.160341181117644,0.5955303012267341,0.22709163346613545,195.83971608888916,-26.886547359101105,0,55,-21.79443461492868,0.9953,0.9995,-28.5562225724831,-22.78914091214222,0.6624163501537349,0.3752109510014907,20.375210951001495,5.078685258964144,True
exit,1h_first,251,0,0,0,-13.980504364339707,-60.203785992154465,0.7858164308840007,0.20717131474103587,334.0087385722923,-50.629412843214595,1,55,-36.38806393990198,0.8714,0.8532,-23.98050436433971,-23.946317550072667,0.6504638577502899,99.26412508375452,119.26412508375454,16.35258964143426,True
exit,fixed3R,251,0,0,0,-11.349459765082269,-66.76576961331614,0.8515188989645472,0.2868525896414343,332.19680288308354,-31.68820714112162,1,55,-30.67401776844268,0.7926,0.7546,-21.34945976508227,-18.89372067104115,0.5321229050279329,71.44723179999997,91.44723179999998,16.105577689243027,True
ma_kind,SMA,251,0,0,0,-14.021357516515367,-33.09611812897016,0.629418945734669,0.24701195219123506,177.37030227018613,-24.562819689803334,0,55,-13.560780441904726,0.987,0.9974,-24.021357516515366,-17.033017472832714,0.565284178187404,-18.513292256400263,1.486707743599739,2.483731739707835,True
ma_kind,EMA,308,0,0,0,-21.16545500039217,-37.90207505812547,0.5225812535900708,0.21753246753246752,158.08176710644133,-27.907133309456523,0,66,-28.01659002483475,1.0,0.9998,-31.16545500039217,-25.19792716005304,0.5666068000247724,-37.753727797794255,-17.753727797794248,2.5086580086580086,True
ma_length,20,425,0,0,0,-22.519991241539994,-36.96577063750482,0.4892772851978296,0.2188235294117647,139.11868066784987,-26.243614094182146,0,98,-24.103472080622,1.0,1.0,-32.51999124154,-25.597718780495047,0.5821026039642441,-35.69453325649793,-15.694533256497925,2.460392156862745,True
ma_length,30,319,0,0,0,-23.151486814427585,-35.27151948715555,0.42885654428843795,0.20689655172413793,143.55879953249277,-32.732863634465794,0,65,-27.852565095665064,1.0,1.0,-33.151486814427585,-25.483647517794225,0.5720445562342795,-32.584640792879284,-12.584640792879277,2.472048066875653,True
ma_length,40,251,0,0,0,-14.021357516515367,-33.09611812897016,0.629418945734669,0.24701195219123506,177.37030227018613,-24.562819689803334,0,55,-13.560780441904726,0.987,0.9974,-24.021357516515366,-17.033017472832714,0.565284178187404,-18.513292256400263,1.486707743599739,2.483731739707835,True
ma_length,60,226,0,0,0,-14.402558145142136,-38.50686835218607,0.653060497124605,0.23008849557522124,178.22200915739134,-27.11794789474546,1,46,-29.796643852446245,0.9752,0.9793,-24.402558145142137,-19.850820141328413,0.5385720601237842,-50.337857011482015,-30.337857011482015,2.5261799410029497,True
shape,large_or_engulf,251,0,0,0,-14.021357516515367,-33.09611812897016,0.629418945734669,0.24701195219123506,177.37030227018613,-24.562819689803334,0,55,-13.560780441904726,0.987,0.9974,-24.021357516515366,-17.033017472832714,0.565284178187404,-18.513292256400263,1.486707743599739,2.483731739707835,True
