event_id,mother_decision_time,before,after,difference
2023-01-02T02:00:00+00:00_L,2023-01-02 03:00:00+00:00,0.0026062913562765093,0.002435087791902453,-0.00017120356437405615
2023-01-06T00:00:00+00:00_L,2023-01-06 01:00:00+00:00,,,
2023-01-08T14:00:00+00:00_L,2023-01-08 15:00:00+00:00,,,
2023-01-08T20:00:00+00:00_L,2023-01-08 21:00:00+00:00,,,
2023-01-18T15:00:00+00:00_S,2023-01-18 16:00:00+00:00,,,
2023-01-23T10:00:00+00:00_L,2023-01-23 11:00:00+00:00,,,
2023-01-23T20:00:00+00:00_L,2023-01-23 21:00:00+00:00,-0.0016718531281247158,0.0018247791028941735,0.0034966322310188893
2023-01-25T20:00:00+00:00_L,2023-01-25 21:00:00+00:00,0.003139111375741484,0.0018349498495130456,-0.0013041615262284383
2023-01-27T16:00:00+00:00_L,2023-01-27 17:00:00+00:00,,,
2023-01-28T20:00:00+00:00_S,2023-01-28 21:00:00+00:00,,,
2023-01-30T09:00:00+00:00_S,2023-01-30 10:00:00+00:00,,,
2023-02-05T11:00:00+00:00_S,2023-02-05 12:00:00+00:00,0.017495909765348205,0.017495909765348205,0.0
2023-02-07T09:00:00+00:00_L,2023-02-07 10:00:00+00:00,,,
2023-02-11T21:00:00+00:00_L,2023-02-11 22:00:00+00:00,,,
2023-02-13T01:00:00+00:00_S,2023-02-13 02:00:00+00:00,,,
2023-02-13T08:00:00+00:00_S,2023-02-13 09:00:00+00:00,,,
2023-02-14T08:00:00+00:00_S,2023-02-14 09:00:00+00:00,-0.0005406890795326045,-0.0009989468695305406,-0.0004582577899979361
2023-02-16T23:00:00+00:00_S,2023-02-17 00:00:00+00:00,,,
2023-02-19T17:00:00+00:00_S,2023-02-19 18:00:00+00:00,,,
2023-02-20T09:00:00+00:00_L,2023-02-20 10:00:00+00:00,,,
2023-02-23T02:00:00+00:00_L,2023-02-23 03:00:00+00:00,-0.0026291999682584257,-0.0012963065415567687,0.001332893426701657
2023-02-23T11:00:00+00:00_S,2023-02-23 12:00:00+00:00,-0.00985988207504707,-0.004647111300834542,0.005212770774212528
2023-02-28T19:00:00+00:00_S,2023-02-28 20:00:00+00:00,0.002901897659849384,-0.00025710937055049366,-0.0031590070303998776
2023-03-07T01:00:00+00:00_L,2023-03-07 02:00:00+00:00,0.000847214121153776,0.00218528082478738,0.0013380667036336038
2023-03-11T01:00:00+00:00_L,2023-03-11 02:00:00+00:00,,,
2023-03-11T07:00:00+00:00_S,2023-03-11 08:00:00+00:00,-0.010811244605109627,-0.008177200465983914,0.002634044139125713
2023-03-19T14:00:00+00:00_L,2023-03-19 15:00:00+00:00,0.030896946408925926,0.028545721622506272,-0.002351224786419654
2023-03-20T18:00:00+00:00_L,2023-03-20 19:00:00+00:00,-0.007217796414120348,-0.006104060828296695,0.0011137355858236529
2023-04-02T04:00:00+00:00_S,2023-04-02 05:00:00+00:00,-0.0005606929433570329,-0.0005606929433570329,0.0
2023-04-03T08:00:00+00:00_L,2023-04-03 09:00:00+00:00,9.085622482070876e-05,0.0014038128478398213,0.0013129566230191125
2023-04-03T14:00:00+00:00_S,2023-04-03 15:00:00+00:00,-0.0023457479551019325,-0.0014285953903759494,0.0009171525647259831
2023-04-09T06:00:00+00:00_S,2023-04-09 07:00:00+00:00,-0.0006240187710246556,-0.00032455795126714237,0.00029946081975751326
2023-04-09T18:00:00+00:00_L,2023-04-09 19:00:00+00:00,0.006055605327690413,0.01056239367764252,0.004506788349952107
