outcome,direction,fold,n,mean_net_bp,median_net_bp,sum_event_net_bp,profit_factor,profit_factor_infinite,win_rate,loss_n,flat_n
hard_stop,-1,2023H1,4,-67.94051984846726,-69.3275305016161,-271.76207939386904,0.0,False,0.0,4,0
hard_stop,-1,2023H2,10,-52.34544193764078,-46.865328953034066,-523.4544193764077,0.0,False,0.0,10,0
hard_stop,-1,2024H1,6,-115.628320271323,-78.659754992616,-693.7699216279381,0.0,False,0.0,6,0
hard_stop,-1,2024H2,7,-97.1335950252751,-106.76312874698944,-679.9351651769257,0.0,False,0.0,7,0
hard_stop,1,2023H1,9,-84.84345474297538,-60.203785992154465,-763.5910926867784,0.0,False,0.0,9,0
hard_stop,1,2023H2,8,-64.0641428176844,-63.96913867049157,-512.5131425414752,0.0,False,0.0,8,0
hard_stop,1,2024H1,9,-120.00716648209195,-115.31182795698867,-1080.0644983388274,0.0,False,0.0,9,0
hard_stop,1,2024H2,10,-91.86157994777001,-94.3509111269236,-918.6157994777,0.0,False,0.0,10,0
transition_colour_exit,-1,2023H1,20,-29.21597616511666,-46.249902377478705,-584.3195233023332,0.46599205043952757,False,0.25,15,0
transition_colour_exit,-1,2023H2,29,-17.951251900732554,-28.41328468970781,-520.5863051212441,0.5065749430597862,False,0.20689655172413793,23,0
transition_colour_exit,-1,2024H1,21,-18.42740856108005,-28.593563227301537,-386.97557978268105,0.5779234388360256,False,0.2857142857142857,15,0
transition_colour_exit,-1,2024H2,24,11.698951003116537,-28.833387635622802,280.7748240747969,1.3185642770412498,False,0.375,15,0
transition_colour_exit,1,2023H1,22,40.69980088789657,-12.529933725612379,895.3956195337246,2.382700207489275,False,0.5,11,0
transition_colour_exit,1,2023H2,19,18.8665489213834,-12.805984956385501,358.46442950628466,1.8423471388130899,False,0.42105263157894735,11,0
transition_colour_exit,1,2024H1,19,21.088522113332328,-23.39327472340001,400.6819201533142,1.6876333734146616,False,0.3684210526315789,12,0
transition_colour_exit,1,2024H2,34,24.059359696162083,-31.309168752816067,818.0182296695107,1.5580558644981972,False,0.35294117647058826,22,0
