arm,events,mean_net_bp,median_net_bp,win_rate,profit_factor,equal_risk_1pct_return,max_drawdown,tp,sl,protected_stop,timeout,matched_events,matched_control_excess_bp,paired_signflip_p_one_sided
baseline,177,-14.307710839509998,-39.050727557942125,0.2994350282485876,0.6176556477579283,-0.708876439266945,-0.7146191117789179,44,117,0,16,177,8.911967428449595,0.06985930140698593
k1_colour_only,77,-13.221435885581265,-37.227201863365686,0.3116883116883117,0.6338679158070772,-0.39961735101469253,-0.4114604355328668,18,48,0,11,77,9.541153101176517,0.14879851201487984
path_only,117,-17.661592759203558,-39.11204608890493,0.27350427350427353,0.5457459245628017,-0.6067717312002898,-0.6145285103647128,26,78,0,13,117,5.4767418083001775,0.23134768652313478
k2_wick_only,148,-17.678217514007326,-39.25315086825141,0.28378378378378377,0.5382398648980325,-0.6889779799166349,-0.695113167329339,35,100,0,13,148,7.758817947640939,0.1070689293107069
k1_body_065_only,136,-7.808705652155802,-38.33439052475183,0.35294117647058826,0.7835488997890157,-0.46524777874857226,-0.5202279828116112,40,85,0,11,136,17.984404301897182,0.004939950600493995
fixed_bundle,35,-24.568086573341738,-46.67332404803658,0.2571428571428571,0.39825233036566104,-0.28329676465482867,-0.28329676465482867,4,24,0,7,35,9.080245981140585,0.2147478525214748
fixed_bundle_without_k1_colour,79,-13.316216026503039,-39.94480711211555,0.31645569620253167,0.659273733870642,-0.3872354798755012,-0.3872354798755012,20,52,0,7,79,15.499828037854883,0.045759542404575956
fixed_bundle_without_path,49,-21.409219835311944,-44.67937981989188,0.2857142857142857,0.4486851298455262,-0.3335232674038907,-0.3335232674038907,9,33,0,7,49,9.410883606210362,0.17252827471725282
fixed_bundle_without_k2_wick,38,-24.494526757321832,-43.93071080010301,0.23684210526315788,0.37942444167981,-0.31787558908358193,-0.31787558908358193,4,26,0,8,38,-0.9549091281768981,0.5304646953530465
fixed_bundle_without_k1_body_065,49,-16.516164434832202,-40.49858614134759,0.32653061224489793,0.547505846867878,-0.29013695325721567,-0.3041396365011634,10,30,0,9,49,12.387996213030059,0.0995290047099529
fixed_plus_fee,31,-25.268973672659445,-48.79898118177127,0.25806451612903225,0.41454658401288125,-0.2090219044972893,-0.2090219044972893,3,21,0,7,31,9.225742411000212,0.23855761442385576
final,31,-23.15172704913092,-47.73355831814373,0.2903225806451613,0.4359308213634252,-0.19747954561336345,-0.19747954561336345,3,20,1,7,31,11.589733928506393,0.1822581774182258
