feature,bin,lower,upper,n,mean_net_bp,median_net_bp,sum_event_net_bp,profit_factor,profit_factor_infinite,win_rate,loss_n,flat_n
body_ratio,"[-inf, 0.5)",-inf,0.5,3,-19.85718715469781,-29.784946236559566,-59.57156146409343,0.1288380689043603,False,0.3333333333333333,2,0
body_ratio,"[0.5, 0.65)",0.5,0.65,14,-8.573045817990153,-27.10019860749256,-120.02264145186214,0.7315801995391386,False,0.35714285714285715,9,0
body_ratio,"[0.65, 0.8)",0.65,0.8,53,-4.494130257840022,-29.048197872136843,-238.18890366552117,0.8789913989283519,False,0.32075471698113206,36,0
body_ratio,"[0.8, 1.0)",0.8,1.0,39,-7.787833118667242,-33.52564625771047,-303.72549162802244,0.8018822079036283,False,0.2564102564102564,29,0
body_ratio,"[1.0, inf)",1.0,inf,0,,,0.0,,False,,0,0
body_ratio,missing,,,0,,,0.0,,False,,0,0
range_atr,"[-inf, 0.65)",-inf,0.65,0,,,0.0,,False,,0,0
range_atr,"[0.65, 1.0)",0.65,1.0,31,1.5644442759612556,-28.356020377908724,48.49777255479892,1.05803318492429,False,0.2903225806451613,22,0
range_atr,"[1.0, 1.5)",1.0,1.5,31,-22.010788157869186,-34.42166910688103,-682.3344328939447,0.37330504477206733,False,0.16129032258064516,26,0
range_atr,"[1.5, 2.0)",1.5,2.0,20,25.452788324427107,6.729739599551938,509.0557664885422,2.0629719200789616,False,0.55,9,0
range_atr,"[2.0, 3.0)",2.0,3.0,15,-7.751576708539271,-68.7371512481638,-116.27365062808906,0.8729601943446135,False,0.3333333333333333,10,0
range_atr,"[3.0, inf)",3.0,inf,12,-40.03783781090055,-41.09011201409383,-480.45405373080655,0.3119863039410443,False,0.25,9,0
range_atr,missing,,,0,,,0.0,,False,,0,0
risk_pct,"[-inf, 0.002)",-inf,0.002,8,10.027485356592106,-22.52933126156152,80.21988285273684,1.6325760242728218,False,0.375,5,0
risk_pct,"[0.002, 0.004)",0.002,0.004,20,-12.838700549879553,-32.99922529175268,-256.77401099759106,0.5010370397514942,False,0.25,15,0
risk_pct,"[0.004, 0.008)",0.004,0.008,30,-15.8697135944579,-35.84645181035738,-476.0914078337371,0.53754262461466,False,0.16666666666666666,25,0
risk_pct,"[0.008, 0.015)",0.008,0.015,25,2.622598790183135,-28.19955521501048,65.56496975457836,1.0707591822531592,False,0.4,15,0
risk_pct,"[0.015, 0.03)",0.015,0.03,24,-10.965412093794402,-49.56809734277588,-263.1698902510656,0.8131829864965602,False,0.375,15,0
risk_pct,"[0.03, inf)",0.03,inf,2,64.37092913278987,64.37092913278987,128.74185826557974,12.990894096495264,False,0.5,1,0
risk_pct,missing,,,0,,,0.0,,False,,0,0
fee_to_risk,"[-inf, 0.1)",-inf,0.1,13,-6.498464450983124,-31.989543734454156,-84.4800378627806,0.8847603611118003,False,0.38461538461538464,8,0
fee_to_risk,"[0.1, 0.2)",0.1,0.2,28,-1.4415540718320523,-46.8101153336342,-40.36351401129746,0.971569972660276,False,0.35714285714285715,18,0
fee_to_risk,"[0.2, 0.4)",0.2,0.4,30,-13.446297823568418,-33.03030003614314,-403.38893470705256,0.5747935147169131,False,0.26666666666666666,22,0
fee_to_risk,"[0.4, 0.8)",0.4,0.8,24,-7.4577147758834395,-33.5760286040193,-178.98515462120255,0.7347591497486785,False,0.20833333333333334,19,0
fee_to_risk,"[0.8, 1.0)",0.8,1.0,6,-15.751806643317083,-18.99160009661059,-94.5108398599025,0.1695603864990679,False,0.3333333333333333,4,0
fee_to_risk,"[1.0, inf)",1.0,inf,8,10.027485356592106,-22.52933126156152,80.21988285273684,1.6325760242728218,False,0.375,5,0
fee_to_risk,missing,,,0,,,0.0,,False,,0,0
extension_atr,"[-inf, 0.0)",-inf,0.0,0,,,0.0,,False,,0,0
extension_atr,"[0.0, 0.25)",0.0,0.25,2,121.09804971409565,121.09804971409565,242.1960994281913,inf,True,1.0,0,0
extension_atr,"[0.25, 0.5)",0.25,0.5,27,3.528515831670816,-29.350867349964265,95.26992745511203,1.145075975624409,False,0.25925925925925924,20,0
extension_atr,"[0.5, 1.0)",0.5,1.0,43,-21.77014054958157,-33.52564625771047,-936.1160436320076,0.39847340349193144,False,0.2558139534883721,32,0
extension_atr,"[1.0, 1.5)",1.0,1.5,16,39.32343229636844,-3.846559147103173,629.174916741895,2.083051887550224,False,0.5,8,0
extension_atr,"[1.5, inf)",1.5,inf,21,-35.81111896203285,-55.650345721816024,-752.0334982026898,0.38513843268753967,False,0.23809523809523808,16,0
extension_atr,missing,,,0,,,0.0,,False,,0,0
cross_count24,"[-inf, 1.0)",-inf,1.0,12,8.048683454711488,-26.913582638035653,96.58420145653785,1.284571392297025,False,0.3333333333333333,8,0
cross_count24,"[1.0, 3.0)",1.0,3.0,51,-20.139512957721255,-33.52564625771047,-1027.115160843784,0.5421413880856453,False,0.2549019607843137,38,0
cross_count24,"[3.0, 6.0)",3.0,6.0,32,9.215088661048643,-30.323378317607656,294.8828371535566,1.2945850119037026,False,0.34375,21,0
cross_count24,"[6.0, 12.0)",6.0,12.0,14,-6.132891141129251,-19.686478763338826,-85.8604759758095,0.8018132293109511,False,0.35714285714285715,9,0
cross_count24,"[12.0, 24.0)",12.0,24.0,0,,,0.0,,False,,0,0
cross_count24,"[24.0, inf)",24.0,inf,0,,,0.0,,False,,0,0
cross_count24,missing,,,0,,,0.0,,False,,0,0
efficiency24,"[-inf, 0.1)",-inf,0.1,59,-9.968850727891219,-29.350867349964265,-588.1621929455819,0.7185959963657638,False,0.2711864406779661,43,0
efficiency24,"[0.1, 0.2)",0.1,0.2,38,-5.529161251953762,-28.419536799737504,-210.10812757424293,0.8551650467546031,False,0.3157894736842105,26,0
efficiency24,"[0.2, 0.4)",0.2,0.4,11,-5.701524670414553,-43.429550373534894,-62.71677137456008,0.8682901751323575,False,0.36363636363636365,7,0
efficiency24,"[0.4, 0.6)",0.4,0.6,0,,,0.0,,False,,0,0
efficiency24,"[0.6, 0.8)",0.6,0.8,1,139.47849368488588,139.47849368488588,139.47849368488588,inf,True,1.0,0,0
efficiency24,"[0.8, inf)",0.8,inf,0,,,0.0,,False,,0,0
efficiency24,missing,,,0,,,0.0,,False,,0,0
