event_id,signal_time,decision_time,direction,signal_open,signal_high,signal_low,signal_close,initial_stop,signal_atr,ma,ma_side,body_ratio,range_atr,close_location,volume_ratio,ma_slope_atr,cross_count24,efficiency24,is_engulf,breakout20,extension_atr,fold,context_available,context_side,context_slope_atr,context_valid,entry_time,entry_price,exit_time,exit_price,closed,outcome,gross_return,net_return,net_r,risk_pct,risk_atr,hold_minutes,partial_fraction,exit_remaining_fraction,partial_exit_time,partial_exit_price,realised_partial_gross_return,marked_gross_return,marked_net_return,max_favourable_r,max_adverse_r,bars_to_first_positive,funding_modelled,diagnostic_eligible,net_loser,hard_stop,colour_exit,fees_flip,never_positive,giveback,early_30min,fee_to_risk,observed_cost_fraction,primary_loss_reason,entry_day,entry_month,diagnostic_explanation
2023-01-06T00:00:00+00:00_L,2023-01-06 00:00:00+00:00,2023-01-06 01:00:00+00:00,1,16834.3,16871.9,16827.5,16861.5,16827.5,39.56168481790722,16837.93875,1,0.6126126126126089,1.1222980063757098,0.7657657657657406,0.7215829893367641,-0.015777049676726107,7.0,0.08166969147005507,True,False,0.5955572951062503,2023H1,2023-01-06 00:00:00+00:00,1,0.06868257238361704,True,2023-01-06 01:00:00+00:00,16861.5,2023-01-06 01:55:00+00:00,16831.3,True,colour_exit,-0.001791062479613359,-0.003791062479613359,-1.880088235294137,0.002016427957180559,0.8594173922696594,55.0,0.0,1.0,,,0.0,-0.001791062479613359,-0.003791062479613359,0.04411764705882353,-0.8911764705882139,0.0,False,True,True,False,True,False,False,False,False,0.9918529411764707,0.002,other_loss,2023-01-06,2023-01,"other_loss; outcome=colour_exit; gross=-17.91bp; net=-37.91bp; held=55min; recorded MFE=0.044R; flags=colour_exit. Descriptive, not a proven causal mechanism."
2023-01-08T14:00:00+00:00_L,2023-01-08 14:00:00+00:00,2023-01-08 15:00:00+00:00,1,16931.0,16956.5,16931.0,16954.7,16931.0,19.82102649627746,16937.8875,1,0.9294117647059109,1.286512583230192,0.9294117647059109,1.7690023747522288,-0.008723900686924524,1.0,0.06252938410907018,False,False,0.8482154041395139,2023H1,2023-01-08 12:00:00+00:00,1,0.13660836200177554,True,2023-01-08 15:00:00+00:00,16954.7,2023-01-08 16:30:00+00:00,16931.0,True,hard_stop,-0.001397842486154377,-0.003397842486154377,-2.430776371308011,0.0013978424861543245,1.195699930296333,90.0,0.0,1.0,,,0.0,-0.001397842486154377,-0.003397842486154377,3.016877637130709,-1.0,0.0,False,True,True,True,False,False,False,True,False,1.430776371307973,0.002,hard_stop,2023-01-08,2023-01,"hard_stop; outcome=hard_stop; gross=-13.98bp; net=-33.98bp; held=90min; recorded MFE=3.017R; flags=hard_stop, giveback. Descriptive, not a proven causal mechanism."
2023-01-23T10:00:00+00:00_L,2023-01-23 10:00:00+00:00,2023-01-23 11:00:00+00:00,1,22787.8,22959.0,22769.9,22912.9,22769.9,158.52996197084414,22817.5,1,0.6615547329455481,1.192834450025142,0.756213643574834,1.4841925320372957,-0.06372349559505047,3.0,0.019523809523809388,False,False,0.6017789874796465,2023H1,2023-01-23 08:00:00+00:00,1,0.11739459958822601,True,2023-01-23 11:00:00+00:00,22912.1,2023-01-23 13:15:00+00:00,22888.3,True,colour_exit,-0.0010387524495789613,-0.0030387524495789613,-0.48962165963431464,0.006206327660930124,0.8969913209601957,135.0,0.0,1.0,,,0.0,-0.0010387524495789613,-0.0030387524495789613,0.4922644163150593,-0.7327707454289678,0.0,False,True,True,False,True,False,False,False,False,0.3222517580872077,0.002,other_loss,2023-01-23,2023-01,"other_loss; outcome=colour_exit; gross=-10.39bp; net=-30.39bp; held=135min; recorded MFE=0.492R; flags=colour_exit. Descriptive, not a proven causal mechanism."
2023-01-23T20:00:00+00:00_L,2023-01-23 20:00:00+00:00,2023-01-23 21:00:00+00:00,1,22795.8,23039.8,22761.2,23028.2,22761.2,228.90482931102892,22803.712499999998,1,0.8341708542713664,1.2170997040060056,0.9583632447954106,1.1006693160490448,0.01705403075919638,3.0,0.2534314165246245,True,False,0.9807023323871255,2023H1,2023-01-23 20:00:00+00:00,1,0.10750830702362978,True,2023-01-23 21:00:00+00:00,23028.3,2023-01-23 22:55:00+00:00,22900.1,True,colour_exit,-0.005567063135359596,-0.007567063135359596,-0.6524020965930449,0.01159877194582312,1.1668604843503376,115.0,0.0,1.0,,,0.0,-0.005567063135359596,-0.007567063135359596,0.09921377761138205,-0.6645451141894457,0.0,False,True,True,False,True,False,False,False,False,0.1724320479221275,0.002,other_loss,2023-01-23,2023-01,"other_loss; outcome=colour_exit; gross=-55.67bp; net=-75.67bp; held=115min; recorded MFE=0.099R; flags=colour_exit. Descriptive, not a proven causal mechanism."
2023-01-27T16:00:00+00:00_L,2023-01-27 16:00:00+00:00,2023-01-27 17:00:00+00:00,1,22930.0,23148.4,22923.6,23135.2,22923.6,172.0026928512491,22999.0575,1,0.9128113879003473,1.3069562823322414,0.9412811387900331,1.380311489367559,-0.02480096830241311,4.0,0.07739380849532024,True,False,0.7915137707625318,2023H1,2023-01-27 16:00:00+00:00,1,0.10358974469757251,True,2023-01-27 17:00:00+00:00,23135.2,2023-01-27 20:50:00+00:00,23162.9,True,colour_exit,0.001197309727168916,-0.0008026902728310841,-0.08776181474480864,0.00914623603859064,1.2302132977824802,230.0,0.0,1.0,,,0.0,0.001197309727168916,-0.0008026902728310841,1.838374291115293,-0.33459357277882107,0.0,False,True,True,False,True,True,False,True,False,0.21866918714555542,0.002,cost_flip,2023-01-27,2023-01,"cost_flip; outcome=colour_exit; gross=11.97bp; net=-8.03bp; held=230min; recorded MFE=1.838R; flags=colour_exit, fees_flip, giveback. Descriptive, not a proven causal mechanism."
2023-02-13T01:00:00+00:00_S,2023-02-13 01:00:00+00:00,2023-02-13 02:00:00+00:00,-1,21813.2,21836.1,21661.3,21712.5,21836.1,115.41043582143587,21807.6475,-1,0.5760869565217457,1.5145944017614794,0.7070938215102921,1.5927896312312997,-0.018354781508759688,1.0,0.0977782328248171,True,False,0.8244271787276867,2023H1,2023-02-13 00:00:00+00:00,-1,-0.10717613747689027,True,2023-02-13 02:00:00+00:00,21712.5,2023-02-13 03:00:00+00:00,21762.2,True,colour_exit,-0.002289004029936814,-0.004289004029936814,-0.7534385113268945,0.005692573402417895,1.0709603435796191,60.0,0.0,1.0,,,0.0,-0.002289004029936814,-0.004289004029936814,0.6990291262136122,-0.45145631067961106,0.0,False,True,True,False,True,False,False,False,False,0.3513349514563148,0.002,other_loss,2023-02-13,2023-02,"other_loss; outcome=colour_exit; gross=-22.89bp; net=-42.89bp; held=60min; recorded MFE=0.699R; flags=colour_exit. Descriptive, not a proven causal mechanism."
2023-02-14T08:00:00+00:00_S,2023-02-14 08:00:00+00:00,2023-02-14 09:00:00+00:00,-1,21769.3,21774.8,21668.7,21696.4,21774.8,101.0348128631119,21727.844999999998,-1,0.6870876531573875,1.050133087728378,0.7389255419415541,0.7051190256789289,0.050209591356802676,4.0,0.020364741641336778,True,False,0.31122935856376227,2023H1,2023-02-14 08:00:00+00:00,-1,-0.1356058113207312,True,2023-02-14 09:00:00+00:00,21696.3,2023-02-14 09:45:00+00:00,21728.1,True,colour_exit,-0.0014656876979024513,-0.0034656876979024514,-0.957867515923579,0.00361812843664588,0.776959918818839,45.0,0.0,1.0,,,0.0,-0.0014656876979024513,-0.0034656876979024514,0.15159235668787027,-0.5299363057325119,0.0,False,True,True,False,True,False,False,False,False,0.552771974522293,0.002,other_loss,2023-02-14,2023-02,"other_loss; outcome=colour_exit; gross=-14.66bp; net=-34.66bp; held=45min; recorded MFE=0.152R; flags=colour_exit. Descriptive, not a proven causal mechanism."
2023-02-20T09:00:00+00:00_L,2023-02-20 09:00:00+00:00,2023-02-20 10:00:00+00:00,1,24457.7,24959.4,24370.0,24890.7,24370.0,212.61970362294684,24578.8425,1,0.7346454021038326,2.7720855120992223,0.8834407872412614,2.1923724230111556,-0.013294471859863263,2.0,0.13119871566179053,False,False,1.4667384757202007,2023H1,2023-02-20 08:00:00+00:00,1,0.16012898589765806,True,2023-02-20 10:00:00+00:00,24892.1,2023-02-20 12:40:00+00:00,24824.9,True,colour_exit,-0.0026996516967229267,-0.004699651696722927,-0.22406473855582662,0.020974526054450954,2.455557933266027,160.0,0.0,1.0,,,0.0,-0.0026996516967229267,-0.004699651696722927,0.1821490135989321,-0.3742578050181926,0.0,False,True,True,False,True,False,False,False,False,0.09535376364681121,0.002,other_loss,2023-02-20,2023-02,"other_loss; outcome=colour_exit; gross=-27.00bp; net=-47.00bp; held=160min; recorded MFE=0.182R; flags=colour_exit. Descriptive, not a proven causal mechanism."
2023-02-23T11:00:00+00:00_S,2023-02-23 11:00:00+00:00,2023-02-23 12:00:00+00:00,-1,24258.1,24271.9,23646.6,23778.0,24271.9,206.07445245193736,24141.27125,-1,0.7677914600991466,3.034340222963064,0.7898608667839424,4.709564858501627,0.04946432326787372,1.0,0.15365481826205576,False,False,1.7628155536879428,2023H1,2023-02-23 08:00:00+00:00,-1,-0.022202997156402678,True,2023-02-23 12:00:00+00:00,23778.0,2023-02-23 13:15:00+00:00,24108.0,True,colour_exit,-0.01387837496845834,-0.015878374968458342,-0.76443814537356,0.02077130120279256,2.3967065986269867,75.0,0.0,1.0,,,0.0,-0.01387837496845834,-0.015878374968458342,0.3557400283458194,-0.780927313221299,0.0,False,True,True,False,True,False,False,False,False,0.09628669771208719,0.0020000000000000018,other_loss,2023-02-23,2023-02,"other_loss; outcome=colour_exit; gross=-138.78bp; net=-158.78bp; held=75min; recorded MFE=0.356R; flags=colour_exit. Descriptive, not a proven causal mechanism."
2023-03-11T07:00:00+00:00_S,2023-03-11 07:00:00+00:00,2023-03-11 08:00:00+00:00,-1,20288.8,20322.9,19822.0,19855.4,20322.9,248.63173377529,20211.56875,-1,0.8652425633858984,2.0146261798291127,0.9333200239568749,1.8823906319736048,0.14591694625000365,1.0,0.0283264431174399,False,False,1.4325152489259378,2023H1,2023-03-11 04:00:00+00:00,-1,-0.1366480974700404,True,2023-03-11 08:00:00+00:00,19855.4,2023-03-11 09:55:00+00:00,20122.6,True,colour_exit,-0.013457296251901063,-0.015457296251901063,-0.6564936898395645,0.023545232027559253,1.8802909544222548,115.0,0.0,1.0,,,0.0,-0.013457296251901063,-0.015457296251901063,0.19037433155080213,-0.7786096256684492,0.0,False,True,True,False,True,False,False,False,False,0.08494288770053476,0.002,other_loss,2023-03-11,2023-03,"other_loss; outcome=colour_exit; gross=-134.57bp; net=-154.57bp; held=115min; recorded MFE=0.190R; flags=colour_exit. Descriptive, not a proven causal mechanism."
