bar,arm_id,feature,operator,quantile,threshold,kind,events,retention,2023H1_events,2023H2_events,2023H1_net_bp,2023H2_net_bp,2023H1_improvement_bp,2023H2_improvement_bp,stable_improvement_bp,combined_net_bp,eligible
15m,gap_bars__le_q25,gap_bars,<=,0.25,2.0,continuous,49,0.32450331125827814,27,22,-18.66225221909661,-28.384314319059435,-10.961912537367006,-7.844085466470073,-10.961912537367006,-23.027259692549308,True
15m,gap_bars__le_q50,gap_bars,<=,0.5,3.0,continuous,82,0.543046357615894,49,33,-18.74049312857645,-29.181629840003982,-11.040153446846844,-8.64140098741462,-11.040153446846844,-22.94241400024851,True
15m,gap_bars__ge_q50,gap_bars,>=,0.5,3.0,continuous,102,0.6754966887417219,62,40,-2.9266035767472016,-16.225981846030813,4.773736104982403,4.314247006558549,4.314247006558549,-8.142046035289795,True
15m,gap_bars__ge_q75,gap_bars,>=,0.75,5.0,continuous,45,0.2980132450331126,26,19,11.588779769553367,-2.5186288023183354,19.28911945128297,18.021600050271026,18.021600050271026,5.632318372540872,True
15m,secondary_score__le_q25,secondary_score,<=,0.25,0.6233393976041186,continuous,43,0.2847682119205298,23,20,-10.862759587096622,-10.353664651761168,-3.1624199053670177,10.186564200828194,-3.1624199053670177,-10.625971245080132,True
15m,secondary_score__le_q50,secondary_score,<=,0.5,0.6885096906633512,continuous,79,0.5231788079470199,45,34,-8.167370451952639,-20.432927920479816,-0.4670307702230341,0.1073009321095455,-0.4670307702230341,-13.44621797005294,True
15m,secondary_score__ge_q50,secondary_score,>=,0.5,0.6885096906633512,continuous,73,0.48344370860927155,45,28,-6.268211503096145,-20.670522841579515,1.4321281786334596,-0.13029398899015376,-0.13029398899015376,-11.792385715117163,True
15m,secondary_score__ge_q75,secondary_score,>=,0.75,0.776746915930198,continuous,37,0.24503311258278146,23,14,-11.08942288043497,-19.89931620885873,-3.3890831987053653,0.6409126437306334,-3.3890831987053653,-14.422896031730449,True
15m,k1_body_ratio__le_q25,k1_body_ratio,<=,0.25,0.4833074534161518,continuous,39,0.2582781456953642,23,16,-19.29471521076604,-4.9957446775682754,-11.594375529036434,15.544484175021086,-11.594375529036434,-13.428470889454134,True
15m,k1_body_ratio__le_q50,k1_body_ratio,<=,0.5,0.6214814814814833,continuous,79,0.5231788079470199,45,34,-4.467360481408211,-21.918373709748675,3.2329792003213935,-1.3781448571593131,-1.3781448571593131,-11.97792313664335,True
15m,k1_body_ratio__ge_q50,k1_body_ratio,>=,0.5,0.6214814814814833,continuous,73,0.48344370860927155,45,28,-9.250283444582116,-18.866767240324474,-1.5499437628525117,1.6734616122648873,-1.5499437628525117,-12.938797777195624,True
15m,k1_body_ratio__ge_q75,k1_body_ratio,>=,0.75,0.7904328018223465,continuous,34,0.2251655629139073,23,11,-20.73674234051512,-19.306389810214537,-13.036402658785516,1.2338390423748251,,-20.273981227770815,False
15m,k1_range_atr__le_q25,k1_range_atr,<=,0.25,1.005379109167149,continuous,46,0.304635761589404,23,23,-23.830395991649844,-11.84004977326594,-16.13005630992024,8.700179079323421,-16.13005630992024,-17.83522288245789,True
15m,k1_range_atr__le_q50,k1_range_atr,<=,0.5,1.458294253371752,continuous,85,0.5629139072847682,45,40,-11.084903925680532,-19.27621751060908,-3.384564243950927,1.2640113419802823,-3.384564243950927,-14.93963973035279,True
