entry_i,exit_i,signal_i,entry_time,exit_time,side,entry_price,exit_price,gross_return,net_return,mae_return,mfe_return,censored,exit_reason
70104,70596,70103,2024-01-03 21:30:00+00:00,2024-01-09 00:30:00+00:00,1,2222.16,2322.0,0.04492925801922465,0.04292925801922465,-0.025272707635813685,0.062029736832631466,False,opposite_entry
70981,71369,70980,2024-01-13 00:45:00+00:00,2024-01-17 01:45:00+00:00,1,2530.23,2583.54,0.02106923086043566,0.01906923086043566,-0.023804160096117744,0.032945621544286485,False,opposite_entry
71846,72281,71845,2024-01-22 01:00:00+00:00,2024-01-26 13:45:00+00:00,1,2462.39,2245.35,-0.08814200837397812,-0.09014200837397812,-0.11990789436279381,0.0018681037528580635,False,opposite_entry
73128,73323,73127,2024-02-04 09:30:00+00:00,2024-02-06 10:15:00+00:00,1,2297.07,2328.66,0.013752301845394221,0.011752301845394221,-0.015006072953806515,0.0181492074686449,False,opposite_entry
74401,74515,74400,2024-02-17 15:45:00+00:00,2024-02-18 20:15:00+00:00,1,2755.66,2823.27,0.024534957142753555,0.022534957142753553,-0.004452653810702367,0.03278343482142221,False,opposite_entry
76545,77513,76544,2024-03-10 23:45:00+00:00,2024-03-21 01:45:00+00:00,1,3870.21,3513.03,-0.09228956568248226,-0.09428956568248226,-0.21152082186754728,0.058379261073688404,False,opposite_entry
77664,77891,77663,2024-03-22 15:30:00+00:00,2024-03-25 00:15:00+00:00,1,3365.59,3438.98,0.021805983497692694,0.019805983497692692,-0.0355331457485909,0.0319141666097178,False,opposite_entry
78639,78913,78638,2024-04-01 19:15:00+00:00,2024-04-04 15:45:00+00:00,1,3455.01,3370.0,-0.02460484919001693,-0.026604849190016933,-0.07377981539850831,0.017942060949172278,False,opposite_entry
78998,79137,78997,2024-04-05 13:00:00+00:00,2024-04-06 23:45:00+00:00,1,3261.96,3366.0,0.031894934333958735,0.029894934333958734,-0.008571533679137655,0.042265999583072755,False,opposite_entry
79805,80795,79804,2024-04-13 22:45:00+00:00,2024-04-24 06:15:00+00:00,1,3022.91,3252.0,0.0757845916682931,0.0737845916682931,-0.05293243927209201,0.08464360500312629,False,opposite_entry
80856,81189,80855,2024-04-24 21:30:00+00:00,2024-04-28 08:45:00+00:00,1,3141.66,3310.37,0.05370090971015329,0.05170090971015329,-0.024146470337337522,0.0631290464276848,False,opposite_entry
81427,81730,81426,2024-04-30 20:15:00+00:00,2024-05-04 00:00:00+00:00,1,2970.78,3103.01,0.04451019597546768,0.04251019597546768,-0.05243740701095345,0.052821144615218696,False,opposite_entry
82154,82572,82153,2024-05-08 10:00:00+00:00,2024-05-12 18:30:00+00:00,1,2998.87,2936.23,-0.020887867763524248,-0.02288786776352425,-0.04133556973126551,0.020607762257116802,False,opposite_entry
82615,82643,82614,2024-05-13 05:15:00+00:00,2024-05-13 12:15:00+00:00,1,2893.98,2961.99,0.023500507950987792,0.02150050795098779,-0.008286166455884314,0.035594579091769774,False,opposite_entry
83240,83966,83239,2024-05-19 17:30:00+00:00,2024-05-27 07:00:00+00:00,1,3075.09,3894.02,0.2663109047214878,0.26431090472148777,-0.008809498258587567,0.28451524996016375,False,opposite_entry
84207,84666,84206,2024-05-29 19:15:00+00:00,2024-06-03 14:00:00+00:00,1,3767.88,3823.81,0.014843890994405307,0.012843890994405307,-0.017176767837617013,0.022590953002749492,False,opposite_entry
85316,85958,85315,2024-06-10 08:30:00+00:00,2024-06-17 01:00:00+00:00,1,3671.25,3617.76,-0.014569969356486134,-0.016569969356486136,-0.08423016683690843,0.011807967313585355,False,opposite_entry
85999,87332,85998,2024-06-17 11:15:00+00:00,2024-07-01 08:30:00+00:00,1,3527.69,3486.53,-0.011667691889026499,-0.0136676918890265,-0.09004476016883567,0.027868094985670444,False,opposite_entry
87556,88643,87555,2024-07-03 16:30:00+00:00,2024-07-15 00:15:00+00:00,1,3320.5,3235.77,-0.02551724137931033,-0.02751724137931033,-0.1557054660442705,0.0006023189278723251,False,opposite_entry
89296,90037,89295,2024-07-21 19:30:00+00:00,2024-07-29 12:45:00+00:00,1,3483.53,3374.75,-0.031226945081569646,-0.03322694508156965,-0.11382993687437748,0.023100131188765305,False,opposite_entry
90351,91060,90350,2024-08-01 19:15:00+00:00,2024-08-09 04:30:00+00:00,1,3108.99,2679.59,-0.13811559381020833,-0.14011559381020833,-0.3310399840462658,0.03547132670095432,False,opposite_entry
