sample_id,symbol,source_path,source_exists,class_status,box_status,review_via,split,timeframe,decision_time,window_start_bar,window_end_bar,box_start_bar,box_end_bar,index_in_range,clock_match,contiguous_window,core_within_window,image_exists,image_sha_match,post_core_visible_bars,source_sha_historical_parity,eligible_for_lineage_exploration
ACH_USDT_SWAP_015730__b0,ACH_USDT_SWAP,data/kline_fetched/okx_ACH_USDT_SWAP_15m_41086.csv,False,rejected,none,flip_pos_to_neg,train,15m,2025-11-13T13:30:00+00:00,15634,15649,15639.0,15645.0,False,False,False,False,False,False,,not_recorded,False
ADA_USDT_SWAP_004930__b0,ADA_USDT_SWAP,data/kline_fetched/okx_ADA_USDT_SWAP_15m_41176.csv,False,confirmed,rule_verified,agree,train,15m,2025-07-23T06:45:00+00:00,4850,4864,4855.0,4861.0,False,False,False,True,False,False,3.0,not_recorded,False
ADA_USDT_SWAP_013130__b0,ADA_USDT_SWAP,data/kline_fetched/okx_ADA_USDT_SWAP_15m_41176.csv,False,rejected,none,flip_pos_to_neg,train,15m,2025-10-15T15:15:00+00:00,12946,12962,12952.0,12958.0,False,False,False,False,False,False,,not_recorded,False
AIXBT_USDT_SWAP_003330__b0,AIXBT_USDT_SWAP,data/kline_fetched/okx_AIXBT_USDT_SWAP_15m_41085.csv,False,rejected,none,flip_pos_to_neg,train,15m,2025-07-07T16:45:00+00:00,3264,3277,3269.0,3274.0,False,False,False,False,False,False,,not_recorded,False
ANIME_USDT_SWAP_014730__b0,ANIME_USDT_SWAP,data/kline_fetched/okx_ANIME_USDT_SWAP_15m_40984.csv,False,confirmed,rule_verified,agree,train,15m,2025-11-03T02:30:00+00:00,14530,14543,14535.0,14540.0,False,False,False,True,False,False,3.0,not_recorded,False
APR_USDT_SWAP_002730__b0,APR_USDT_SWAP,data/kline_fetched/okx_APR_USDT_SWAP_15m_27387.csv,False,confirmed,rule_verified,agree,train,15m,2025-11-21T00:45:00+00:00,2655,2667,2660.0,2664.0,False,False,False,True,False,False,3.0,not_recorded,False
ARKM_USDT_SWAP_004130__b0,ARKM_USDT_SWAP,data/kline_fetched/okx_ARKM_USDT_SWAP_15m_41084.csv,False,confirmed,rule_verified,agree,train,15m,2025-07-14T14:30:00+00:00,3928,3939,3933.0,3936.0,False,False,False,True,False,False,3.0,not_recorded,False
AUCTION_USDT_SWAP_012530__b0,AUCTION_USDT_SWAP,data/kline_fetched/okx_AUCTION_USDT_SWAP_15m_41084.csv,False,confirmed,rule_verified,keep_gold,train,15m,2025-10-10T16:30:00+00:00,12382,12394,12387.0,12391.0,False,False,False,True,False,False,3.0,not_recorded,False
A_USDT_SWAP_008930__b0,A_USDT_SWAP,data/kline_fetched/okx_A_USDT_SWAP_15m_41087.csv,False,confirmed,rule_verified,agree,train,15m,2025-09-04T04:45:00+00:00,8878,8894,8884.0,8890.0,False,False,False,True,False,False,4.0,not_recorded,False
A_USDT_SWAP_012930__b0,A_USDT_SWAP,data/kline_fetched/okx_A_USDT_SWAP_15m_41087.csv,False,rejected,none,flip_pos_to_neg,train,15m,2025-10-15T11:45:00+00:00,12845,12858,12850.0,12855.0,False,False,False,False,False,False,,not_recorded,False
BONK_USDT_SWAP_028494__b0,BONK_USDT_SWAP,data/kline_fetched/okx_BONK_USDT_SWAP_15m_41082.csv,False,confirmed,rule_verified,agree,val,15m,2026-03-26T03:15:00+00:00,28353,28371,28360.0,28366.0,False,False,False,True,False,False,5.0,not_recorded,False
BRETT_USDT_SWAP_014330__b0,BRETT_USDT_SWAP,data/kline_fetched/okx_BRETT_USDT_SWAP_15m_41082.csv,False,rejected,none,flip_pos_to_neg,train,15m,2025-10-30T09:15:00+00:00,14271,14283,14276.0,14280.0,False,False,False,False,False,False,,not_recorded,False
CFX_USDT_SWAP_014730__b0,CFX_USDT_SWAP,data/kline_fetched/okx_CFX_USDT_SWAP_15m_41176.csv,False,confirmed,rule_verified,agree,train,15m,2025-11-02T14:30:00+00:00,14675,14686,14680.0,14683.0,False,False,False,True,False,False,3.0,not_recorded,False
CHZ_USDT_SWAP_004130__b0,CHZ_USDT_SWAP,data/kline_fetched/okx_CHZ_USDT_SWAP_15m_41176.csv,False,confirmed,rule_verified,agree,train,15m,2025-07-14T16:30:00+00:00,4025,4038,4030.0,4035.0,False,False,False,True,False,False,3.0,not_recorded,False
DOGE_USDT_SWAP_015930__b0,DOGE_USDT_SWAP,data/kline_fetched/okx_DOGE_USDT_SWAP_15m_41176.csv,False,confirmed,rule_verified,agree,train,15m,2025-11-13T17:15:00+00:00,15741,15753,15746.0,15750.0,False,False,False,True,False,False,3.0,not_recorded,False
EGLD_USDT_SWAP_008730__b0,EGLD_USDT_SWAP,data/kline_fetched/okx_EGLD_USDT_SWAP_15m_41079.csv,False,confirmed,rule_verified,agree,train,15m,2025-08-31T23:00:00+00:00,8560,8575,8565.0,8571.0,False,False,False,True,False,False,4.0,not_recorded,False
FIL_USDT_SWAP_010130__b0,FIL_USDT_SWAP,data/kline_fetched/okx_FIL_USDT_SWAP_15m_41175.csv,False,confirmed,rule_verified,agree,train,15m,2025-09-14T11:45:00+00:00,9958,9970,9963.0,9967.0,False,False,False,True,False,False,3.0,not_recorded,False
HBAR_USDT_SWAP_010730__b0,HBAR_USDT_SWAP,data/kline_fetched/okx_HBAR_USDT_SWAP_15m_41175.csv,False,confirmed,rule_verified,agree,train,15m,2025-09-21T08:30:00+00:00,10615,10629,10620.0,10626.0,False,False,False,True,False,False,3.0,not_recorded,False
H_USDT_SWAP_022648__b0,H_USDT_SWAP,data/kline_fetched/okx_H_USDT_SWAP_15m_38237.csv,False,rejected,none,flip_pos_to_neg,train,15m,2026-02-23T12:00:00+00:00,22571,22584,22576.0,22581.0,False,False,False,False,False,False,,not_recorded,False
ICX_USDT_SWAP_001330__b0,ICX_USDT_SWAP,data/kline_fetched/okx_ICX_USDT_SWAP_15m_41077.csv,False,confirmed,rule_verified,agree,train,15m,2025-06-17T09:15:00+00:00,1305,1317,1310.0,1314.0,False,False,False,True,False,False,3.0,not_recorded,False
INIT_USDT_SWAP_023688__b0,INIT_USDT_SWAP,data/kline_fetched/okx_INIT_USDT_SWAP_15m_41077.csv,False,confirmed,rule_verified,agree,train,15m,2026-02-03T17:30:00+00:00,23514,23526,23519.0,23523.0,False,False,False,True,False,False,3.0,not_recorded,False
INJ_USDT_SWAP_015130__b0,INJ_USDT_SWAP,data/kline_fetched/okx_INJ_USDT_SWAP_15m_41175.csv,False,rejected,none,flip_pos_to_neg,train,15m,2025-11-06T00:45:00+00:00,15002,15013,15007.0,15010.0,False,False,False,False,False,False,,not_recorded,False
IOTA_USDT_SWAP_014330__b0,IOTA_USDT_SWAP,data/kline_fetched/okx_IOTA_USDT_SWAP_15m_41077.csv,False,rejected,none,flip_pos_to_neg,train,15m,2025-10-29T23:45:00+00:00,14228,14239,14233.0,14236.0,False,False,False,False,False,False,,not_recorded,False
JTO_USDT_SWAP_009730__b0,JTO_USDT_SWAP,data/kline_fetched/okx_JTO_USDT_SWAP_15m_41175.csv,False,confirmed,rule_verified,agree,train,15m,2025-09-11T08:00:00+00:00,9652,9666,9657.0,9663.0,False,False,False,True,False,False,3.0,not_recorded,False
KSM_USDT_SWAP_012530__b0,KSM_USDT_SWAP,data/kline_fetched/okx_KSM_USDT_SWAP_15m_41077.csv,False,confirmed,rule_verified,keep_gold,train,15m,2025-10-10T18:30:00+00:00,12379,12394,12384.0,12390.0,False,False,False,True,False,False,4.0,not_recorded,False
LAYER_USDT_SWAP_000930__b0,LAYER_USDT_SWAP,data/kline_fetched/okx_LAYER_USDT_SWAP_15m_41077.csv,False,confirmed,rule_verified,agree,train,15m,2025-06-11T20:00:00+00:00,769,784,774.0,780.0,False,False,False,True,False,False,4.0,not_recorded,False
LAYER_USDT_SWAP_002330__b0,LAYER_USDT_SWAP,data/kline_fetched/okx_LAYER_USDT_SWAP_15m_41077.csv,False,confirmed,rule_verified,agree,train,15m,2025-06-26T11:45:00+00:00,2174,2191,2180.0,2186.0,False,False,False,True,False,False,5.0,not_recorded,False
LAYER_USDT_SWAP_006730__b1,LAYER_USDT_SWAP,data/kline_fetched/okx_LAYER_USDT_SWAP_15m_41077.csv,False,confirmed,rule_verified,agree,train,15m,2025-08-11T10:45:00+00:00,6591,6603,6596.0,6600.0,False,False,False,True,False,False,3.0,not_recorded,False
LAYER_USDT_SWAP_007330__b0,LAYER_USDT_SWAP,data/kline_fetched/okx_LAYER_USDT_SWAP_15m_41077.csv,False,confirmed,rule_verified,agree,train,15m,2025-08-18T01:45:00+00:00,7226,7239,7231.0,7236.0,False,False,False,True,False,False,3.0,not_recorded,False
LIGHT_USDT_SWAP_011304__b0,LIGHT_USDT_SWAP,data/kline_fetched/okx_LIGHT_USDT_SWAP_15m_22293.csv,False,rejected,none,flip_pos_to_neg,val,15m,2026-04-12T02:00:00+00:00,11195,11208,11200.0,11205.0,False,False,False,False,False,False,,not_recorded,False
LPT_USDT_SWAP_012130__b0,LPT_USDT_SWAP,data/kline_fetched/okx_LPT_USDT_SWAP_15m_41076.csv,False,rejected,none,flip_pos_to_neg,train,15m,2025-10-07T14:30:00+00:00,12072,12089,12078.0,12084.0,False,False,False,False,False,False,,not_recorded,False
LUNA_USDT_SWAP_006730__b0,LUNA_USDT_SWAP,data/kline_fetched/okx_LUNA_USDT_SWAP_15m_41076.csv,False,confirmed,rule_verified,agree,train,15m,2025-08-11T11:00:00+00:00,6591,6603,6596.0,6600.0,False,False,False,True,False,False,3.0,not_recorded,False
MAGIC_USDT_SWAP_023687__b0,MAGIC_USDT_SWAP,data/kline_fetched/okx_MAGIC_USDT_SWAP_15m_41076.csv,False,confirmed,rule_verified,agree,train,15m,2026-02-04T12:15:00+00:00,23586,23600,23591.0,23597.0,False,False,False,True,False,False,3.0,not_recorded,False
MEW_USDT_SWAP_004930__b0,MEW_USDT_SWAP,data/kline_fetched/okx_MEW_USDT_SWAP_15m_41075.csv,False,confirmed,rule_verified,agree,train,15m,2025-07-23T07:45:00+00:00,4751,4765,4756.0,4762.0,False,False,False,True,False,False,3.0,not_recorded,False
MEW_USDT_SWAP_023086__b0,MEW_USDT_SWAP,data/kline_fetched/okx_MEW_USDT_SWAP_15m_41075.csv,False,rejected,none,flip_pos_to_neg,train,15m,2026-01-29T02:45:00+00:00,22971,22985,22976.0,22982.0,False,False,False,False,False,False,,not_recorded,False
MOODENG_USDT_SWAP_015730__b0,MOODENG_USDT_SWAP,data/kline_fetched/okx_MOODENG_USDT_SWAP_15m_41075.csv,False,confirmed,rule_verified,agree,train,15m,2025-11-13T16:45:00+00:00,15638,15649,15643.0,15646.0,False,False,False,True,False,False,3.0,not_recorded,False
MOVE_USDT_SWAP_004930__b0,MOVE_USDT_SWAP,data/kline_fetched/okx_MOVE_USDT_SWAP_15m_41075.csv,False,confirmed,rule_verified,agree,train,15m,2025-07-23T10:15:00+00:00,4762,4775,4767.0,4772.0,False,False,False,True,False,False,3.0,not_recorded,False
NMR_USDT_SWAP_004930__b0,NMR_USDT_SWAP,data/kline_fetched/okx_NMR_USDT_SWAP_15m_41074.csv,False,rejected,none,flip_pos_to_neg,train,15m,2025-07-23T13:00:00+00:00,4769,4785,4775.0,4781.0,False,False,False,False,False,False,,not_recorded,False
NOT_USDT_SWAP_006930__b0,NOT_USDT_SWAP,data/kline_fetched/okx_NOT_USDT_SWAP_15m_41074.csv,False,confirmed,rule_verified,agree,train,15m,2025-08-13T13:15:00+00:00,6789,6802,6794.0,6799.0,False,False,False,True,False,False,3.0,not_recorded,False
ONT_USDT_SWAP_007730__b0,ONT_USDT_SWAP,data/kline_fetched/okx_ONT_USDT_SWAP_15m_41074.csv,False,confirmed,rule_verified,agree,train,15m,2025-08-21T09:30:00+00:00,7544,7555,7549.0,7552.0,False,False,False,True,False,False,3.0,not_recorded,False
OP_USDT_SWAP_021986__b1,OP_USDT_SWAP,data/kline_fetched/okx_OP_USDT_SWAP_15m_41175.csv,False,rejected,none,flip_pos_to_neg,train,15m,2026-01-15T16:00:00+00:00,21783,21794,21788.0,21791.0,False,False,False,False,False,False,,not_recorded,False
ORDER_USDT_SWAP_013267__b0,ORDER_USDT_SWAP,data/kline_fetched/okx_ORDER_USDT_SWAP_15m_29656.csv,False,confirmed,rule_verified,agree,train,15m,2026-02-15T10:00:00+00:00,13211,13227,13217.0,13223.0,False,False,False,True,False,False,4.0,not_recorded,False
ORDI_USDT_SWAP_015930__b0,ORDI_USDT_SWAP,data/kline_fetched/okx_ORDI_USDT_SWAP_15m_41175.csv,False,rejected,none,flip_pos_to_neg,train,15m,2025-11-13T17:15:00+00:00,15739,15751,15744.0,15748.0,False,False,False,False,False,False,,not_recorded,False
PLUME_USDT_SWAP_023084__b0,PLUME_USDT_SWAP,data/kline_fetched/okx_PLUME_USDT_SWAP_15m_41073.csv,False,confirmed,rule_verified,agree,train,15m,2026-01-29T01:30:00+00:00,22965,22978,22970.0,22975.0,False,False,False,True,False,False,3.0,not_recorded,False
PNUT_USDT_SWAP_025084__b0,PNUT_USDT_SWAP,data/kline_fetched/okx_PNUT_USDT_SWAP_15m_41073.csv,False,confirmed,rule_verified,agree,train,15m,2026-02-18T12:45:00+00:00,24930,24943,24935.0,24940.0,False,False,False,True,False,False,3.0,not_recorded,False
PROVE_USDT_SWAP_001730__b0,PROVE_USDT_SWAP,data/kline_fetched/okx_PROVE_USDT_SWAP_15m_28039.csv,False,confirmed,rule_verified,agree,train,15m,2025-11-03T01:30:00+00:00,1579,1592,1584.0,1589.0,False,False,False,True,False,False,3.0,not_recorded,False
