direction,qty,signal_i,signal_time,entry_i,entry_time,entry_price,entry_equity,entry_fee,leverage,score,stop,initial_stop,exit_i,exit_time,exit_price,exit_reason,gross_pnl,net_pnl,gross_return,net_return,fees,holding_bars,n_controls,matched,control_mean,paired_excess
1,0.40941322896025417,2280,2021-01-15 00:00:00+00:00,2281,2021-01-15 04:00:00+00:00,1221.38,500.0,0.5000491295874753,1.0000982591749505,0.7282521579736464,1222.60138,1184.6222,2282,2021-01-15 08:00:00+00:00,1222.60138,stop,0.5000491295874563,-0.5005491787170817,0.0009999999999999619,-0.0010010000000000379,1.000598308304538,1,3,True,-0.006100689346895564,0.0050996893468955255
-1,0.280885930844786,2513,2021-02-22 20:00:00+00:00,2514,2021-02-23 00:00:00+00:00,1778.22,499.49945082128295,0.4994769799468154,0.9999550132148681,0.9792074780741832,1776.44178,1831.649,2596,2021-03-08 16:00:00+00:00,1776.44178,stop,0.49947697994679274,-0.49897750296689125,0.0009999999999999547,-0.0009990000000000454,0.998454482913684,82,0,False,,
1,0.2744097848818038,2722,2021-03-29 16:00:00+00:00,2723,2021-03-29 20:00:00+00:00,1818.45,499.0004733183161,0.4990004733183161,1.0,0.3356762715236225,1820.2684499999998,1763.8965,2730,2021-03-31 00:00:00+00:00,1820.2684499999998,stop,0.4990004733182494,-0.499499473791701,0.0009999999999998664,-0.0010010000000001335,0.9984999471099505,7,3,True,-0.012390314702323513,0.01138931470232338
1,0.2113277264167724,2861,2021-04-21 20:00:00+00:00,2862,2021-04-22 00:00:00+00:00,2359.41,498.5009738445244,0.4986087509849969,1.0002162024672516,1.079208586959538,2361.7694099999994,2288.1330000000003,2867,2021-04-22 20:00:00+00:00,2361.7694099999994,stop,0.4986087509849062,-0.4991073597360725,0.000999999999999818,-0.0010010000000001816,0.9977161107209787,5,3,True,-0.005387625510595653,0.004386625510595471
1,0.1977257127766019,2888,2021-04-26 08:00:00+00:00,2889,2021-04-26 12:00:00+00:00,2518.66,498.00186648478837,0.49800384374191614,1.000003970380958,0.5952497905912766,2443.0905000000002,2443.0905000000002,2891,2021-04-26 20:00:00+00:00,2443.0905000000002,stop,-14.942033251671338,-15.9230989059035,-0.03000385125423821,-0.03197384740298397,0.981065654232161,2,3,True,-0.0023775733221583946,-0.029596274080825578
-1,0.20697537634979346,3087,2021-05-29 12:00:00+00:00,3088,2021-05-29 16:00:00+00:00,2329.16,482.0787675788849,0.4820787675788849,1.0,0.7187383472924979,2326.8308399999996,2399.0348,3091,2021-05-30 04:00:00+00:00,2326.8308399999996,stop,0.48207876757893237,-0.4815966888112585,0.0010000000000000985,-0.0009989999999999014,0.9636754563901908,3,3,True,-0.0009990000000000415,1.4007892068512717e-16
-1,0.1926357861834505,3148,2021-06-08 16:00:00+00:00,3149,2021-06-08 20:00:00+00:00,2500.13,481.5971708900736,0.4816145081108301,1.0000359994240093,0.6414686881453419,2497.62987,2575.0412,3151,2021-06-09 04:00:00+00:00,2497.62987,stop,0.4816145081108107,-0.48113289360273875,0.0009999999999999597,-0.0009990000000000404,0.9627474017135494,2,3,True,-0.03997850789986603,0.03897950789986599
1,0.1866990709970162,3188,2021-06-15 08:00:00+00:00,3189,2021-06-15 12:00:00+00:00,2577.08,481.1160379964708,0.4811384418849905,1.0000465664969578,0.7450240776200777,2579.6570799999995,2499.6512000000002,3191,2021-06-15 20:00:00+00:00,2530.98,stop_gap,-8.60682717296243,-9.560497229559449,-0.01788846291151222,-0.019870574448600707,0.9536700565970185,2,3,True,-0.0012316375146459036,-0.018638936933954804
-1,0.19379180653797148,3198,2021-06-17 00:00:00+00:00,3199,2021-06-17 04:00:00+00:00,2433.31,471.5555407669114,0.4715555407669114,1.0,0.6929667673555123,2189.5121999999997,2506.3093,3336,2021-07-10 00:00:00+00:00,2189.5121999999997,stop,47.246016091983115,46.350151026541276,0.10019183745597571,0.09829202929343168,0.8958650654418396,137,2,True,0.01780923970996966,0.08048278958346203
1,0.15397271148151476,3649,2021-08-31 04:00:00+00:00,3650,2021-08-31 08:00:00+00:00,3363.63,517.9056917934527,0.5179072315205675,1.0000029729874362,0.26182917082330726,3366.99363,3262.7113999999997,3651,2021-08-31 12:00:00+00:00,3366.99363,stop,0.5179072315205413,-0.5184251387521143,0.0009999999999999495,-0.0010010000000000507,1.0363323702726555,1,3,True,-0.00574515702479347,0.00474415702479342
1,0.1423521049741098,3745,2021-09-16 04:00:00+00:00,3746,2021-09-16 08:00:00+00:00,3634.55,517.3872666547005,0.5173858431336509,0.9999972486353232,0.505739147565501,3525.5232,3525.5232,3749,2021-09-16 20:00:00+00:00,3525.5232,stop,-15.520194478591288,-16.539445970379997,-0.029997331168920522,-0.0319673338377516,1.0192514917887103,3,1,True,-0.03196999999999997,2.6661622483728498e-06
-1,0.15713069989406,3768,2021-09-20 00:00:00+00:00,3769,2021-09-20 04:00:00+00:00,3187.46,500.84782068432054,0.5008478206843205,1.0,0.2968575004298215,3184.27254,3283.0838,3836,2021-10-01 08:00:00+00:00,3184.27254,stop,0.5008478206843364,-0.5003469728636203,0.0010000000000000317,-0.0009989999999999682,1.0011947935479566,67,3,True,-0.0009989999999999819,1.3660947373317356e-17
1,0.15464875028944264,3836,2021-10-01 08:00:00+00:00,3837,2021-10-01 12:00:00+00:00,3235.38,500.3474737114569,0.5003474737114569,1.0,0.4051682241094876,4235.3291,3138.3186,4179,2021-11-27 12:00:00+00:00,4111.97,reverse,135.56354801622254,134.4272895207834,0.27093880780619284,0.2686678689983866,1.1362584954391364,342,3,True,-0.011324778832799651,0.27999264783118627
-1,0.15452706956859316,4178,2021-11-27 08:00:00+00:00,4179,2021-11-27 12:00:00+00:00,4111.97,634.7747632322404,0.6354106742539681,1.0010017900183834,1.4080784241034727,4107.85803,4235.3291,4184,2021-11-28 08:00:00+00:00,4107.85803,stop,0.6354106742539569,-0.6347752635797254,0.0009999999999999825,-0.0009990000000000177,1.2701859378336824,5,3,True,-0.011353663020738515,0.010354663020738498
-1,0.19664352986171652,4960,2022-04-06 16:00:00+00:00,4961,2022-04-06 20:00:00+00:00,3225.02,634.1399879686606,0.634179316674633,1.0000620189653997,0.8582149458022016,3221.79498,3321.5646,4963,2022-04-07 04:00:00+00:00,3221.79498,stop,0.6341793166746051,-0.6335451373579863,0.000999999999999956,-0.0009990000000000441,1.2677244540325914,2,3,True,-0.013971669536930714,0.01297266953693067
1,0.2159462654906388,5131,2022-05-05 04:00:00+00:00,5132,2022-05-05 08:00:00+00:00,2933.62,633.5064428313027,0.6335042833686477,0.999996591253839,0.827731805956752,2845.6211000000003,2845.6211000000003,5133,2022-05-05 12:00:00+00:00,2845.6211000000003,stop,-19.003033822284088,-20.2510393551991,-0.02999669350495279,-0.03196669681144784,1.2480055329150115,1,0,False,,
-1,0.22471387606533538,5137,2022-05-06 04:00:00+00:00,5138,2022-05-06 08:00:00+00:00,2729.05,613.2554034761035,0.6132554034761035,1.0,1.0791343381107623,2020.3862,2810.9215000000004,5250,2022-05-25 00:00:00+00:00,2020.3862,stop,159.2465893251897,158.17932510756268,0.2596741723310311,0.2579338465033621,1.0672642176270175,112,3,True,-0.014684071604962804,0.2726179181083249
1,0.5874509618438049,6155,2022-10-22 20:00:00+00:00,6156,2022-10-23 00:00:00+00:00,1313.18,771.4347285836661,0.7714288540740477,0.9999923849557185,0.46035854571531276,1594.7673,1273.7943,6245,2022-11-06 20:00:00+00:00,1594.7673,stop,165.418730228,163.71045378962387,0.2144316087665057,0.21221717715773913,1.7082764383760956,89,3,True,-0.03196999999999997,0.2441871771577391
-1,0.6053973524440596,6815,2023-02-09 20:00:00+00:00,6816,2023-02-10 00:00:00+00:00,1544.67,935.14518237329,0.9351391283997657,0.999993526167232,0.43820512040677695,1543.12533,1591.0204,6832,2023-02-12 16:00:00+00:00,1543.12533,stop,0.9351391283997633,-0.9342039892713682,0.0009999999999999976,-0.0009990000000000025,1.8693431176711315,16,3,True,-0.021686339494551916,0.020687339494551912
1,0.5521341479810985,6852,2023-02-16 00:00:00+00:00,6853,2023-02-16 04:00:00+00:00,1692.01,934.2109783840186,0.9342164997254985,1.0000059101654846,0.9734291675094835,1693.7020099999997,1641.24,6856,2023-02-16 16:00:00+00:00,1693.7020099999997,stop,0.934216499725363,-0.9351507162253593,0.000999999999999855,-0.0010010000000001448,1.8693672159507222,3,3,True,-0.011324000000000055,0.01032299999999991
1,0.566579748585665,6936,2023-03-02 00:00:00+00:00,6937,2023-03-02 04:00:00+00:00,1647.2,933.2758276677932,0.9332701618703073,0.9999939291286478,0.23127891778239626,1597.7937,1597.7937,6942,2023-03-03 00:00:00+00:00,1597.7937,stop,-27.992609032547996,-29.831156747256063,-0.02999411121903843,-0.03196411710781939,1.8385477147080667,5,3,True,-0.03196790417918383,3.7870713644402865e-06
-1,0.5777128402195489,6944,2023-03-03 08:00:00+00:00,6945,2023-03-03 12:00:00+00:00,1563.83,903.4446709205372,0.9034446709205373,1.0,0.4659010100804082,1562.2661699999999,1610.7449,6970,2023-03-07 16:00:00+00:00,1562.2661699999999,stop,0.9034446709205677,-0.9025412262495861,0.0010000000000000338,-0.0009989999999999663,1.805985897170154,25,3,True,-0.011342666666666655,0.010343666666666688
1,0.5416444395932831,7005,2023-03-13 12:00:00+00:00,7006,2023-03-13 16:00:00+00:00,1666.31,902.5421296942876,0.9025475461386835,1.0000060013202905,1.3089792130487856,1667.9763099999998,1616.311,7010,2023-03-14 08:00:00+00:00,1666.63,stop_gap,0.17332622066993927,-1.6319421978280977,0.00019204109679481235,-0.0018081509443019824,1.805268418498037,4,3,True,-0.00100100000000013,-0.0008071509443018524
1,0.49819459037048114,7102,2023-03-29 16:00:00+00:00,7103,2023-03-29 20:00:00+00:00,1808.35,900.9101874964596,0.9009101874964596,1.0,0.6826645353769273,1810.1583499999997,1754.0994999999998,7120,2023-04-01 16:00:00+00:00,1810.1583499999997,stop,0.9009101874963555,-0.9018110976840599,0.0009999999999998844,-0.0010010000000001153,1.8027212851804153,17,1,True,-0.03196999999999997,0.030968999999999854
-1,0.4918159185116562,7301,2023-05-01 20:00:00+00:00,7302,2023-05-02 00:00:00+00:00,1829.97,900.0083763987755,0.9000083763987755,1.0,0.49591841893871136,1884.8691000000001,1884.8691000000001,7312,2023-05-03 16:00:00+00:00,1884.8691000000001,stop,-27.00025129196331,-28.827268296052825,-0.03000000000000005,-0.03203000000000005,1.8270170040895142,10,3,True,-0.012196953118792242,-0.019833046881207808
1,0.45899953008573374,7315,2023-05-04 04:00:00+00:00,7316,2023-05-04 08:00:00+00:00,1898.0,871.1811081027226,0.8711811081027226,1.0,0.3728113364383518,1899.8979999999997,1841.06,7329,2023-05-06 12:00:00+00:00,1899.8979999999997,stop,0.8711811081025773,-0.8720522892109706,0.0009999999999998333,-0.0010010000000001667,1.7432333973135479,13,3,True,-0.011324000000000068,0.010322999999999902
-1,0.48951518972580665,7441,2023-05-25 04:00:00+00:00,7442,2023-05-25 08:00:00+00:00,1777.89,870.3090558135117,0.8703041606616144,0.9999943753866922,0.8110997813075068,1831.237,1831.237,7449,2023-05-26 12:00:00+00:00,1831.237,stop,-26.114166826302597,-27.88088931445213,-0.030005793384292604,-0.0320357991776769,1.7667224881495316,7,3,True,-0.011342666666666645,-0.02069313251101025
1,0.45950710810331996,7452,2023-05-27 00:00:00+00:00,7453,2023-05-27 04:00:00+00:00,1833.33,842.4281664990596,0.8424281664990596,1.0,0.5594651419016339,1835.1633299999996,1778.3301,7509,2023-06-05 12:00:00+00:00,1835.1633299999996,stop,0.8424281664989242,-0.843270594665694,0.0009999999999998393,-0.0010010000000001606,1.6856987611646181,56,3,True,-0.011325731994251964,0.010324731994251803
-1,0.4649563244279895,7511,2023-06-05 20:00:00+00:00,7512,2023-06-06 00:00:00+00:00,1810.03,841.5848959043939,0.8415848959043939,1.0,0.7129951822813579,1864.3309,1864.3309,7516,2023-06-06 16:00:00+00:00,1864.3309,stop,-25.247546877131796,-26.955964215817716,-0.029999999999999978,-0.032029999999999975,1.7084173386859196,4,3,True,-0.01134266666666668,-0.020687333333333294
1,0.42134308382007757,7661,2023-06-30 20:00:00+00:00,7662,2023-07-01 00:00:00+00:00,1933.42,814.6289316885762,0.8146331451194144,1.0000051722086882,0.5169438420310012,1935.35342,1875.4077,7674,2023-07-03 00:00:00+00:00,1935.35342,stop,0.8146331451193477,-0.8154477782646006,0.000999999999999918,-0.001001000000000082,1.6300809233839484,12,3,True,-0.0010010000000001266,4.466912950640278e-17
-1,0.4382409714110456,7698,2023-07-07 00:00:00+00:00,7699,2023-07-07 04:00:00+00:00,1857.0,813.8134839103117,0.8138134839103117,1.0,0.48167561024071054,1912.71,1912.71,7737,2023-07-13 12:00:00+00:00,1912.71,stop,-24.414404517309368,-26.0664458896473,-0.030000000000000023,-0.032030000000000024,1.6520413723379328,38,1,True,-0.000999000000000004,-0.03103100000000002
1,0.39476964610699505,7738,2023-07-13 16:00:00+00:00,7739,2023-07-13 20:00:00+00:00,1995.46,787.7470380206644,0.7877470380206644,1.0,0.2528198488277834,1997.45546,1935.5962,7741,2023-07-14 04:00:00+00:00,1997.45546,stop,0.7877470380206116,-0.7885347850587378,0.000999999999999933,-0.001001000000000067,1.5762818230793494,2,3,True,-0.021647000000000038,0.02064599999999997
-1,0.41613356277528957,7768,2023-07-18 16:00:00+00:00,7769,2023-07-18 20:00:00+00:00,1891.13,786.9585032356056,0.7869626645712334,1.0000052878717374,0.27252438710510823,1889.2388700000001,1947.8536,7798,2023-07-23 16:00:00+00:00,1889.2388700000001,stop,0.7869626645712232,-0.7861757019066724,0.000999999999999987,-0.0009990000000000131,1.5731383664778957,29,3,True,-0.0009990000000000016,-1.1492543028346347e-17
1,0.422160346854735,7898,2023-08-09 08:00:00+00:00,7899,2023-08-09 12:00:00+00:00,1862.26,786.1723275336989,0.7861723275336989,1.0,0.3367422386899195,1808.5941190150115,1808.5941190150115,7943,2023-08-16 20:00:00+00:00,1808.5941190150115,stop,-22.655606930887657,-24.205295979024168,-0.02881760924091612,-0.030788791631675208,1.5496890481365102,44,3,True,-0.007694527109154287,-0.023094264522520922
1,0.4393234768910896,8020,2023-08-29 16:00:00+00:00,8021,2023-08-29 20:00:00+00:00,1734.41,761.9670315546747,0.7619670315546747,1.0,1.0077581720009292,1682.3777,1682.3777,8031,2023-08-31 12:00:00+00:00,1682.3777,stop,-22.859010946640275,-24.360085998802987,-0.030000000000000044,-0.03197000000000005,1.501075052162709,10,3,True,-0.004284986470223605,-0.027685013529776443
1,0.4514892059568786,8118,2023-09-15 00:00:00+00:00,8119,2023-09-15 04:00:00+00:00,1633.72,737.6069455558717,0.7376069455558717,1.0,0.682981845039831,1635.3537199999998,1584.7084,8140,2023-09-18 16:00:00+00:00,1635.3537199999998,stop,0.7376069455557868,-0.7383445525015124,0.0009999999999998849,-0.001001000000000115,1.4759514980572992,21,3,True,-0.02164699255318253,0.020645992553182415
-1,0.4654886929901264,8157,2023-09-21 12:00:00+00:00,8158,2023-09-21 16:00:00+00:00,1583.0,736.8686010033701,0.7368686010033701,1.0,0.7387875234535329,1630.49,1630.49,8192,2023-09-27 08:00:00+00:00,1630.49,stop,-22.106058030101106,-23.601901290137945,-0.030000000000000002,-0.03203,1.4958432600368412,34,3,True,-0.011344789949401043,-0.020685210050598958
