signal_i,signal_time,side,pre_pairwise_cross_count,pre_pairwise_cross_breadth,pre_bandwidth_atr_mean,pre_bandwidth_atr_max,atr_release_ratio,oscillator_score,pre_cross_imbalance,current_alignment,directional_order_entropy,breakout_distance_atr,slope_coherence,signed_mean_slope_atr,dense_start_score,pre_directional_cross_count,pre_opposite_cross_count,training_eligible,passes_dense_l0,passes_dense_l1,passes_dense_l2,passes_dense_l3,selected_profile,selected_gate_pass,outcome_label_included
327,2022-01-07 01:15:00+00:00,short,1.0,1.0,5.279230578915384,5.8027794989966655,1.0279034865370908,1.0255699129525326,1.0,10.0,0.6500224216483541,0.980327672359963,0.8333333333333334,0.11290206666951402,0.5043599197714205,1.0,0.0,False,False,False,False,False,dense_l1,False,False
841,2022-01-12 09:45:00+00:00,long,5.0,3.0,4.49508359084938,5.4968653901365006,1.2286550375587986,0.25954842746378587,-1.0,11.0,0.41381685030363385,1.537519695370336,1.0,0.08251527524311994,0.64532204702695,1.0,2.0,False,False,False,False,False,dense_l1,False,False
939,2022-01-13 10:15:00+00:00,long,1.0,1.0,3.491177015636083,4.125072513231139,1.1020558644826686,0.30258867499567854,1.0,10.0,0.6500224216483541,0.7323511610080127,0.8333333333333334,0.07020014569571396,0.529122756407983,1.0,0.0,False,True,False,False,False,dense_l1,False,False
1151,2022-01-15 15:15:00+00:00,long,7.0,4.0,1.8201630397745516,3.1600547989007968,1.1299537177985552,0.9890250498269252,0.0,12.0,0.0,1.5504770772587635,1.0,0.062014921649802546,0.7890544044512413,3.0,3.0,False,True,True,True,True,dense_l1,True,False
1276,2022-01-16 22:30:00+00:00,long,2.0,2.0,1.142447565719268,1.5573670748651898,0.8883255096745627,0.3049333953598687,1.0,12.0,0.0,0.7705069090611666,0.6666666666666666,0.0158067357557931,0.6814437645432335,1.0,0.0,False,True,True,False,False,dense_l1,True,False
1391,2022-01-18 03:15:00+00:00,short,1.0,1.0,3.7137313554897395,3.9132577030883726,0.9319517293041605,0.45257320205547247,0.0,12.0,0.0,1.3985384923743212,0.8333333333333334,0.014120863798899846,0.34941812119331206,0.0,0.0,False,False,False,False,False,dense_l1,False,False
1492,2022-01-19 04:30:00+00:00,short,3.0,2.0,1.9641747588204028,2.1957177180998784,1.0730574354980265,1.6353453273070588,1.0,11.0,0.41381685030363385,1.8889618010999671,1.0,0.10619412332853606,0.7428209685369581,2.0,1.0,False,True,True,True,True,dense_l1,True,False
1975,2022-01-24 05:15:00+00:00,short,6.0,6.0,1.2366547476722218,1.570900667695211,0.956055375290792,0.17428499631984196,6.0,9.0,0.8112781244591328,1.0228096514016156,0.8333333333333334,0.07799754684311483,0.8291745307699525,6.0,0.0,False,True,True,True,True,dense_l1,True,False
2077,2022-01-25 06:45:00+00:00,short,4.0,3.0,1.8390291443095759,2.6964080141190707,0.9489119112762923,0.259471886744346,-1.0,1.0,0.41381685030363374,0.05304427339752785,0.8333333333333334,0.030961018206687535,0.5526788009967519,0.0,1.0,False,False,False,False,False,dense_l1,False,False
2320,2022-01-27 19:30:00+00:00,short,2.0,2.0,1.9227052977245085,2.3331899715162017,1.0143266957602155,0.44552011237592826,2.0,9.0,0.8112781244591328,1.1586865685639443,0.8333333333333334,0.06711405653464404,0.6635990837722378,2.0,0.0,False,True,True,True,False,dense_l1,True,False
2869,2022-02-02 12:45:00+00:00,long,3.0,3.0,1.6021733254238095,1.7259822205920203,1.1505659121091432,0.19217181689334362,1.0,10.0,0.6500224216483541,1.8708991005993059,1.0,0.07821115816736167,0.7535220647826666,2.0,1.0,False,True,True,True,True,dense_l1,True,False
3296,2022-02-06 23:30:00+00:00,long,3.0,2.0,1.2189675188892743,1.3586762424972703,1.4160046139504725,0.5703312417772385,1.0,6.0,1.0,3.5317627497026285,1.0,0.0795373196360228,0.7860253548419347,1.0,0.0,False,True,True,False,False,dense_l1,True,False
3481,2022-02-08 21:45:00+00:00,long,2.0,2.0,2.873349208272362,3.15759324313663,0.9689435489456738,0.9851674319431551,-1.0,0.0,0.0,-0.2830371118435342,0.8333333333333334,0.05300714074536603,0.307025900304926,0.0,1.0,False,False,False,False,False,dense_l1,False,False
3628,2022-02-10 10:30:00+00:00,long,1.0,1.0,2.9292454986866,3.6420808168062506,1.135607961534452,0.766198715409825,1.0,9.0,0.8112781244591328,2.6389438722575447,1.0,0.15021756420881152,0.5881109003218457,1.0,0.0,False,True,False,False,False,dense_l1,False,False
3654,2022-02-10 17:00:00+00:00,long,12.0,9.0,0.7070536770946526,1.237928552154458,0.9831121181871749,1.3456107750228767,-5.0,7.0,0.9798687566511528,0.8352220430276742,0.6666666666666666,0.00924494805621027,0.6950596172945728,2.0,7.0,False,False,False,False,False,dense_l1,False,False
3755,2022-02-11 18:15:00+00:00,short,1.0,1.0,1.6233126743773125,2.0205619239363517,0.9562202479318705,0.3604169022683576,1.0,10.0,0.6500224216483541,1.2562118944165934,0.8333333333333334,0.05729497962662322,0.6150117338574123,1.0,0.0,False,True,False,False,False,dense_l1,False,False
3821,2022-02-12 10:45:00+00:00,short,1.0,1.0,5.321043950878143,5.723934175713094,0.9714768842351262,0.2410666810650588,0.0,12.0,0.0,0.8004304754251411,1.0,0.08209035995855828,0.39059973813583737,0.0,0.0,False,False,False,False,False,dense_l1,False,False
3940,2022-02-13 16:30:00+00:00,short,3.0,3.0,0.9414649639606375,1.1203924834587928,1.1655641498752318,0.8308947144558884,0.0,7.0,0.9798687566511528,2.460247894776123,1.0,0.09291310857261975,0.7542651976950192,1.0,1.0,False,True,True,False,False,dense_l1,True,False
4010,2022-02-14 10:00:00+00:00,short,0.0,0.0,2.4267194321447483,2.692273403129298,1.003157969968986,0.2282355669038653,0.0,12.0,0.0,-0.18422851531709317,0.8333333333333334,0.02430301181408841,0.3223461840157459,0.0,0.0,False,False,False,False,False,dense_l1,False,False
4190,2022-02-16 07:00:00+00:00,long,1.0,1.0,3.9830717936961277,5.2440164626056776,0.9342027140675166,0.13054711969577135,0.0,12.0,0.0,-0.049517850243402814,0.8333333333333334,0.03753144470509466,0.28506767324105897,0.0,0.0,False,False,False,False,False,dense_l1,False,False
4242,2022-02-16 20:00:00+00:00,long,3.0,3.0,2.504366693019946,3.210431601904187,1.177354677290132,1.1552696669213138,2.0,5.0,0.9798687566511528,2.1275060119634794,1.0,0.12271876117964015,0.7045220833461698,2.0,0.0,False,False,False,False,False,dense_l1,False,False
