candidate_id,side,signal_i,signal_time,features_available_at,earliest_entry_time,candidate_policy,pre_cross_path_efficiency_32,feature_contract,training_eligible
pine-v9|long|35073|2023-01-03T23:45:00+00:00,long,35073,2023-01-03 23:45:00+00:00,2023-01-04 00:00:00+00:00,2023-01-04 00:00:00+00:00,pine_eth_15m_v9_raw_guarded_signal_v1,0.1813261163734823,pine_pre_cross_path_efficiency_32_v1,False
pine-v9|long|35167|2023-01-04T23:15:00+00:00,long,35167,2023-01-04 23:15:00+00:00,2023-01-04 23:30:00+00:00,2023-01-04 23:30:00+00:00,pine_eth_15m_v9_raw_guarded_signal_v1,0.12384362876753399,pine_pre_cross_path_efficiency_32_v1,False
pine-v9|long|35249|2023-01-05T19:45:00+00:00,long,35249,2023-01-05 19:45:00+00:00,2023-01-05 20:00:00+00:00,2023-01-05 20:00:00+00:00,pine_eth_15m_v9_raw_guarded_signal_v1,0.014958696137527486,pine_pre_cross_path_efficiency_32_v1,False
pine-v9|long|35328|2023-01-06T15:30:00+00:00,long,35328,2023-01-06 15:30:00+00:00,2023-01-06 15:45:00+00:00,2023-01-06 15:45:00+00:00,pine_eth_15m_v9_raw_guarded_signal_v1,0.035691109669048024,pine_pre_cross_path_efficiency_32_v1,False
pine-v9|long|35914|2023-01-12T18:00:00+00:00,long,35914,2023-01-12 18:00:00+00:00,2023-01-12 18:15:00+00:00,2023-01-12 18:15:00+00:00,pine_eth_15m_v9_raw_guarded_signal_v1,0.16918893355403186,pine_pre_cross_path_efficiency_32_v1,False
pine-v9|long|35954|2023-01-13T04:00:00+00:00,long,35954,2023-01-13 04:00:00+00:00,2023-01-13 04:15:00+00:00,2023-01-13 04:15:00+00:00,pine_eth_15m_v9_raw_guarded_signal_v1,0.12405929304446837,pine_pre_cross_path_efficiency_32_v1,False
pine-v9|long|36000|2023-01-13T15:30:00+00:00,long,36000,2023-01-13 15:30:00+00:00,2023-01-13 15:45:00+00:00,2023-01-13 15:45:00+00:00,pine_eth_15m_v9_raw_guarded_signal_v1,0.3110624315443575,pine_pre_cross_path_efficiency_32_v1,False
pine-v9|long|36298|2023-01-16T18:00:00+00:00,long,36298,2023-01-16 18:00:00+00:00,2023-01-16 18:15:00+00:00,2023-01-16 18:15:00+00:00,pine_eth_15m_v9_raw_guarded_signal_v1,0.1294646315952585,pine_pre_cross_path_efficiency_32_v1,False
pine-v9|long|36373|2023-01-17T12:45:00+00:00,long,36373,2023-01-17 12:45:00+00:00,2023-01-17 13:00:00+00:00,2023-01-17 13:00:00+00:00,pine_eth_15m_v9_raw_guarded_signal_v1,0.027999374315656855,pine_pre_cross_path_efficiency_32_v1,False
pine-v9|long|36430|2023-01-18T03:00:00+00:00,long,36430,2023-01-18 03:00:00+00:00,2023-01-18 03:15:00+00:00,2023-01-18 03:15:00+00:00,pine_eth_15m_v9_raw_guarded_signal_v1,0.11196911196911118,pine_pre_cross_path_efficiency_32_v1,False
