trade_id,candidate_id,side,signal_i,signal_time,entry_time,exit_time,exit_reason,pre_cross_path_efficiency_32,project_net_return,net_positive,training_eligible
v9_path_efficiency_lineage|development_continuous_2023_2024|35073|35074|long,pine-v9|long|35073|2023-01-03T23:45:00+00:00,long,35073,2023-01-03 23:45:00+00:00,2023-01-04 00:00:00+00:00,2023-01-19 11:30:00+00:00,reverse,0.1813261163734823,0.24803910720313516,True,False
v9_path_efficiency_lineage|development_continuous_2023_2024|36559|36560|short,pine-v9|short|36559|2023-01-19T11:15:00+00:00,short,36559,2023-01-19 11:15:00+00:00,2023-01-19 11:30:00+00:00,2023-01-19 14:30:00+00:00,stop,0.07960784313725454,-0.013269108416594786,False,False
v9_path_efficiency_lineage|development_continuous_2023_2024|38598|38599|short,pine-v9|short|38598|2023-02-09T17:00:00+00:00,short,38598,2023-02-09 17:00:00+00:00,2023-02-09 17:15:00+00:00,2023-02-15 11:30:00+00:00,reverse,0.1324726354195906,0.041133591844008666,True,False
v9_path_efficiency_lineage|development_continuous_2023_2024|39151|39152|long,pine-v9|long|39151|2023-02-15T11:15:00+00:00,long,39151,2023-02-15 11:15:00+00:00,2023-02-15 11:30:00+00:00,2023-02-23 12:30:00+00:00,reverse,0.19630958482829652,0.053398566547640414,True,False
v9_path_efficiency_lineage|development_continuous_2023_2024|39923|39924|short,pine-v9|short|39923|2023-02-23T12:15:00+00:00,short,39923,2023-02-23 12:15:00+00:00,2023-02-23 12:30:00+00:00,2023-02-23 13:15:00+00:00,stop,0.3606474456246858,-0.018728126863582606,False,False
v9_path_efficiency_lineage|development_continuous_2023_2024|40305|40306|long,pine-v9|long|40305|2023-02-27T11:45:00+00:00,long,40305,2023-02-27 11:45:00+00:00,2023-02-27 12:00:00+00:00,2023-02-27 16:30:00+00:00,stop,0.01309164149043484,-0.010958935166563098,False,False
v9_path_efficiency_lineage|development_continuous_2023_2024|40404|40405|long,pine-v9|long|40404|2023-02-28T12:30:00+00:00,long,40404,2023-02-28 12:30:00+00:00,2023-02-28 12:45:00+00:00,2023-02-28 21:00:00+00:00,stop,0.17267489711933978,-0.011472822167626127,False,False
v9_path_efficiency_lineage|development_continuous_2023_2024|40648|40649|short,pine-v9|short|40648|2023-03-03T01:30:00+00:00,short,40648,2023-03-03 01:30:00+00:00,2023-03-03 01:45:00+00:00,2023-03-07 02:45:00+00:00,reverse,0.23486430062630473,-0.012738599871547905,False,False
v9_path_efficiency_lineage|development_continuous_2023_2024|41036|41037|long,pine-v9|long|41036|2023-03-07T02:30:00+00:00,long,41036,2023-03-07 02:30:00+00:00,2023-03-07 02:45:00+00:00,2023-03-07 14:30:00+00:00,stop,0.050505050505051094,-0.010845283786188207,False,False
v9_path_efficiency_lineage|development_continuous_2023_2024|41147|41148|short,pine-v9|short|41147|2023-03-08T06:15:00+00:00,short,41147,2023-03-08 06:15:00+00:00,2023-03-08 06:30:00+00:00,2023-03-12 17:30:00+00:00,reverse,0.13917355371900947,0.025592064707509854,True,False
v9_path_efficiency_lineage|development_continuous_2023_2024|41575|41576|long,pine-v9|long|41575|2023-03-12T17:15:00+00:00,long,41575,2023-03-12 17:15:00+00:00,2023-03-12 17:30:00+00:00,2023-03-25 06:15:00+00:00,reverse,0.04453186467348823,0.15430066371535012,True,False
v9_path_efficiency_lineage|development_continuous_2023_2024|42778|42779|short,pine-v9|short|42778|2023-03-25T06:00:00+00:00,short,42778,2023-03-25 06:00:00+00:00,2023-03-25 06:15:00+00:00,2023-03-26 00:00:00+00:00,stop,0.013865308432371362,-0.0009999999999999992,False,False
v9_path_efficiency_lineage|development_continuous_2023_2024|42944|42945|long,pine-v9|long|42944|2023-03-26T23:30:00+00:00,long,42944,2023-03-26 23:30:00+00:00,2023-03-26 23:45:00+00:00,2023-03-27 05:45:00+00:00,stop,0.1484492622703983,-0.01596256771732829,False,False
