trade_id,candidate_entry_time,direction,project_net_return,score,control_count,control_mean_project_net,excess_return,variant,period,stage
v15e_soft_l0|2023H1|35073|35074|long,2023-01-04 00:00:00+00:00,long,0.297338882439631,0.5568006970288966,3,-0.008392418893470345,0.3057313013331014,v15e_soft_l0,2023H1,profile_selection_2023_only
v15e_soft_l0|2023H1|37756|37757|short,2023-01-31 22:45:00+00:00,short,-0.01860129642185049,0.539012012187772,3,-0.003183345726537593,-0.015417950695312896,v15e_soft_l0,2023H1,profile_selection_2023_only
v15e_soft_l0|2023H1|38905|38906|short,2023-02-12 22:00:00+00:00,short,-0.0009999999999999992,0.731526004141803,3,-0.01048964329652413,0.00948964329652413,v15e_soft_l0,2023H1,profile_selection_2023_only
v15e_soft_l0|2023H1|39151|39152|long,2023-02-15 11:30:00+00:00,long,0.05721982171757389,0.7413809945475847,3,-0.0047258730081063014,0.06194569472568019,v15e_soft_l0,2023H1,profile_selection_2023_only
v15e_soft_l0|2023H1|39985|39986|short,2023-02-24 04:00:00+00:00,short,-0.0009999999999999992,0.5801744715365864,3,-0.0033032444409396926,0.0023032444409396935,v15e_soft_l0,2023H1,profile_selection_2023_only
v15e_soft_l0|2023H1|40404|40405|long,2023-02-28 12:45:00+00:00,long,-0.011472822167626127,0.611614790465517,3,-0.005495994788225117,-0.00597682737940101,v15e_soft_l0,2023H1,profile_selection_2023_only
v15e_soft_l0|2023H1|40648|40649|short,2023-03-03 01:45:00+00:00,short,-0.012738599871547905,0.8379718143731127,3,-0.020438256688463514,0.007699656816915609,v15e_soft_l0,2023H1,profile_selection_2023_only
v15e_soft_l0|2023H1|41036|41037|long,2023-03-07 02:45:00+00:00,long,-0.010845283786188207,0.7052614501632705,3,-0.009868690817022387,-0.0009765929691658206,v15e_soft_l0,2023H1,profile_selection_2023_only
v15e_soft_l0|2023H1|41147|41148|short,2023-03-08 06:30:00+00:00,short,0.025592064707509854,0.6466501800696001,3,0.003020525436457108,0.022571539271052744,v15e_soft_l0,2023H1,profile_selection_2023_only
v15e_soft_l0|2023H1|41575|41576|long,2023-03-12 17:30:00+00:00,long,0.23525673145004933,0.8169194161466273,3,0.0635624333277978,0.1716942981222515,v15e_soft_l0,2023H1,profile_selection_2023_only
v15e_soft_l0|2023H1|44027|44028|short,2023-04-07 06:30:00+00:00,short,-0.0010000000000001102,0.6716887729392844,3,-0.005235749839552659,0.004235749839552549,v15e_soft_l0,2023H1,profile_selection_2023_only
v15e_soft_l0|2023H1|45944|45945|long,2023-04-27 05:45:00+00:00,long,-0.02639662844877222,0.6955177137518918,3,-0.010013402066035551,-0.01638322638273667,v15e_soft_l0,2023H1,profile_selection_2023_only
v15e_soft_l0|2023H1|46533|46534|long,2023-05-03 09:00:00+00:00,long,-0.010825213672926546,0.6427219554236749,3,0.0017450060376189586,-0.012570219710545505,v15e_soft_l0,2023H1,profile_selection_2023_only
v15e_soft_l0|2023H1|46569|46570|long,2023-05-03 18:00:00+00:00,long,-0.0010000000000001102,0.6921013712082013,3,-0.0012433084247178334,0.00024330842471772325,v15e_soft_l0,2023H1,profile_selection_2023_only
v15e_soft_l0|2023H1|46698|46699|long,2023-05-05 02:15:00+00:00,long,-0.0010000000000001102,0.5787040317223469,3,-0.011747704733602241,0.01074770473360213,v15e_soft_l0,2023H1,profile_selection_2023_only
v15e_soft_l0|2023H1|47049|47050|short,2023-05-08 18:00:00+00:00,short,-0.024205051484812,0.8287114707436106,3,-0.02218536286315853,-0.0020196886216534704,v15e_soft_l0,2023H1,profile_selection_2023_only
v15e_soft_l0|2023H1|47243|47244|short,2023-05-10 18:30:00+00:00,short,-0.0009999999999999992,0.5685989723145553,3,0.02785859821497198,-0.028858598214971977,v15e_soft_l0,2023H1,profile_selection_2023_only
v15e_soft_l0|2023H1|47659|47660|long,2023-05-15 02:30:00+00:00,long,-0.018036064692687814,0.7762581971328205,3,-0.00446976649592105,-0.013566298196766764,v15e_soft_l0,2023H1,profile_selection_2023_only
v15e_soft_l0|2023H1|48813|48814|long,2023-05-27 03:00:00+00:00,long,-0.008080303633458573,0.7354962122783844,3,-0.006273559331932815,-0.0018067443015257574,v15e_soft_l0,2023H1,profile_selection_2023_only
v15e_soft_l0|2023H1|49377|49378|short,2023-06-02 00:00:00+00:00,short,-0.012226827159101282,0.5893245255348751,3,-0.0034510109465520525,-0.008775816212549229,v15e_soft_l0,2023H1,profile_selection_2023_only
v15e_soft_l0|2023H1|49443|49444|long,2023-06-02 16:30:00+00:00,long,-0.013160229769436425,0.5633334756097524,3,-0.0048782564969455456,-0.008281973272490879,v15e_soft_l0,2023H1,profile_selection_2023_only
v15e_soft_l0|2023H1|50053|50054|short,2023-06-09 01:00:00+00:00,short,0.05462628387978441,0.5833269249641412,3,0.041368244574859325,0.013258039304925084,v15e_soft_l0,2023H1,profile_selection_2023_only
v15e_soft_l0|2023H1|51083|51084|long,2023-06-19 18:30:00+00:00,long,-0.01836008277765011,0.7230724523225602,3,-0.006721364562471778,-0.011638718215178333,v15e_soft_l0,2023H1,profile_selection_2023_only
v15e_soft_l0|2023H1|51414|51415|long,2023-06-23 05:15:00+00:00,long,-0.010895690850829752,0.5223309640872319,3,0.003614749177846804,-0.014510440028676555,v15e_soft_l0,2023H1,profile_selection_2023_only
v15e_soft_l0|2023H1|51456|51457|long,2023-06-23 15:45:00+00:00,long,-0.0010000000000001102,0.7207417408970105,3,-0.0008474118955835701,-0.00015258810441654003,v15e_soft_l0,2023H1,profile_selection_2023_only
v15e_soft_l0|2023H1|51723|51724|short,2023-06-26 10:30:00+00:00,short,-0.015134026651062669,0.6355117803774666,3,0.014124217030743217,-0.029258243681805886,v15e_soft_l0,2023H1,profile_selection_2023_only
v15e_soft_l0|2023H1|51749|51750|short,2023-06-26 17:00:00+00:00,short,-0.023192660550458655,0.8157590114404318,3,0.003258822249220953,-0.02645148279967961,v15e_soft_l0,2023H1,profile_selection_2023_only
v15e_soft_l0|2023H1|52080|52081|long,2023-06-30 03:45:00+00:00,long,-0.0010000000000001102,0.8197447218647993,3,-0.0034537756116157117,0.0024537756116156015,v15e_soft_l0,2023H1,profile_selection_2023_only
v15e_soft_l0|2023H1|52137|52138|long,2023-06-30 18:00:00+00:00,long,-0.0011098183926010457,0.8161284610839364,3,0.01498335168684998,-0.016093170079451026,v15e_soft_l0,2023H1,profile_selection_2023_only
v15e_soft_l0|2023H2|52344|52345|long,2023-07-02 21:45:00+00:00,long,-0.0010000000000001102,0.7230199636346416,3,-0.0029195515572369973,0.001919551557236887,v15e_soft_l0,2023H2,profile_selection_2023_only
v15e_soft_l0|2023H2|52495|52496|long,2023-07-04 11:30:00+00:00,long,-0.00916192693098927,0.5845790260611992,3,-0.003534477975490556,-0.005627448955498715,v15e_soft_l0,2023H2,profile_selection_2023_only
v15e_soft_l0|2023H2|52849|52850|short,2023-07-08 04:00:00+00:00,short,-0.008737329957516192,0.610737469867722,3,0.008227522048265528,-0.016964852005781718,v15e_soft_l0,2023H2,profile_selection_2023_only
v15e_soft_l0|2023H2|53016|53017|long,2023-07-09 21:45:00+00:00,long,-0.005210290049705966,0.6541435329683204,3,-0.00024038285322735935,-0.004969907196478607,v15e_soft_l0,2023H2,profile_selection_2023_only
v15e_soft_l0|2023H2|53019|53020|short,2023-07-09 22:30:00+00:00,short,-0.01097482004734318,0.6108947888306872,3,0.002108936447629478,-0.013083756494972657,v15e_soft_l0,2023H2,profile_selection_2023_only
v15e_soft_l0|2023H2|53683|53684|short,2023-07-16 20:30:00+00:00,short,-0.0009999999999998881,0.6306207768793739,3,-0.009390816742077533,0.008390816742077645,v15e_soft_l0,2023H2,profile_selection_2023_only
v15e_soft_l0|2023H2|54048|54049|short,2023-07-20 15:45:00+00:00,short,-0.0009999999999999992,0.6988551107257741,3,0.024947017581646153,-0.02594701758164615,v15e_soft_l0,2023H2,profile_selection_2023_only
v15e_soft_l0|2023H2|54380|54381|short,2023-07-24 02:45:00+00:00,short,-0.0009999999999999992,0.674701933355302,3,0.004241417198701009,-0.005241417198701008,v15e_soft_l0,2023H2,profile_selection_2023_only
v15e_soft_l0|2023H2|55026|55027|short,2023-07-30 20:15:00+00:00,short,-0.010942006396392976,0.8581764942191414,3,0.0013650665065278289,-0.012307072902920805,v15e_soft_l0,2023H2,profile_selection_2023_only
v15e_soft_l0|2023H2|55060|55061|short,2023-07-31 04:45:00+00:00,short,-0.0009999999999999992,0.5462476204945427,3,-0.008416627705406814,0.007416627705406815,v15e_soft_l0,2023H2,profile_selection_2023_only
