regime_period,trade_id,candidate_signal_i,candidate_entry_time,candidate_project_net_return,direction,holding_bars,control_rank,control_signal_i,control_signal_time,stratum_month,stratum_hk_6h,stratum_atr_quintile,control_entry_i,control_exit_i,control_entry_price,control_exit_price,control_exit_reason,control_gross_return,control_project_net_return,control_pine_net_return
2022H1,v9_regime_stability|2022H1|2869|2870|long,2869,2022-02-02 13:00:00+00:00,-0.022651611175578013,long,6,0,4013,2022-02-14 10:45:00+00:00,2022-02,3,0,4014,4020,2872.31,2903.18,copied_horizon,0.01074744717666265,0.00874744717666265,0.008736699729485988
2022H1,v9_regime_stability|2022H1|2869|2870|long,2869,2022-02-02 13:00:00+00:00,-0.022651611175578013,long,6,1,4018,2022-02-14 12:00:00+00:00,2022-02,3,0,4019,4025,2864.73,2937.24,copied_horizon,0.02531128588034459,0.02331128588034459,0.023285974594464246
2022H1,v9_regime_stability|2022H1|2869|2870|long,2869,2022-02-02 13:00:00+00:00,-0.022651611175578013,long,6,2,2861,2022-02-02 10:45:00+00:00,2022-02,3,0,2862,2868,2764.01,2798.91,copied_horizon,0.012626582392972319,0.010626582392972319,0.010613955810579346
2022H1,v9_regime_stability|2022H1|3296|3297|long,3296,2022-02-06 23:45:00+00:00,-0.024219253863120183,long,3,0,4256,2022-02-16 23:30:00+00:00,2022-02,1,1,4257,4260,3139.0,3142.23,copied_horizon,0.0010289901242432897,-0.0009710098757567103,-0.0009720388658809535
2022H1,v9_regime_stability|2022H1|3296|3297|long,3296,2022-02-06 23:45:00+00:00,-0.024219253863120183,long,3,1,3393,2022-02-07 23:45:00+00:00,2022-02,1,1,3394,3397,3139.25,3129.57,copied_horizon,-0.003083539061877749,-0.005083539061877749,-0.0050804555228158715
2022H1,v9_regime_stability|2022H1|3296|3297|long,3296,2022-02-06 23:45:00+00:00,-0.024219253863120183,long,3,2,4271,2022-02-17 03:15:00+00:00,2022-02,1,1,4272,4274,3115.77,3053.83,stop,-0.019879516138867737,-0.02187951613886774,-0.02185963662272887
2022H1,v9_regime_stability|2022H1|3481|3482|long,3481,2022-02-08 22:00:00+00:00,-0.0010000000000001102,long,160,0,4247,2022-02-16 21:15:00+00:00,2022-02,0,2,4248,4274,3149.46,3076.68,stop,-0.02310872340020198,-0.025108723400201982,-0.025085614676801777
2022H1,v9_regime_stability|2022H1|3481|3482|long,3481,2022-02-08 22:00:00+00:00,-0.0010000000000001102,long,160,1,2996,2022-02-03 20:30:00+00:00,2022-02,0,2,2997,3157,2596.89,3006.0,copied_horizon,0.1575384402111757,0.1555384402111757,0.1553809017709645
2022H1,v9_regime_stability|2022H1|3481|3482|long,3481,2022-02-08 22:00:00+00:00,-0.0010000000000001102,long,160,2,5401,2022-02-28 21:45:00+00:00,2022-02,0,2,5402,5562,2820.5,2958.31,copied_horizon,0.04886013118241439,0.04686013118241439,0.04681127105123198
2022H1,v9_regime_stability|2022H1|3654|3655|long,3654,2022-02-10 17:15:00+00:00,-0.03199907324457085,long,7,0,3661,2022-02-10 18:45:00+00:00,2022-02,0,4,3662,3668,3184.91,3089.3599999999997,stop,-0.030000847747660098,-0.0320008477476601,-0.03197084689991244
2022H1,v9_regime_stability|2022H1|3654|3655|long,3654,2022-02-10 17:15:00+00:00,-0.03199907324457085,long,7,1,4805,2022-02-22 16:45:00+00:00,2022-02,0,4,4806,4813,2602.04,2592.9,copied_horizon,-0.0035126285529815116,-0.005512628552981512,-0.0055091159244285304
2022H1,v9_regime_stability|2022H1|3654|3655|long,3654,2022-02-10 17:15:00+00:00,-0.03199907324457085,long,7,2,5093,2022-02-25 16:45:00+00:00,2022-02,0,4,5094,5101,2725.46,2675.28,copied_horizon,-0.018411570890785378,-0.02041157089078538,-0.02039315931989459
2022H1,v9_regime_stability|2022H1|3755|3756|short,3755,2022-02-11 18:30:00+00:00,-0.0009999999999999992,short,341,0,3471,2022-02-08 19:15:00+00:00,2022-02,0,2,3472,3476,3034.9,3115.78,stop,-0.02664997199248753,-0.028649971992487533,-0.02867662196448002
2022H1,v9_regime_stability|2022H1|3755|3756|short,3755,2022-02-11 18:30:00+00:00,-0.0009999999999999992,short,341,1,2894,2022-02-02 19:00:00+00:00,2022-02,0,2,2895,2908,2691.9,2689.2081000000003,stop,0.0009999999999998899,-0.0010000000000001102,-0.0009990000000001105
2022H1,v9_regime_stability|2022H1|3755|3756|short,3755,2022-02-11 18:30:00+00:00,-0.0009999999999999992,short,341,2,3951,2022-02-13 19:15:00+00:00,2022-02,0,2,3952,4022,2857.71,2932.55,stop,-0.02618880152289771,-0.02818880152289771,-0.028214990324420607
2022H1,v9_regime_stability|2022H1|4190|4191|long,4190,2022-02-16 07:15:00+00:00,-0.019309832609964328,long,26,0,4474,2022-02-19 06:00:00+00:00,2022-02,2,0,4475,4496,2805.26,2755.3,stop,-0.017809400911145468,-0.01980940091114547,-0.01979159151023432
2022H1,v9_regime_stability|2022H1|4190|4191|long,4190,2022-02-16 07:15:00+00:00,-0.019309832609964328,long,26,1,2749,2022-02-01 06:45:00+00:00,2022-02,2,0,2750,2760,2732.13,2734.86213,stop,0.0009999999999998899,-0.0010000000000001102,-0.0010010000000001099
2022H1,v9_regime_stability|2022H1|4190|4191|long,4190,2022-02-16 07:15:00+00:00,-0.019309832609964328,long,26,2,3997,2022-02-14 06:45:00+00:00,2022-02,2,0,3998,4024,2871.01,2925.67,copied_horizon,0.019038596173472033,0.01703859617347203,0.01701955757729856
2022H1,v9_regime_stability|2022H1|4242|4243|long,4242,2022-02-16 20:15:00+00:00,-0.028394935205251826,long,31,0,5397,2022-02-28 20:45:00+00:00,2022-02,0,3,5398,5429,2834.33,2924.81,copied_horizon,0.03192288830164447,0.029922888301644468,0.029890965413342824
2022H1,v9_regime_stability|2022H1|4242|4243|long,4242,2022-02-16 20:15:00+00:00,-0.028394935205251826,long,31,1,2887,2022-02-02 17:15:00+00:00,2022-02,0,3,2888,2903,2678.27,2680.94827,stop,0.0009999999999998899,-0.0010000000000001102,-0.0010010000000001099
2022H1,v9_regime_stability|2022H1|4242|4243|long,4242,2022-02-16 20:15:00+00:00,-0.028394935205251826,long,31,2,3476,2022-02-08 20:30:00+00:00,2022-02,0,3,3477,3508,3106.2,3085.09,copied_horizon,-0.006796085248856998,-0.008796085248856998,-0.008789289163608141
2022H1,v9_regime_stability|2022H1|4489|4490|short,4489,2022-02-19 10:00:00+00:00,-0.0009999999999999992,short,25,0,3507,2022-02-09 04:15:00+00:00,2022-02,2,0,3508,3531,3083.26,3140.2700000000004,stop,-0.018490169495923192,-0.020490169495923194,-0.020508659665419114
2022H1,v9_regime_stability|2022H1|4489|4490|short,4489,2022-02-19 10:00:00+00:00,-0.0009999999999999992,short,25,1,3334,2022-02-07 09:00:00+00:00,2022-02,2,0,3335,3357,3069.57,3125.44,stop,-0.01820124642865273,-0.02020124642865273,-0.02021944767508138
2022H1,v9_regime_stability|2022H1|4489|4490|short,4489,2022-02-19 10:00:00+00:00,-0.0009999999999999992,short,25,2,4195,2022-02-16 08:15:00+00:00,2022-02,2,0,4196,4221,3157.3,3062.79,copied_horizon,0.02993380419979108,0.02793380419979108,0.027963738003990872
2022H1,v9_regime_stability|2022H1|4631|4632|short,4631,2022-02-20 21:30:00+00:00,-0.027456767586132358,short,5,0,4130,2022-02-15 16:00:00+00:00,2022-02,0,1,4131,4136,3134.61,3098.73,copied_horizon,0.011446400030625803,0.009446400030625803,0.00945784643065643
2022H1,v9_regime_stability|2022H1|4631|4632|short,4631,2022-02-20 21:30:00+00:00,-0.027456767586132358,short,5,1,4228,2022-02-16 16:30:00+00:00,2022-02,0,1,4229,4234,3066.6,3077.36,copied_horizon,-0.0035087719298245723,-0.005508771929824572,-0.005512280701754397
2022H1,v9_regime_stability|2022H1|4631|4632|short,4631,2022-02-20 21:30:00+00:00,-0.027456767586132358,short,5,2,4626,2022-02-20 20:00:00+00:00,2022-02,0,1,4627,4632,2631.78,2582.81,copied_horizon,0.018607178411569447,0.016607178411569445,0.016625785589981016
2022H1,v9_regime_stability|2022H1|4689|4690|short,4689,2022-02-21 12:00:00+00:00,-0.0009999999999999992,short,8,0,3536,2022-02-09 11:30:00+00:00,2022-02,3,2,3537,3542,3138.98,3211.39,stop,-0.023068002981860403,-0.025068002981860404,-0.025091070984842263
2022H1,v9_regime_stability|2022H1|4689|4690|short,4689,2022-02-21 12:00:00+00:00,-0.0009999999999999992,short,8,1,3533,2022-02-09 10:45:00+00:00,2022-02,3,2,3534,3542,3136.34,3210.65,stop,-0.023693222035876094,-0.025693222035876095,-0.02571691525791197
2022H1,v9_regime_stability|2022H1|4689|4690|short,4689,2022-02-21 12:00:00+00:00,-0.0009999999999999992,short,8,2,3052,2022-02-04 10:30:00+00:00,2022-02,3,2,3053,3061,2837.79,2839.92,copied_horizon,-0.0007505840812744857,-0.0027505840812744858,-0.0027513346653557603
2022H1,v9_regime_stability|2022H1|4716|4717|short,4716,2022-02-21 18:45:00+00:00,-0.03199885762156818,short,0,0,3764,2022-02-11 20:30:00+00:00,2022-02,0,4,3765,3765,2929.45,2918.99,copied_horizon,0.003570636126235316,0.0015706361262353159,0.0015742067623615514
