visual_id,image_path,sheet_no,sheet_position,timeframe_min,status
V0001,blind/cards/V0001.png,1,1,30,ready
V0002,blind/cards/V0002.png,1,2,30,ready
V0003,blind/cards/V0003.png,1,3,30,ready
V0004,blind/cards/V0004.png,1,4,60,ready
V0005,blind/cards/V0005.png,1,5,30,ready
V0006,blind/cards/V0006.png,1,6,30,ready
V0007,blind/cards/V0007.png,1,7,30,ready
V0008,blind/cards/V0008.png,1,8,30,ready
V0009,blind/cards/V0009.png,2,1,30,ready
V0010,blind/cards/V0010.png,2,2,30,ready
V0011,blind/cards/V0011.png,2,3,30,ready
V0012,blind/cards/V0012.png,2,4,30,ready
V0013,blind/cards/V0013.png,2,5,60,ready
V0014,blind/cards/V0014.png,2,6,60,ready
V0015,blind/cards/V0015.png,2,7,60,ready
V0016,blind/cards/V0016.png,2,8,240,ready
V0017,blind/cards/V0017.png,3,1,240,ready
V0018,blind/cards/V0018.png,3,2,30,ready
V0019,blind/cards/V0019.png,3,3,30,ready
V0020,blind/cards/V0020.png,3,4,30,ready
V0021,blind/cards/V0021.png,3,5,30,ready
V0022,blind/cards/V0022.png,3,6,30,ready
V0023,blind/cards/V0023.png,3,7,240,ready
V0024,blind/cards/V0024.png,3,8,30,ready
V0025,blind/cards/V0025.png,4,1,30,ready
V0026,blind/cards/V0026.png,4,2,30,ready
V0027,blind/cards/V0027.png,4,3,240,ready
V0028,blind/cards/V0028.png,4,4,30,ready
V0029,blind/cards/V0029.png,4,5,30,ready
V0030,blind/cards/V0030.png,4,6,60,ready
V0031,blind/cards/V0031.png,4,7,30,ready
V0032,blind/cards/V0032.png,4,8,30,ready
V0033,blind/cards/V0033.png,5,1,30,ready
V0034,blind/cards/V0034.png,5,2,30,ready
V0035,blind/cards/V0035.png,5,3,60,ready
V0036,blind/cards/V0036.png,5,4,30,ready
V0037,blind/cards/V0037.png,5,5,30,ready
V0038,blind/cards/V0038.png,5,6,30,ready
V0039,blind/cards/V0039.png,5,7,30,ready
V0040,blind/cards/V0040.png,5,8,30,ready
V0041,blind/cards/V0041.png,6,1,240,ready
V0042,blind/cards/V0042.png,6,2,60,ready
V0043,blind/cards/V0043.png,6,3,60,ready
V0044,blind/cards/V0044.png,6,4,30,ready
V0045,blind/cards/V0045.png,6,5,30,ready
V0046,blind/cards/V0046.png,6,6,30,ready
V0047,blind/cards/V0047.png,6,7,60,ready
V0048,blind/cards/V0048.png,6,8,30,ready
V0049,blind/cards/V0049.png,7,1,30,ready
V0050,blind/cards/V0050.png,7,2,60,ready
V0051,blind/cards/V0051.png,7,3,30,ready
V0052,blind/cards/V0052.png,7,4,30,ready
V0053,blind/cards/V0053.png,7,5,30,ready
V0054,blind/cards/V0054.png,7,6,30,ready
V0055,blind/cards/V0055.png,7,7,30,ready
V0056,blind/cards/V0056.png,7,8,30,ready
V0057,blind/cards/V0057.png,8,1,60,ready
V0058,blind/cards/V0058.png,8,2,30,ready
V0059,blind/cards/V0059.png,8,3,60,ready
V0060,blind/cards/V0060.png,8,4,60,ready
V0061,blind/cards/V0061.png,8,5,60,ready
V0062,blind/cards/V0062.png,8,6,30,ready
V0063,blind/cards/V0063.png,8,7,30,ready
V0064,blind/cards/V0064.png,8,8,60,ready
V0065,blind/cards/V0065.png,9,1,30,ready
V0066,blind/cards/V0066.png,9,2,30,ready
V0067,blind/cards/V0067.png,9,3,30,ready
V0068,blind/cards/V0068.png,9,4,30,ready
V0069,blind/cards/V0069.png,9,5,30,ready
V0070,blind/cards/V0070.png,9,6,30,ready
V0071,blind/cards/V0071.png,9,7,30,ready
V0072,blind/cards/V0072.png,9,8,30,ready
V0073,blind/cards/V0073.png,10,1,60,ready
V0074,blind/cards/V0074.png,10,2,30,ready
V0075,blind/cards/V0075.png,10,3,60,ready
V0076,blind/cards/V0076.png,10,4,240,ready
V0077,blind/cards/V0077.png,10,5,60,ready
V0078,blind/cards/V0078.png,10,6,30,ready
V0079,blind/cards/V0079.png,10,7,240,ready
V0080,blind/cards/V0080.png,10,8,60,ready
V0081,blind/cards/V0081.png,11,1,30,ready
V0082,blind/cards/V0082.png,11,2,30,ready
V0083,blind/cards/V0083.png,11,3,60,ready
V0084,blind/cards/V0084.png,11,4,60,ready
V0085,blind/cards/V0085.png,11,5,30,ready
V0086,blind/cards/V0086.png,11,6,30,ready
V0087,blind/cards/V0087.png,11,7,240,ready
V0088,blind/cards/V0088.png,11,8,60,ready
V0089,blind/cards/V0089.png,12,1,60,ready
V0090,blind/cards/V0090.png,12,2,30,ready
V0091,blind/cards/V0091.png,12,3,240,ready
V0092,blind/cards/V0092.png,12,4,240,ready
V0093,blind/cards/V0093.png,12,5,240,ready
V0094,blind/cards/V0094.png,12,6,240,ready
V0095,blind/cards/V0095.png,12,7,30,ready
V0096,blind/cards/V0096.png,12,8,30,ready
V0097,blind/cards/V0097.png,13,1,60,ready
V0098,blind/cards/V0098.png,13,2,30,ready
V0099,blind/cards/V0099.png,13,3,30,ready
V0100,blind/cards/V0100.png,13,4,30,ready
V0101,blind/cards/V0101.png,13,5,60,ready
V0102,blind/cards/V0102.png,13,6,30,ready
V0103,blind/cards/V0103.png,13,7,60,ready
V0104,blind/cards/V0104.png,13,8,30,ready
V0105,blind/cards/V0105.png,14,1,30,ready
V0106,blind/cards/V0106.png,14,2,30,ready
V0107,blind/cards/V0107.png,14,3,30,ready
V0108,blind/cards/V0108.png,14,4,30,ready
V0109,blind/cards/V0109.png,14,5,30,ready
V0110,blind/cards/V0110.png,14,6,240,ready
V0111,blind/cards/V0111.png,14,7,60,ready
V0112,blind/cards/V0112.png,14,8,60,ready
V0113,blind/cards/V0113.png,15,1,60,ready
V0114,blind/cards/V0114.png,15,2,30,ready
V0115,blind/cards/V0115.png,15,3,30,ready
V0116,blind/cards/V0116.png,15,4,30,ready
V0117,blind/cards/V0117.png,15,5,30,ready
V0118,blind/cards/V0118.png,15,6,240,ready
V0119,blind/cards/V0119.png,15,7,240,ready
V0120,blind/cards/V0120.png,15,8,30,ready
V0121,blind/cards/V0121.png,16,1,60,ready
V0122,blind/cards/V0122.png,16,2,30,ready
V0123,blind/cards/V0123.png,16,3,30,ready
V0124,blind/cards/V0124.png,16,4,30,ready
V0125,blind/cards/V0125.png,16,5,240,ready
V0126,blind/cards/V0126.png,16,6,30,ready
V0127,blind/cards/V0127.png,16,7,30,ready
V0128,blind/cards/V0128.png,16,8,60,ready
V0129,blind/cards/V0129.png,17,1,30,ready
V0130,blind/cards/V0130.png,17,2,240,ready
V0131,blind/cards/V0131.png,17,3,30,ready
V0132,blind/cards/V0132.png,17,4,60,ready
V0133,blind/cards/V0133.png,17,5,30,ready
V0134,blind/cards/V0134.png,17,6,60,ready
V0135,blind/cards/V0135.png,17,7,30,ready
V0136,blind/cards/V0136.png,17,8,30,ready
V0137,blind/cards/V0137.png,18,1,30,ready
V0138,blind/cards/V0138.png,18,2,60,ready
V0139,blind/cards/V0139.png,18,3,30,ready
V0140,blind/cards/V0140.png,18,4,60,ready
V0141,blind/cards/V0141.png,18,5,30,ready
V0142,blind/cards/V0142.png,18,6,60,ready
V0143,blind/cards/V0143.png,18,7,240,ready
V0144,blind/cards/V0144.png,18,8,30,ready
V0145,blind/cards/V0145.png,19,1,30,ready
V0146,blind/cards/V0146.png,19,2,60,ready
V0147,blind/cards/V0147.png,19,3,30,ready
V0148,blind/cards/V0148.png,19,4,240,ready
V0149,blind/cards/V0149.png,19,5,30,ready
V0150,blind/cards/V0150.png,19,6,30,ready
V0151,blind/cards/V0151.png,19,7,30,ready
V0152,blind/cards/V0152.png,19,8,30,ready
V0153,blind/cards/V0153.png,20,1,30,ready
V0154,blind/cards/V0154.png,20,2,30,ready
V0155,blind/cards/V0155.png,20,3,30,ready
V0156,blind/cards/V0156.png,20,4,30,ready
V0157,blind/cards/V0157.png,20,5,60,ready
V0158,blind/cards/V0158.png,20,6,240,ready
V0159,blind/cards/V0159.png,20,7,30,ready
V0160,blind/cards/V0160.png,20,8,60,ready
V0161,blind/cards/V0161.png,21,1,30,ready
V0162,blind/cards/V0162.png,21,2,30,ready
V0163,blind/cards/V0163.png,21,3,30,ready
V0164,blind/cards/V0164.png,21,4,60,ready
V0165,blind/cards/V0165.png,21,5,30,ready
V0166,blind/cards/V0166.png,21,6,30,ready
V0167,blind/cards/V0167.png,21,7,240,ready
V0168,blind/cards/V0168.png,21,8,30,ready
V0169,blind/cards/V0169.png,22,1,30,ready
V0170,blind/cards/V0170.png,22,2,30,ready
V0171,blind/cards/V0171.png,22,3,60,ready
V0172,blind/cards/V0172.png,22,4,30,ready
V0173,blind/cards/V0173.png,22,5,30,ready
V0174,blind/cards/V0174.png,22,6,30,ready
V0175,blind/cards/V0175.png,22,7,30,ready
V0176,blind/cards/V0176.png,22,8,240,ready
V0177,blind/cards/V0177.png,23,1,30,ready
V0178,blind/cards/V0178.png,23,2,30,ready
V0179,blind/cards/V0179.png,23,3,30,ready
V0180,blind/cards/V0180.png,23,4,60,ready
V0181,blind/cards/V0181.png,23,5,60,ready
V0182,blind/cards/V0182.png,23,6,30,ready
V0183,blind/cards/V0183.png,23,7,30,ready
V0184,blind/cards/V0184.png,23,8,30,ready
V0185,blind/cards/V0185.png,24,1,30,ready
V0186,blind/cards/V0186.png,24,2,30,ready
V0187,blind/cards/V0187.png,24,3,60,ready
V0188,blind/cards/V0188.png,24,4,60,ready
V0189,blind/cards/V0189.png,24,5,60,ready
V0190,blind/cards/V0190.png,24,6,30,ready
V0191,blind/cards/V0191.png,24,7,240,ready
V0192,blind/cards/V0192.png,24,8,30,ready
V0193,blind/cards/V0193.png,25,1,30,ready
V0194,blind/cards/V0194.png,25,2,240,ready
V0195,blind/cards/V0195.png,25,3,30,ready
V0196,blind/cards/V0196.png,25,4,30,ready
V0197,blind/cards/V0197.png,25,5,30,ready
V0198,blind/cards/V0198.png,25,6,30,ready
V0199,blind/cards/V0199.png,25,7,30,ready
V0200,blind/cards/V0200.png,25,8,60,ready
V0201,blind/cards/V0201.png,26,1,30,ready
V0202,blind/cards/V0202.png,26,2,30,ready
V0203,blind/cards/V0203.png,26,3,30,ready
V0204,blind/cards/V0204.png,26,4,30,ready
V0205,blind/cards/V0205.png,26,5,60,ready
V0206,blind/cards/V0206.png,26,6,60,ready
V0207,blind/cards/V0207.png,26,7,30,ready
V0208,blind/cards/V0208.png,26,8,30,ready
V0209,blind/cards/V0209.png,27,1,30,ready
V0210,blind/cards/V0210.png,27,2,60,ready
V0211,blind/cards/V0211.png,27,3,240,ready
V0212,blind/cards/V0212.png,27,4,240,ready
V0213,blind/cards/V0213.png,27,5,30,ready
V0214,blind/cards/V0214.png,27,6,30,ready
V0215,blind/cards/V0215.png,27,7,30,ready
V0216,blind/cards/V0216.png,27,8,30,ready
V0217,blind/cards/V0217.png,28,1,30,ready
V0218,blind/cards/V0218.png,28,2,30,ready
V0219,blind/cards/V0219.png,28,3,30,ready
V0220,blind/cards/V0220.png,28,4,30,ready
V0221,blind/cards/V0221.png,28,5,30,ready
V0222,blind/cards/V0222.png,28,6,30,ready
V0223,blind/cards/V0223.png,28,7,60,ready
V0224,blind/cards/V0224.png,28,8,60,ready
V0225,blind/cards/V0225.png,29,1,30,ready
V0226,blind/cards/V0226.png,29,2,60,ready
V0227,blind/cards/V0227.png,29,3,30,ready
V0228,blind/cards/V0228.png,29,4,240,ready
V0229,blind/cards/V0229.png,29,5,60,ready
V0230,blind/cards/V0230.png,29,6,240,ready
V0231,blind/cards/V0231.png,29,7,60,ready
V0232,blind/cards/V0232.png,29,8,30,ready
V0233,blind/cards/V0233.png,30,1,60,ready
V0234,blind/cards/V0234.png,30,2,60,ready
V0235,blind/cards/V0235.png,30,3,60,ready
V0236,blind/cards/V0236.png,30,4,240,ready
V0237,blind/cards/V0237.png,30,5,30,ready
V0238,blind/cards/V0238.png,30,6,240,ready
V0239,blind/cards/V0239.png,30,7,30,ready
V0240,blind/cards/V0240.png,30,8,30,ready
V0241,blind/cards/V0241.png,31,1,30,ready
V0242,blind/cards/V0242.png,31,2,240,ready
V0243,blind/cards/V0243.png,31,3,60,ready
