code,version,timeframe,rows,cycle_bars,ready_bars,signals,first_ready,control_unmatched,status,skips,control_skips
sh.600000,v1,1D,4545,4495,726,0,2023-09-13,0,evaluated,{},{}
sh.600000,v8,1D,4545,4495,726,0,2023-09-13,0,evaluated,{},{}
sh.600000,v1,1W,4545,952,154,0,2023-09-15,0,evaluated,{},{}
sh.600000,v8,1W,4545,952,154,0,2023-09-15,0,evaluated,{},{}
sh.600004,v1,1D,4545,4540,726,0,2023-09-13,0,evaluated,{},{}
sh.600004,v8,1D,4545,4540,726,2,2023-09-13,0,evaluated,{'signal_while_in_position': 1},{'signal_while_in_position': 1}
sh.600004,v1,1W,4545,957,154,0,2023-09-15,0,evaluated,{},{}
sh.600004,v8,1W,4545,957,154,0,2023-09-15,0,evaluated,{},{}
sh.600006,v1,1D,4545,4480,726,1,2023-09-13,0,evaluated,{},{}
sh.600006,v8,1D,4545,4480,726,1,2023-09-13,0,evaluated,{},{}
sh.600006,v1,1W,4545,948,154,0,2023-09-15,0,evaluated,{},{}
sh.600006,v8,1W,4545,948,154,2,2023-09-15,0,evaluated,{'signal_while_in_position': 1},{}
sh.600008,v1,1D,4545,4507,726,0,2023-09-13,0,evaluated,{},{}
sh.600008,v8,1D,4545,4507,726,0,2023-09-13,0,evaluated,{},{}
sh.600008,v1,1W,4545,955,154,0,2023-09-15,0,evaluated,{},{}
sh.600008,v8,1W,4545,955,154,1,2023-09-15,0,evaluated,{},{}
sh.600009,v1,1D,4545,4528,726,0,2023-09-13,0,evaluated,{},{}
sh.600009,v8,1D,4545,4528,726,4,2023-09-13,0,evaluated,{},{}
sh.600009,v1,1W,4545,956,154,0,2023-09-15,0,evaluated,{},{}
sh.600009,v8,1W,4545,956,154,0,2023-09-15,0,evaluated,{},{}
sh.600010,v1,1D,4545,4465,726,1,2023-09-13,0,evaluated,{},{}
sh.600010,v8,1D,4545,4465,726,0,2023-09-13,0,evaluated,{},{}
sh.600010,v1,1W,4545,945,154,0,2023-09-15,0,evaluated,{},{}
sh.600010,v8,1W,4545,945,154,1,2023-09-15,0,evaluated,{},{}
sh.600011,v1,1D,4545,4524,726,0,2023-09-13,0,evaluated,{},{}
sh.600011,v8,1D,4545,4524,726,4,2023-09-13,0,evaluated,{'signal_while_in_position': 1},{'signal_while_in_position': 1}
sh.600011,v1,1W,4545,956,154,0,2023-09-15,0,evaluated,{},{}
sh.600011,v8,1W,4545,956,154,1,2023-09-15,0,evaluated,{},{}
sh.600012,v1,1D,4545,4527,726,0,2023-09-13,0,evaluated,{},{}
sh.600012,v8,1D,4545,4527,726,0,2023-09-13,0,evaluated,{},{}
sh.600012,v1,1W,4545,955,154,0,2023-09-15,0,evaluated,{},{}
sh.600012,v8,1W,4545,955,154,0,2023-09-15,0,evaluated,{},{}
sh.600016,v1,1D,4545,4528,726,0,2023-09-13,0,evaluated,{},{}
sh.600016,v8,1D,4545,4528,726,0,2023-09-13,0,evaluated,{},{}
sh.600016,v1,1W,4545,957,154,0,2023-09-15,0,evaluated,{},{}
sh.600016,v8,1W,4545,957,154,0,2023-09-15,0,evaluated,{},{}
sh.600017,v1,1D,4545,4511,726,0,2023-09-13,0,evaluated,{},{}
sh.600017,v8,1D,4545,4511,726,3,2023-09-13,0,evaluated,{'signal_while_in_position': 1},"{'signal_while_in_position': 1, 'entry_limit_up': 1}"
sh.600017,v1,1W,4545,955,154,0,2023-09-15,0,evaluated,{},{}
sh.600017,v8,1W,4545,955,154,1,2023-09-15,0,evaluated,{},{}
sh.600018,v1,1D,4545,4478,726,0,2023-09-13,0,evaluated,{},{}
sh.600018,v8,1D,4545,4478,726,2,2023-09-13,0,evaluated,{},{}
sh.600018,v1,1W,4545,947,154,0,2023-09-15,0,evaluated,{},{}
sh.600018,v8,1W,4545,947,154,1,2023-09-15,0,evaluated,{},{}
sh.600020,v1,1D,4545,4523,726,0,2023-09-13,0,evaluated,{},{}
sh.600020,v8,1D,4545,4523,726,0,2023-09-13,0,evaluated,{},{}
sh.600020,v1,1W,4545,957,154,0,2023-09-15,0,evaluated,{},{}
sh.600020,v8,1W,4545,957,154,0,2023-09-15,0,evaluated,{},{}
sh.600021,v1,1D,4545,4412,726,0,2023-09-13,0,evaluated,{},{}
sh.600021,v8,1D,4545,4412,726,1,2023-09-13,0,evaluated,{},{}
sh.600021,v1,1W,4545,936,154,1,2023-09-15,0,evaluated,{},{}
sh.600021,v8,1W,4545,936,154,0,2023-09-15,0,evaluated,{},{}
sh.600022,v1,1D,4545,4244,726,0,2023-09-13,0,evaluated,{},{}
sh.600022,v8,1D,4545,4244,726,0,2023-09-13,0,evaluated,{},{}
sh.600022,v1,1W,4545,902,154,0,2023-09-15,0,evaluated,{},{}
