arm,period,timeframe_min,side,original_source_confirmations,folded_market_events,multi_venue_confirmed_events
v7,development,30,-1,8359,4975,3352
v7,development,30,1,8489,5071,3392
v7,development,60,-1,4078,2332,1731
v7,development,60,1,4922,2842,2070
v7,development,240,-1,1791,906,620
v7,development,240,1,1900,932,694
v7,validation,30,-1,14384,8978,5299
v7,validation,30,1,15059,9148,5774
v7,validation,60,-1,7008,4177,2693
v7,validation,60,1,7727,4506,3034
v7,validation,240,-1,2342,1248,841
v7,validation,240,1,2961,1503,1096
v8,development,30,-1,7143,4332,2784
v8,development,30,1,7348,4485,2843
v8,development,60,-1,3546,2057,1474
v8,development,60,1,4113,2426,1679
v8,development,240,-1,1651,848,564
v8,development,240,1,1582,789,571
v8,validation,30,-1,12534,7959,4481
v8,validation,30,1,12790,7979,4709
v8,validation,60,-1,5874,3607,2155
v8,validation,60,1,6456,3874,2440
v8,validation,240,-1,2095,1156,732
v8,validation,240,1,2445,1270,892
