period,arm,cash,n_candidates,n_accepted,n_natural,n_blocked,n_capacity_rejected,n_profit,n_net_be,n_other_zero,n_net_loss,n_strict_positive,n_full_initial_stop,n_tp,max_net_loss_streak,max_initial_stop_streak,max_gross_loss_streak,max_unrecovered_loss_events,max_risk,max_attempted_risk,max_effective_leverage,max_realized_drawdown,recovered_cycles,n_boundary,boundary_pnl,natural_net_r,natural_gross_r,positive_cash,negative_cash,halt_reason,halt_time,halt_risk,halt_equity,initial_balance,final_balance,residual_debt,profit,profit_rate,be_rate,loss_rate,mean_net_r,mean_gross_r,cash_pf
development,legacy_gross1,fixed10,923,809,809,114,0,342,0,0,467,342,366,406,25,10,10,467,1.0,1.0,2.7793934051371867,0.5624138992578488,0,0,0.0,-562.4138992578486,16.05894357988276,159.55609307097313,-721.9699923288224,,,,,1000.0,437.5861007421512,562.4138992578482,-562.4138992578488,0.4227441285537701,0.0,0.5772558714462299,-0.695196414410196,0.01985036289231491,0.22100100387316798
development,next_bar,fixed10,923,848,848,75,0,71,150,0,627,220,305,71,27,6,10,627,1.0,1.0,2.8061821318179456,0.6072419742064538,0,0,0.0,-607.2419742064559,-14.344044086787441,71.12591803893105,-678.3678922453853,,,,,1000.0,392.75802579354627,607.2419742064542,-607.2419742064537,0.08372641509433962,0.17688679245283018,0.7393867924528302,-0.7160872337340282,-0.016915146328758776,0.1048485915267976
development,next_bar,double10,923,9,9,1,913,0,1,0,8,1,3,0,4,1,2,8,128.0,256.0,9.565570500547382,0.1520126772306878,0,0,0.0,-8.616220788487352,-1.8650285531674142,0.011759882870251204,-152.02443711355806,,,,,1000.0,847.9873227693122,152.0126772306878,-152.0126772306878,0.0,0.1111111111111111,0.8888888888888888,-0.9573578653874836,-0.20722539479637936,7.735521402698498e-05
development,next_bar,double_risk_only,923,8,8,1,1,0,0,0,8,0,5,0,8,2,5,8,128.0,256.0,323.19024140485226,0.9064046230313931,0,0,0.0,-20.16821065844939,-4.804203146489541,0.0,-906.4046230313932,price_risk_exceeds_cash,2023-08-06 06:03:00+00:00,256.0,93.59537696860684,1000.0,93.59537696860684,906.4046230313932,-906.4046230313932,0.0,0.0,1.0,-2.5210263323061737,-0.6005253933111926,0.0
development,ohlc,fixed10,923,854,854,69,0,55,465,0,334,514,308,55,10,6,10,334,1.0,1.0,2.7739520350802445,0.5643261952761376,1,0,0.0,-564.3257320860936,32.002882314373146,55.29812469291011,-619.6238567790024,,,,,1000.0,435.67426791390744,564.3267952439874,-564.3257320860926,0.06440281030444965,0.544496487119438,0.3911007025761124,-0.6608029649720065,0.03747410107069455,0.08924466688607983
development,ohlc,double10,923,16,16,1,906,1,8,0,7,9,5,1,3,2,3,7,128.0,128.0,9.17122772055895,0.12605613330188759,1,0,0.0,-14.254751396652653,-0.6012194412379728,64.06469496988461,-190.0935933052524,,,,,1000.0,873.9711016646322,126.02996149326248,-126.02889833536778,0.0625,0.5,0.4375,-0.8909219622907908,-0.0375762150773733,0.33701659196377803
development,ohlc,double_risk_only,923,13,13,1,1,0,5,0,8,5,7,0,6,3,6,8,128.0,256.0,294.9883805792214,0.8987670670334645,1,0,0.0,-26.621879464948826,-1.2516897684762083,0.8465199600591404,-899.6134793669318,price_risk_exceeds_cash,2023-08-10 11:36:00+00:00,256.0,101.23304059312738,1000.0,101.23304059312738,898.7680225647674,-898.7669594068726,0.0,0.38461538461538464,0.6153846153846154,-2.0478368819191406,-0.09628382834432371,0.0009409818544013438
development,olhc,fixed10,923,854,854,69,0,45,477,0,332,516,307,45,10,6,10,332,1.0,1.0,2.7772437589986896,0.5726970192874518,1,0,0.0,-572.6965649969158,23.661796480964814,45.299219154979085,-617.9957841518933,,,,,1000.0,427.3034350030856,572.6976281548093,-572.6965649969144,0.05269320843091335,0.5585480093676815,0.38875878220140514,-0.6706048770455688,0.02770702164047402,0.07330020740698981
development,olhc,double10,923,15,15,1,907,0,8,0,7,8,5,0,3,2,3,7,128.0,128.0,9.729888179165945,0.19007621908458272,1,0,0.0,-15.25506630049882,-1.8734550181610636,0.04454112372980035,-190.0935933052524,,,,,1000.0,809.9509478184774,190.0501153394173,-190.0490521815226,0.0,0.5333333333333333,0.4666666666666667,-1.0170044200332546,-0.12489700121073757,0.00023431154598817114
development,olhc,double_risk_only,923,13,13,1,1,0,5,0,8,5,7,0,6,3,6,8,128.0,256.0,294.9883805792214,0.8987670670334645,1,0,0.0,-26.621879464948826,-1.2516897684762083,0.8465199600591404,-899.6134793669318,price_risk_exceeds_cash,2023-08-10 11:36:00+00:00,256.0,101.23304059312738,1000.0,101.23304059312738,898.7680225647674,-898.7669594068726,0.0,0.38461538461538464,0.6153846153846154,-2.0478368819191406,-0.09628382834432371,0.0009409818544013438
validation,legacy_gross1,fixed10,653,575,575,78,0,258,0,0,317,258,266,271,12,6,12,317,1.0,1.0,1.6622132241561292,0.2898743333746868,1,0,0.0,-289.8288256575962,-16.074727569549175,142.0561350659425,-431.8849607235395,,,,,1000.0,710.171174342403,289.89290969121043,-289.828825657597,0.44869565217391305,0.0,0.551304347826087,-0.5040501315784282,-0.027956047947042043,0.3289212359419855
