方向,入场北京时间,入场价,初始止损,退出根北京时间,退出价,退出时间说明,退出原因,毛R,净R,审慎MFE_R,是否边界未平
多,2026-01-11 17:00:00+08:00,3101.91,3090.78,2026-01-11 21:00:00+08:00,3112.48,开盘成交,fanshen_arrows_next_open,0.9496855345912392,0.392289308176116,1.2345013477089544,False
多,2026-01-12 00:45:00+08:00,3134.65,3107.02,2026-01-12 04:00:00+08:00,3107.02,该K线内止损，精确秒未知,initial_stop,-1.0,-1.226901918204853,0.1031487513572167,False
多,2026-01-18 14:00:00+08:00,3314.49,3305.31,2026-01-18 15:00:00+08:00,3305.31,该K线内止损，精确秒未知,initial_stop,-1.0,-1.722111111111143,0.1982570806100431,False
空,2026-01-25 11:15:00+08:00,2949.66,2957.82,2026-01-26 09:00:00+08:00,2866.74,该K线内止损，精确秒未知,trailing_stop,10.161764705881922,9.438808823529016,20.30147058823451,False
空,2026-02-03 23:15:00+08:00,2257.51,2319.71,2026-02-04 01:30:00+08:00,2228.2,开盘成交,fanshen_arrows_next_open,0.4712218649517763,0.3986331189710678,0.6821543408360196,False
空,2026-02-04 21:00:00+08:00,2243.0,2273.74,2026-02-04 22:30:00+08:00,2201.75,开盘成交,fanshen_arrows_next_open,1.3418998048145636,1.1959661678594593,1.7189329863370115,False
空,2026-02-09 09:45:00+08:00,2064.2,2104.29,2026-02-10 00:45:00+08:00,2104.29,该K线内止损，精确秒未知,initial_stop,-1.0,-1.102978298827635,1.4120728361187251,False
空,2026-02-10 11:45:00+08:00,2060.97,2113.78,2026-02-10 15:15:00+08:00,2011.72,开盘成交,fanshen_arrows_next_open,0.9325885249005756,0.8545362620715674,1.207347093353518,False
多,2026-02-13 18:15:00+08:00,1958.0,1940.16,2026-02-14 00:00:00+08:00,2033.85,开盘成交,fanshen_arrows_next_open,4.25168161434979,4.03217488789239,5.153026905829611,False
空,2026-02-16 02:00:00+08:00,1970.19,2012.12,2026-02-16 21:00:00+08:00,2012.12,该K线内止损，精确秒未知,initial_stop,-1.0,-1.0939751967565,1.006200810875268,False
空,2026-02-17 23:15:00+08:00,1951.57,2004.56,2026-02-18 00:30:00+08:00,2004.56,该K线内止损，精确秒未知,initial_stop,-1.0,-1.0736580486884308,0.2181543687488194,False
空,2026-02-18 09:15:00+08:00,1972.95,1999.13,2026-02-18 11:45:00+08:00,1999.13,该K线内止损，精确秒未知,initial_stop,-1.0,-1.1507219251336864,0.2272727272727284,False
多,2026-02-18 16:00:00+08:00,2017.0,1993.72,2026-02-18 19:00:00+08:00,1993.72,该K线内止损，精确秒未知,initial_stop,-1.0,-1.1732817869415777,0.9162371134020598,False
空,2026-02-18 19:30:00+08:00,1982.01,2017.71,2026-02-20 11:45:00+08:00,1953.85,开盘成交,opposite_v6_next_open,0.7887955182072842,0.6777585434173703,2.1378151260504157,False
多,2026-02-21 17:45:00+08:00,1971.88,1961.95,2026-02-22 10:15:00+08:00,1980.29,开盘成交,fanshen_arrows_next_open,0.8469284994964552,0.4497724068479195,2.403826787512562,False
空,2026-02-22 21:30:00+08:00,1964.14,1975.7,2026-02-23 06:30:00+08:00,1958.39,该K线内止损，精确秒未知,trailing_stop,0.4974048442906598,0.1575882352941195,2.737024221453309,False
多,2026-03-02 23:00:00+08:00,1978.54,1917.17,2026-03-03 00:00:00+08:00,2046.44,开盘成交,fanshen_arrows_next_open,1.106403780348708,1.041924718918045,1.407854000325896,False
空,2026-03-04 12:30:00+08:00,1953.11,1982.02,2026-03-04 14:30:00+08:00,1982.02,该K线内止损，精确秒未知,initial_stop,-1.0,-1.1351165686613578,0.1321342096160472,False
多,2026-03-04 15:00:00+08:00,1979.21,1956.02,2026-03-04 16:15:00+08:00,2008.9,开盘成交,fanshen_arrows_next_open,1.280293229840448,1.1095981026304529,1.7589478223372086,False
空,2026-03-06 17:30:00+08:00,2056.12,2083.4,2026-03-06 23:00:00+08:00,1980.32,开盘成交,fanshen_arrows_next_open,2.778592375366547,2.627850439882677,3.138929618768301,False
空,2026-03-08 20:15:00+08:00,1934.54,1975.51,2026-03-09 03:45:00+08:00,1965.24,开盘成交,opposite_v6_next_open,-0.7493287771540157,-0.8437656822064947,0.2931413229192087,False
多,2026-03-09 03:45:00+08:00,1965.24,1924.07,2026-03-09 06:00:00+08:00,1924.07,该K线内止损，精确秒未知,initial_stop,-1.0,-1.095469516638327,0.1423366529025963,False
多,2026-03-09 11:45:00+08:00,1976.31,1936.81,2026-03-09 17:00:00+08:00,1995.67,开盘成交,fanshen_arrows_next_open,0.4901265822784842,0.3900602531645614,0.9486075949367097,False
空,2026-03-18 19:30:00+08:00,2294.4,2332.35,2026-03-18 21:15:00+08:00,2237.06,开盘成交,fanshen_arrows_next_open,1.5109354413702352,1.390018445322802,1.9077733860342672,False
多,2026-03-21 09:00:00+08:00,2152.44,2135.4,2026-03-22 07:45:00+08:00,2135.4,该K线内止损，精确秒未知,initial_stop,-1.0,-1.252633802816897,0.913145539906102,False
空,2026-03-30 07:00:00+08:00,1972.51,2008.6,2026-03-30 08:15:00+08:00,2008.6,该K线内止损，精确秒未知,initial_stop,-1.0,-1.1093106123579932,0.0418398448323631,False
多,2026-03-30 11:30:00+08:00,2036.99,2003.51,2026-03-31 09:30:00+08:00,2060.43,开盘成交,fanshen_arrows_next_open,0.7001194743130171,0.5784354838709673,1.4283154121863773,False
多,2026-04-05 01:30:00+08:00,2056.46,2048.36,2026-04-05 09:00:00+08:00,2058.1,该K线内止损，精确秒未知,trailing_stop,0.2024691358024556,-0.3052987654321422,3.320987654321036,False
空,2026-04-16 18:15:00+08:00,2329.55,2348.58,2026-04-16 20:00:00+08:00,2348.58,该K线内止损，精确秒未知,initial_stop,-1.0,-1.244829217025753,0.1334734629532316,False
多,2026-04-17 16:45:00+08:00,2347.7,2327.64,2026-04-17 22:30:00+08:00,2431.34,开盘成交,fanshen_arrows_next_open,4.169491525423757,3.935423728813591,4.998005982053863,False
多,2026-04-26 13:45:00+08:00,2327.9,2308.25,2026-04-26 22:30:00+08:00,2349.13,开盘成交,fanshen_arrows_next_open,1.0804071246819298,0.8434707379134847,1.3282442748091496,False
