dimension,group,arm,period,events,closed,censored,assets,gt5,gt10,gt20,gt10_rate,recorded_mfe_gt10,total_r,gross_r,mean_r,mean_gross_bp,mean_net_bp,total_nominal_return,win_rate,pf_r,event_drawdown_r,total_r_ex_top5,matched_pairs,unmatched,control_mean_r,paired_target_mean_r,paired_excess_r,paired_excess_bp,control_gt10,paired_target_gt10,random_p,random_blocks
all,all,baseline,full,41814,41700,114,815,1366,367,100,0.00880095923261391,1164,1697.5901997452333,4710.885086584518,0.040709597116192646,22.82106224886767,2.8210622488676638,11.763829577778159,0.2932853717026379,1.0587166152544445,4851.552256709347,1246.0777883913179,41644,170,-0.017717092289766704,0.04029654680310758,0.05801363909287428,-1.1237609309738847,411,365,0.1339,25
all,all,baseline,earlier,15807,15807,0,511,661,146,33,0.00923641424685266,477,3353.0702582755653,4367.617205382145,0.21212565687831753,87.4076434421869,67.4076434421869,106.55126198906481,0.3301069146580629,1.3268175992064584,2286.09874207301,3073.2237000373902,15694,113,0.027727370104541245,0.2175452206729701,0.18981785056842881,47.351532134238354,148,146,0.0704345703125,13
all,all,baseline,later,25681,25567,114,784,674,210,65,0.008213712989400398,658,-2328.7618707727693,-353.7103030849318,-0.09108467441517461,-23.354517938953045,-43.354517938953045,-110.84449601452124,0.26432510658270425,0.8747374518408856,4661.760034285956,-2763.2547664416734,25513,168,-0.07120650801429308,-0.09192069517287826,-0.02071418715858519,-30.144309939829345,250,208,0.7320556640625,13
all,all,baseline,crossing,326,326,0,188,31,11,2,0.03374233128834356,29,673.2818122424369,696.9781842873041,2.065281632645512,512.5479632894048,492.5479632894048,16.057063603234596,0.7791411042944786,12.07838268238254,8.209799734666262,570.6285417823749,326,0,1.2473847457169671,2.065281632645512,0.817896886928545,179.17687578724858,9,11,0.5,2
all,all,high_r_entry_v21,full,5300,5286,14,602,291,96,29,0.018161180476730987,273,1645.2243566094353,2501.5348263788887,0.31124183817809975,68.99685548675401,48.99685548675401,25.89973781029817,0.3333333333333333,1.4207503080174984,540.3257083312704,1396.3144752286078,5281,19,0.006603299985525548,0.31269402394618595,0.30609072396066034,39.675685505324566,69,96,0.0134,21
all,all,high_r_entry_v21,earlier,1872,1872,0,352,146,32,4,0.017094017094017096,109,1094.783255619624,1347.8389441411584,0.5848201151814231,116.37265139786953,96.37265139786952,18.040960341681174,0.3952991452991453,1.9020013561368403,259.05631179457373,939.8816639598492,1847,25,0.06215260680544311,0.6046511419546036,0.5424985351491606,80.50182270572887,23,32,0.033203125,9
all,all,high_r_entry_v21,later,3326,3312,14,537,128,57,25,0.017210144927536232,149,268.5783652364087,861.118308408384,0.08109250158104127,29.27300270859929,9.27300270859929,3.0712184970880845,0.2807971014492754,1.0999025831883136,580.289960442146,35.69575566457951,3307,19,-0.09680243786011077,0.08306354674532246,0.17986598460543327,17.841803716955212,39,57,0.221435546875,13
all,all,high_r_entry_v21,crossing,102,102,0,66,17,7,0,0.06862745098039216,15,281.8627357534026,292.57757382934653,2.7633601544451234,489.36852662048153,469.3685266204813,4.7875589715289095,0.9019607843137255,35.858093957840644,4.687663399211431,221.37187002199772,102,0,1.453106866898679,2.7633601544451225,1.310253287546444,205.1041459229763,5,7,,1
timeframe_min,30,baseline,full,24614,24590,24,802,836,217,66,0.008824725498169988,672,895.9392936231006,2993.7333589841473,0.03643510750805615,15.072706028992364,-4.927293971007647,-12.116215874707805,0.287352582350549,1.0515831144601457,2794.615961909692,457.161726162358,24572,42,-0.08419961609194203,0.03512567750106905,0.11932529359301106,12.305401256336372,224,215,0.0531,25
timeframe_min,30,baseline,earlier,9148,9148,0,502,421,87,20,0.009510275470048098,284,2061.041328262634,2753.572666873948,0.2252996642176032,55.34686124369689,35.34686124369688,32.335308665733905,0.3209444687363358,1.3389449572512255,1445.5819410720933,1809.4402791933594,9101,47,-0.05867071371782147,0.22725300411674235,0.28592371783456383,53.72713339495865,82,87,0.0623779296875,13
timeframe_min,30,baseline,later,15424,15400,24,769,409,128,46,0.008311688311688312,382,-1253.4914759778278,147.933908203118,-0.08139555038817063,-9.988456860097175,-29.98845686009719,-46.18222356454967,0.26571428571428574,0.888933147348989,2561.9363904805296,-1686.9960992599424,15383,41,-0.10646651256167677,-0.08342230647988881,0.023044206081787984,-11.482066035922944,140,126,0.29638671875,13
