timeframe,exit_rule,gate,later_r_positive,later_bp_positive,r_delta_ci_positive,bp_delta_ci_positive,excess_r_positive,excess_bp_positive,random_r_holm_lt_001,random_bp_holm_lt_001,quality_r_holm_lt_001,quality_bp_holm_lt_001,selected_from_earlier,descriptive_conditions_met,passed
15m,price,same_sma60,False,False,False,False,False,False,False,False,False,False,False,False,False
15m,price,same_sma120,False,False,False,False,False,False,False,False,False,False,False,False,False
15m,price,same_sma240,False,False,False,False,False,False,False,False,False,False,False,False,False
15m,price,h1_sma60,False,False,False,False,False,False,False,False,False,False,False,False,False
15m,price,h1_sma120,False,False,False,False,False,False,False,False,False,False,False,False,False
15m,price,h1_sma240,False,False,False,False,False,False,False,False,False,False,True,False,False
15m,rsi7,same_sma60,False,False,False,False,False,False,False,False,False,False,False,False,False
15m,rsi7,same_sma120,False,False,False,False,False,False,False,False,False,False,False,False,False
15m,rsi7,same_sma240,False,False,False,False,False,False,False,False,False,False,False,False,False
15m,rsi7,h1_sma60,False,False,False,False,False,False,False,False,False,False,False,False,False
15m,rsi7,h1_sma120,False,False,False,False,False,False,False,False,False,False,False,False,False
15m,rsi7,h1_sma240,False,False,False,False,False,False,False,False,False,False,True,False,False
1h,price,same_sma60,False,False,False,False,False,False,False,False,False,False,False,False,False
1h,price,same_sma120,False,False,False,False,False,False,False,False,False,False,False,False,False
1h,price,same_sma240,False,False,False,False,False,False,False,False,False,False,False,False,False
1h,price,h1_sma60,False,False,False,False,False,False,False,False,False,False,False,False,False
1h,price,h1_sma120,False,False,False,False,False,False,False,False,False,False,False,False,False
1h,price,h1_sma240,False,False,False,False,False,False,False,False,False,False,True,False,False
1h,rsi7,same_sma60,False,False,False,False,False,False,False,False,False,False,False,False,False
1h,rsi7,same_sma120,False,False,False,False,False,False,False,False,False,False,False,False,False
1h,rsi7,same_sma240,False,False,False,False,False,False,False,False,False,False,False,False,False
1h,rsi7,h1_sma60,False,False,False,False,False,False,False,False,False,False,False,False,False
1h,rsi7,h1_sma120,False,False,False,False,False,False,False,False,False,False,False,False,False
1h,rsi7,h1_sma240,False,False,False,False,False,False,False,False,False,False,True,False,False
