side,period,arm,comparison,metric,difference,ci_low,ci_high,p,months,p_adjusted_six
long,full,baseline,random,net_r,0.029802702016693532,-0.19643266145425867,0.25188599660598,0.39980009995002497,20,1.0
long,full,baseline,random,net_return,-0.0012195039621344015,-0.005848955742130154,0.003133031821708064,0.6811594202898551,20,1.0
long,full,sma120,baseline,net_r,-0.016202387029438957,-0.051296874350957145,0.021732167120816524,0.7966016991504248,20,1.0
long,full,sma120,random,net_r,0.010848126695855349,-0.1846259310135299,0.20342114236631106,0.456271864067966,20,1.0
long,full,sma120,baseline,net_return,3.31021993799697e-05,-0.0011284747071379948,0.0015713906462519781,0.49375312343828087,20,1.0
long,full,sma120,random,net_return,-0.002499800081283865,-0.007350694245226336,0.0022972533429487076,0.8050974512743628,20,1.0
long,full,htf_sma60,baseline,net_r,0.009503726061973939,-0.03580552449233537,0.05913468812025169,0.35332333833083457,20,1.0
long,full,htf_sma60,random,net_r,0.0064985077713339435,-0.1803211027193003,0.19618807386341122,0.4777611194402799,20,1.0
long,full,htf_sma60,baseline,net_return,0.000290855669020614,-0.0009665575292875938,0.001687023383467985,0.35332333833083457,20,1.0
long,full,htf_sma60,random,net_return,-0.0012395135157203339,-0.006530281074900963,0.00419428365841694,0.6621689155422289,20,1.0
long,full,both,baseline,net_r,0.016108592365571474,-0.029561591345147988,0.06485541476907156,0.2748625687156422,20,1.0
long,full,both,random,net_r,0.013745881450704534,-0.16730920243067396,0.19468727131337552,0.44177911044477763,20,1.0
long,full,both,baseline,net_return,0.00028149791595502485,-0.0012132429702394595,0.0020963336250481523,0.391304347826087,20,1.0
long,full,both,random,net_return,-0.0013684924798304829,-0.006841142693760549,0.004195351621402502,0.6746626686656672,20,1.0
long,earlier,baseline,random,net_r,-0.04342602508153176,-0.32058309943390695,0.1974628052036745,0.6006996501749126,13,1.0
long,earlier,baseline,random,net_return,-0.0023625140851040996,-0.008066969420046925,0.0032877237841284082,0.7556221889055472,13,1.0
long,earlier,sma120,baseline,net_r,-0.018738204951374998,-0.06850511753853104,0.03534527295614408,0.7496251874062968,13,1.0
long,earlier,sma120,random,net_r,-0.01266529188021858,-0.20666429293933175,0.19547032332495357,0.5367316341829086,13,1.0
long,earlier,sma120,baseline,net_return,0.00033026351501748316,-0.0013089804737382406,0.0026553903668733686,0.4497751124437781,13,1.0
long,earlier,sma120,random,net_return,-0.003365249709598452,-0.009375312311071377,0.002845217531137626,0.8330834582708646,13,1.0
long,earlier,htf_sma60,baseline,net_r,0.020314450415133894,-0.03398695526828023,0.07310765107062989,0.2303848075962019,13,1.0
long,earlier,htf_sma60,random,net_r,-0.0007208481111558862,-0.19402768670397583,0.20937124084071715,0.48425787106446777,13,1.0
long,earlier,htf_sma60,baseline,net_return,0.0006960504351308723,-0.000996813595117322,0.0024805753840487655,0.23588205897051473,13,1.0
long,earlier,htf_sma60,random,net_return,-0.002086376120007393,-0.009057565238121335,0.004960821176830787,0.6991504247876063,13,1.0
long,earlier,both,baseline,net_r,0.024275460998779513,-0.03470762771513638,0.0830716053420664,0.21139430284857572,13,1.0
long,earlier,both,random,net_r,0.006404772047429189,-0.18251926689816128,0.21222799809781062,0.46676661669165415,13,1.0
long,earlier,both,baseline,net_return,0.0009096025311166626,-0.001163805758136545,0.0034183233888353736,0.26486756621689156,13,1.0
long,earlier,both,random,net_return,-0.0019058343848899326,-0.008778768395081122,0.0052830501237616295,0.6776611694152923,13,1.0
long,later,baseline,random,net_r,0.1431844589636498,-0.2291246970962343,0.513876701169188,0.2673663168415792,8,1.0
long,later,baseline,random,net_return,0.0005502454393078364,-0.006697013288939193,0.00824196383383052,0.4352823588205897,8,1.0
long,later,sma120,baseline,net_r,-0.012080564946820596,-0.06571989589795917,0.03425103167521646,0.6771614192903548,8,1.0
long,later,sma120,random,net_r,0.03844229526189656,-0.32799753380748,0.3725237588690829,0.4272863568215892,8,1.0
long,later,sma120,baseline,net_return,-0.00042440703050697316,-0.0017520796162703996,0.0015270376337212926,0.6366816591704147,8,1.0
long,later,sma120,random,net_return,-0.0013262460378909227,-0.00949926183102261,0.005961212898577953,0.6306846576711644,8,1.0
long,later,htf_sma60,baseline,net_r,-0.005923769712858046,-0.0848088407312229,0.10026150021915631,0.5237381309345327,8,1.0
long,later,htf_sma60,random,net_r,0.008614412318817974,-0.31597946834644985,0.3416210431728613,0.4827586206896552,8,1.0
long,later,htf_sma60,baseline,net_return,-0.0003192305315579578,-0.0020039087845216412,0.0025833412631133187,0.5632183908045977,8,1.0
long,later,htf_sma60,random,net_return,-3.198960043157193e-05,-0.008437869104979456,0.008516172864687041,0.5072463768115942,8,1.0
long,later,both,baseline,net_r,0.004559528984116698,-0.0781719232180138,0.10539241455179295,0.4612693653173413,8,1.0
long,later,both,random,net_r,0.016085050534397738,-0.30398863366674295,0.3348474001775108,0.4622688655672164,8,1.0
long,later,both,baseline,net_return,-0.000671512068053543,-0.0024134608778085503,0.00220209929581957,0.6431784107946027,8,1.0
long,later,both,random,net_return,-0.0006306359067827034,-0.00974465595296548,0.007833119372627513,0.5402298850574713,8,1.0
short,full,baseline,random,net_r,0.2370019263007558,0.024833973276199198,0.4765615065550078,0.022988505747126436,20,0.13793103448275862
short,full,baseline,random,net_return,0.0043244549950964325,-0.0005835376687439152,0.009208184375132513,0.057971014492753624,20,0.34782608695652173
