交易标识,合约,周期,方向,入场北京时间,出场北京时间,入场价,初始止损价,出场价,初始止损距离百分比,退出原因,毛盈亏R,固定成本R,净盈亏R,可确认最大毛浮盈R,含退出K线歧义的毛浮盈上界R,最大收盘毛浮盈R,持仓小时,曾有净浮盈但最终亏损,人工判断状态
ETHUSDT:5:joint:baseline:2026-07-30 19:45:00+00:00,ETHUSDT,5m,多,2026-07-31 03:45:00+08:00,2026-07-31 04:30:00+08:00,1924.67,1919.5,1919.5,0.26861747728182,初始止损,-0.9999999999999808,0.7445531914893609,-1.7445531914893322,0.3849129593810408,0.3849129593810408,0.0386847195357476,0.75,False,尚未作出事前人工交易判断
ETHUSDT:15:joint:baseline:2026-07-30 22:30:00+00:00,ETHUSDT,15m,多,2026-07-31 06:30:00+08:00,2026-07-31 09:45:00+08:00,1931.24,1913.99,1913.99,0.89320850852302,初始止损,-1.0000000000000036,0.2239118840579713,-1.2239118840579748,0.3089855072463726,0.3089855072463726,0.0,3.25,True,尚未作出事前人工交易判断
ETHUSDT:5:joint:baseline:2026-07-30 23:40:00+00:00,ETHUSDT,5m,多,2026-07-31 07:40:00+08:00,2026-07-31 07:40:00+08:00,1933.81,1924.92,1924.92,0.4597142428677,初始止损,-1.0000000000000075,0.4350528683914574,-1.4350528683914647,0.0,0.0674915635545719,0.0,0.0,False,尚未作出事前人工交易判断
BTCUSDT:5:joint:baseline:2026-07-31 01:15:00+00:00,BTCUSDT,5m,多,2026-07-31 09:15:00+08:00,2026-07-31 09:45:00+08:00,65162.7,64640.5,64640.5,0.8013787028468601,初始止损,-0.9999999999999964,0.2495698965913486,-1.2495698965913422,0.0880888548448875,0.0880888548448875,0.0,0.5,False,尚未作出事前人工交易判断
ETHUSDT:5:joint:baseline:2026-08-04 04:40:00+00:00,ETHUSDT,5m,多,2026-08-04 12:40:00+08:00,2026-08-04 14:25:00+08:00,1870.48,1861.67,1861.67,0.47100209571874,初始止损,-0.999999999999998,0.4246265607264526,-1.424626560726448,0.4086265607264394,0.4086265607264394,0.059023836549374,1.75,False,尚未作出事前人工交易判断
ETHUSDT:5:joint:baseline:2026-08-04 11:05:00+00:00,ETHUSDT,5m,多,2026-08-04 19:05:00+08:00,2026-08-05 04:25:00+08:00,1868.93,1854.87,1870.15,0.75230211939451,反向信号后下一开盘,0.0867709815078264,0.2658506401138015,-0.1790796586059725,0.9096728307254632,0.9096728307254632,0.7731152204836368,9.333333333333334,True,尚未作出事前人工交易判断
ETHUSDT:5:joint:baseline:2026-08-05 09:50:00+00:00,ETHUSDT,5m,多,2026-08-05 17:50:00+08:00,2026-08-05 18:15:00+08:00,1872.36,1869.12,1869.12,0.17304364545278,初始止损,-1.0000000000000016,1.1557777777778948,-2.1557777777778573,0.197530864197575,0.197530864197575,0.0,0.4166666666666667,False,尚未作出事前人工交易判断
BTCUSDT:5:joint:baseline:2026-08-05 12:35:00+00:00,BTCUSDT,5m,多,2026-08-05 20:35:00+08:00,2026-08-05 21:10:00+08:00,64407.1,64120.4,64120.4,0.44513725971204005,初始止损,-1.000000000000003,0.4492996163236937,-1.449299616323691,0.2696198116498211,0.2696198116498211,0.1492849668643297,0.5833333333333334,False,尚未作出事前人工交易判断
ETHUSDT:15:joint:baseline:2026-08-05 15:45:00+00:00,ETHUSDT,15m,多,2026-08-05 23:45:00+08:00,2026-08-06 10:15:00+08:00,1877.04,1863.24,1896.93,0.7352001022887,追踪止损,1.4413043478260903,0.2720347826086993,1.1692695652173934,3.6340579710145113,3.6340579710145113,3.3521739130434884,10.5,False,尚未作出事前人工交易判断
ETHUSDT:60:joint:baseline:2026-08-05 18:00:00+00:00,ETHUSDT,1h,多,2026-08-06 02:00:00+08:00,2026-08-11 01:00:00+08:00,1915.93,1851.87,1871.38,3.34354595418412,反向信号后下一开盘,-0.6954417733374962,0.059816734311583,-0.7552585076490792,0.4225725881985632,0.4225725881985632,0.2393068997814539,119.0,True,尚未作出事前人工交易判断
ETHUSDT:5:joint:baseline:2026-08-07 09:40:00+00:00,ETHUSDT,5m,多,2026-08-07 17:40:00+08:00,2026-08-07 22:00:00+08:00,1916.95,1909.1,1920.17,0.40950468191658,追踪止损,0.4101910828025299,0.4883949044586061,-0.0782038216560744,3.31847133757965,3.31847133757965,2.2394904458598894,4.333333333333333,True,尚未作出事前人工交易判断
ETHUSDT:15:joint:baseline:2026-08-08 05:45:00+00:00,ETHUSDT,15m,多,2026-08-08 13:45:00+08:00,2026-08-08 15:30:00+08:00,1917.02,1913.23,1913.23,0.1977026843747,初始止损,-0.9999999999999812,1.0116200527704822,-2.0116200527704393,0.0448548812665103,0.0448548812665103,0.0,1.75,False,尚未作出事前人工交易判断
ETHUSDT:5:joint:baseline:2026-08-08 08:40:00+00:00,ETHUSDT,5m,多,2026-08-08 16:40:00+08:00,2026-08-08 20:05:00+08:00,1916.55,1914.2,1917.9,0.12261615924447,追踪止损,0.5744680851064242,1.6311063829788,-1.056638297872362,2.880851063829891,2.880851063829891,2.2340425531915757,3.4166666666666665,True,尚未作出事前人工交易判断
BTCUSDT:5:joint:baseline:2026-08-08 12:20:00+00:00,BTCUSDT,5m,多,2026-08-08 20:20:00+08:00,2026-08-09 09:25:00+08:00,64995.3,64887.100000000006,64887.100000000006,0.16647357578162,初始止损,-1.000000000000029,1.2013918669132209,-2.2013918669131853,1.5499075785582404,1.5499075785582404,1.2883548983363948,13.083333333333334,True,尚未作出事前人工交易判断
ETHUSDT:5:joint:baseline:2026-08-08 14:15:00+00:00,ETHUSDT,5m,多,2026-08-08 22:15:00+08:00,2026-08-09 02:20:00+08:00,1920.61,1918.4,1918.4,0.11506760872845999,初始止损,-1.0000000000000235,1.7381085972853232,-2.7381085972852417,2.3710407239821096,2.3710407239821096,1.9411764705884895,4.083333333333333,True,尚未作出事前人工交易判断
BTCUSDT:5:joint:baseline:2026-08-15 13:05:00+00:00,BTCUSDT,5m,多,2026-08-15 21:05:00+08:00,2026-08-16 09:40:00+08:00,63048.0,62916.2,62976.0,0.20904707524424998,反向信号后下一开盘,-0.5462822458270365,0.9567223065250762,-1.5030045523521065,0.7101669195751263,0.7101669195751263,0.6942336874051823,12.583333333333334,False,尚未作出事前人工交易判断
ETHUSDT:15:joint:baseline:2026-08-15 15:30:00+00:00,ETHUSDT,15m,多,2026-08-15 23:30:00+08:00,2026-08-16 09:00:00+08:00,1883.44,1879.98,1879.98,0.18370640954848,初始止损,-1.000000000000011,1.088693641618531,-2.0886936416184967,0.6705202312138474,0.6705202312138474,0.4190751445086793,9.5,False,尚未作出事前人工交易判断
ETHUSDT:5:joint:baseline:2026-08-15 22:30:00+00:00,ETHUSDT,5m,多,2026-08-16 06:30:00+08:00,2026-08-16 06:40:00+08:00,1884.69,1883.38,1883.38,0.06950745215393,初始止损,-0.9999999999999304,2.8773893129773116,-3.8773893129771495,0.0,0.0,0.0,0.1666666666666666,False,尚未作出事前人工交易判断
ETHUSDT:60:joint:baseline:2026-08-18 17:00:00+00:00,ETHUSDT,1h,多,2026-08-19 01:00:00+08:00,2026-08-23 12:00:00+08:00,1917.65,1891.2,2383.05,1.37929236304852,追踪止损,17.595463137996198,0.1450018903591685,17.45046124763703,23.8846880907372,23.8846880907372,22.8487712665406,107.0,False,尚未作出事前人工交易判断
ETHUSDT:5:joint:baseline:2026-08-19 08:40:00+00:00,ETHUSDT,5m,多,2026-08-19 16:40:00+08:00,2026-08-20 11:05:00+08:00,1924.62,1913.83,2239.86,0.56063015036734,追踪止损,29.215940685820332,0.3567414272474546,28.85919925857288,38.20203892493065,38.20203892493065,34.88229842446723,18.416666666666668,False,尚未作出事前人工交易判断
BTCUSDT:5:joint:baseline:2026-08-22 03:10:00+00:00,BTCUSDT,5m,多,2026-08-22 11:10:00+08:00,2026-08-22 13:05:00+08:00,78534.7,78163.7,78163.7,0.47240264494548,初始止损,-0.999999999999994,0.4233676549865253,-1.423367654986517,0.8008086253369429,0.8008086253369429,0.5714285714285714,1.9166666666666667,True,尚未作出事前人工交易判断
BTCUSDT:5:joint:baseline:2026-08-22 17:05:00+00:00,BTCUSDT,5m,多,2026-08-23 01:05:00+08:00,2026-08-23 05:00:00+08:00,77280.0,77064.90000000001,77064.90000000001,0.27833850931674997,初始止损,-0.9999999999999885,0.7185495118550034,-1.7185495118549687,1.0134821013482511,1.0134821013482511,0.8386796838679754,3.9166666666666665,True,尚未作出事前人工交易判断
BTCUSDT:15:joint:baseline:2026-08-24 11:15:00+00:00,BTCUSDT,15m,多,2026-08-24 19:15:00+08:00,2026-08-25 15:45:00+08:00,77810.1,77276.5,79557.1,0.6857721555427899,追踪止损,3.2739880059969555,0.2916420539730133,2.982345952023945,6.485007496251792,6.485007496251792,5.943590704647612,20.5,False,尚未作出事前人工交易判断
BTCUSDT:5:joint:baseline:2026-08-26 02:30:00+00:00,BTCUSDT,5m,多,2026-08-26 10:30:00+08:00,2026-08-26 13:05:00+08:00,79185.0,78671.6,78671.6,0.64835511776219,初始止损,-1.0000000000000082,0.3084729255940845,-1.3084729255940906,0.0292169848071682,0.0292169848071682,0.0,2.5833333333333335,False,尚未作出事前人工交易判断
ETHUSDT:5:joint:baseline:2026-08-26 04:20:00+00:00,ETHUSDT,5m,多,2026-08-26 12:20:00+08:00,2026-08-26 12:45:00+08:00,2468.92,2459.67,2459.67,0.37465774508692,初始止损,-1.0000000000000144,0.5338205405405414,-1.533820540540555,0.0486486486486289,0.0486486486486289,0.0,0.4166666666666667,False,尚未作出事前人工交易判断
ETHUSDT:5:joint:baseline:2026-08-26 10:55:00+00:00,ETHUSDT,5m,多,2026-08-26 18:55:00+08:00,2026-08-26 20:30:00+08:00,2469.41,2451.9700000000003,2451.9700000000003,0.70624157187342,初始止损,-0.9999999999999934,0.2831892201834957,-1.2831892201834865,0.1657110091743345,0.1657110091743345,0.1152522935779968,1.5833333333333333,False,尚未作出事前人工交易判断
ETHUSDT:5:joint:baseline:2026-08-26 18:15:00+00:00,ETHUSDT,5m,多,2026-08-27 02:15:00+08:00,2026-08-27 12:35:00+08:00,2466.38,2455.13,2484.27,0.45613409125925003,追踪止损,1.5902222222221964,0.4384675555555598,1.151754666666641,4.321777777777768,4.321777777777768,3.875555555555547,10.333333333333334,False,尚未作出事前人工交易判断
ETHUSDT:15:joint:baseline:2026-08-26 21:30:00+00:00,ETHUSDT,15m,多,2026-08-27 05:30:00+08:00,2026-08-28 12:15:00+08:00,2499.53,2456.44,2491.0,1.7239240977303698,反向信号后下一开盘,-0.1979577628220037,0.1160143884892088,-0.313972151311212,1.5518681828730487,1.5518681828730487,1.2471571130192527,30.75,True,尚未作出事前人工交易判断
BTCUSDT:15:joint:baseline:2026-08-27 15:00:00+00:00,BTCUSDT,15m,多,2026-08-27 23:00:00+08:00,2026-08-28 17:15:00+08:00,80161.3,78797.3,79352.3,1.7015692110781602,反向信号后下一开盘,-0.5931085043988247,0.1175385630498536,-0.7106470674486781,0.9814516129032236,0.9814516129032236,0.6851906158357707,18.25,True,尚未作出事前人工交易判断
ETHUSDT:5:joint:baseline:2026-08-28 13:55:00+00:00,ETHUSDT,5m,多,2026-08-28 21:55:00+08:00,2026-08-28 22:00:00+08:00,2511.63,2493.96,2493.96,0.70352719150512,初始止损,-0.9999999999999922,0.2842818336162981,-1.2842818336162902,0.3938879456706286,0.744765138653073,0.0,0.0833333333333333,True,尚未作出事前人工交易判断
ETHUSDT:5:joint:baseline:2026-08-29 16:20:00+00:00,ETHUSDT,5m,多,2026-08-30 00:20:00+08:00,2026-08-30 17:45:00+08:00,2449.33,2440.84,2453.19,0.34662540368181,反向信号后下一开盘,0.4546525323910609,0.5769917550059113,-0.1223392226148432,2.075382803298038,2.075382803298038,1.6254416961131375,17.416666666666668,True,尚未作出事前人工交易判断
BTCUSDT:15:joint:baseline:2026-08-31 09:15:00+00:00,BTCUSDT,15m,多,2026-08-31 17:15:00+08:00,2026-08-31 20:30:00+08:00,78616.7,77901.5,77901.5,0.90973037535281,初始止损,-0.999999999999997,0.2198453579418367,-1.2198453579418325,0.2136465324384837,0.2136465324384837,0.0894854586129757,3.25,False,尚未作出事前人工交易判断
ETHUSDT:5:joint:baseline:2026-09-03 02:40:00+00:00,ETHUSDT,5m,多,2026-09-03 10:40:00+08:00,2026-09-03 13:20:00+08:00,2400.58,2386.87,2386.87,0.57111198127119,初始止损,-1.000000000000009,0.3501940189642614,-1.3501940189642678,0.6870897155361085,0.6870897155361085,0.6549963530269872,2.6666666666666665,True,尚未作出事前人工交易判断
BTCUSDT:15:joint:baseline:2026-09-03 13:00:00+00:00,BTCUSDT,15m,多,2026-09-03 21:00:00+08:00,2026-09-04 16:00:00+08:00,78616.5,77799.3,80495.6,1.03947644578427,追踪止损,2.299437102300558,0.1924045521292239,2.1070325501713354,4.486417033773882,4.486417033773882,3.809226627508573,19.0,False,尚未作出事前人工交易判断
ETHUSDT:15:joint:baseline:2026-09-03 14:15:00+00:00,ETHUSDT,15m,多,2026-09-03 22:15:00+08:00,2026-09-04 20:30:00+08:00,2438.81,2412.96,2492.9700000000003,1.05994316900455,追踪止损,2.0951644100580427,0.1886893617021286,1.9064750483559143,4.1852998065764195,4.1852998065764195,3.493617021276606,22.25,False,尚未作出事前人工交易判断
BTCUSDT:5:joint:baseline:2026-09-04 08:35:00+00:00,BTCUSDT,5m,多,2026-09-04 16:35:00+08:00,2026-09-04 20:30:00+08:00,81072.1,80650.20000000001,80650.20000000001,0.52040097641481,初始止损,-1.000000000000001,0.3843190329462038,-1.3843190329462025,0.7243422611993257,0.7243422611993257,0.5401753970135039,3.9166666666666665,True,尚未作出事前人工交易判断
BTCUSDT:5:joint:baseline:2026-09-05 16:05:00+00:00,BTCUSDT,5m,多,2026-09-06 00:05:00+08:00,2026-09-06 03:30:00+08:00,79804.9,79678.0,79816.70000000001,0.15901279244757,追踪止损,0.0929866036249876,1.2577604412924477,-1.164773837667426,2.853427895981264,2.853427895981264,2.27974783293945,3.4166666666666665,True,尚未作出事前人工交易判断
ETHUSDT:5:joint:baseline:2026-09-08 02:25:00+00:00,ETHUSDT,5m,多,2026-09-08 10:25:00+08:00,2026-09-08 10:30:00+08:00,2505.71,2492.64,2492.64,0.52160864585287,初始止损,-0.9999999999999988,0.383429227237951,-1.3834292272379436,0.0221882172915042,0.0221882172915042,0.0,0.0833333333333333,False,尚未作出事前人工交易判断
ETHUSDT:15:joint:baseline:2026-09-09 05:00:00+00:00,ETHUSDT,15m,多,2026-09-09 13:00:00+08:00,2026-09-09 18:45:00+08:00,2508.68,2483.74,2483.74,0.9941483170432099,初始止损,-0.9999999999999986,0.2011772253408212,-1.20117722534082,0.5641539695268801,0.5641539695268801,0.4550922213312167,5.75,True,尚未作出事前人工交易判断
ETHUSDT:5:joint:baseline:2026-09-09 07:35:00+00:00,ETHUSDT,5m,多,2026-09-09 15:35:00+08:00,2026-09-09 17:35:00+08:00,2512.04,2503.2200000000003,2503.2200000000003,0.35110905877292997,初始止损,-0.9999999999999946,0.5696235827664715,-1.5696235827664533,1.2142857142857584,1.2142857142857584,0.9183673469387956,2.0,True,尚未作出事前人工交易判断
BTCUSDT:5:joint:baseline:2026-09-12 14:35:00+00:00,BTCUSDT,5m,多,2026-09-12 22:35:00+08:00,2026-09-13 00:05:00+08:00,77405.8,77327.40000000001,77327.40000000001,0.10128439987699998,初始止损,-0.9999999999999544,1.9746377551022711,-2.9746377551021417,0.9132653061224054,0.9132653061224054,0.5739795918367773,1.5,False,尚未作出事前人工交易判断
