symbol,timeframe_min,arm,policy,year,closed,wins,losses,flat,win_rate,win_ci_low,win_ci_high,gross_win_rate,mean_net_r,sum_net_r,median_net_r,mean_net_bp,mean_gross_bp,pf_r,average_win_r,average_loss_r,best_net_r,worst_net_r,event_ordered_drawdown_r_nonaccount,mean_holding_hours,median_holding_hours,median_risk_bp,stop_exits,stop_net_losses,fee_only_losses,net_gt5r,net_gt10r,net_float_to_stop_loss,net_float_to_any_loss,mfe_ge2r_no_close_arm_stop_losses,reached_0r,float_to_stop_loss_0r,float_to_any_loss_0r,ambiguous_stop_profit_0r,reached_0.5r,float_to_stop_loss_0.5r,float_to_any_loss_0.5r,ambiguous_stop_profit_0.5r,reached_1r,float_to_stop_loss_1r,float_to_any_loss_1r,ambiguous_stop_profit_1r,reached_2r,float_to_stop_loss_2r,float_to_any_loss_2r,ambiguous_stop_profit_2r,reached_3r,float_to_stop_loss_3r,float_to_any_loss_3r,ambiguous_stop_profit_3r,reached_5r,float_to_stop_loss_5r,float_to_any_loss_5r,ambiguous_stop_profit_5r,reached_10r,float_to_stop_loss_10r,float_to_any_loss_10r,ambiguous_stop_profit_10r
BTCUSDT,5,joint,baseline,2021,24,6,18,0,0.25,0.11999366158732966,0.4489944416883343,0.25,-0.44769096933453983,-10.744583264028956,-1.2035406542981533,-36.81159087430617,-16.811590874306123,0.5213900799079771,1.950829855181733,-1.247197910839964,5.641614055820116,-1.604918728261414,12.49369659617324,3.930555555555555,3.083333333333333,75.0381893935685,21,16,0,1,0,10,12,0,24,16,18,0,16,9,10,0,13,6,7,0,6,0,0,0,5,0,0,0,2,0,0,0,0,0,0,0
BTCUSDT,5,joint,baseline,2022,95,23,72,0,0.24210526315789474,0.1670884004170714,0.33716820855460794,0.25263157894736843,-0.5880976410244128,-55.86927589731921,-1.2404744027303762,-30.47303879134191,-10.473038791341915,0.4596921001853403,2.0666690218897275,-1.4361481027886522,22.050680901542325,-6.022089552238253,56.40339694576591,4.187719298245614,2.3333333333333335,63.115930368877,83,63,1,1,1,38,44,6,93,61,70,1,57,30,34,1,44,19,21,0,30,7,8,0,17,1,1,0,6,0,0,0,1,0,0,0
BTCUSDT,5,joint,baseline,2023,100,21,79,0,0.21,0.14165654017044627,0.2997996891155716,0.25,-0.5263354340198407,-52.63354340198408,-1.4683242873129232,2.0968587146606303,22.096858714660605,0.6073832400262048,3.877370333118436,-1.6969407645249526,19.968415286624214,-5.424210526316122,74.13947811726987,4.215833333333333,2.291666666666667,31.391769198743,91,71,4,5,2,39,44,7,97,68,76,0,71,45,50,1,51,26,30,1,34,12,14,0,22,3,3,0,14,2,2,0,4,0,0,0
BTCUSDT,5,joint,baseline,2024,103,24,79,0,0.23300970873786409,0.16187608341759113,0.3233424770935807,0.2912621359223301,-0.47166754351006834,-48.58175698153704,-1.3532364597093738,-13.990804752392116,6.009195247607823,0.5781735775041641,2.774510906371926,-1.4578483384109275,8.697916666666757,-3.132268656716545,55.14085161336937,4.148867313915858,3.1666666666666665,41.984131061348,94,73,6,6,0,40,44,2,99,69,75,2,69,42,45,1,49,23,25,0,28,7,7,0,19,2,2,0,14,0,0,0,2,0,0,0
BTCUSDT,5,joint,baseline,2025,88,19,69,0,0.2159090909090909,0.14280824647394696,0.31277531449034035,0.25,-0.8603865235124828,-75.71401406909848,-1.411881099045842,-28.767697510419122,-8.76769751041916,0.29884273695544145,1.6984389412413214,-1.5649906369954145,7.559304817650013,-3.1672186878725976,77.45378648160087,3.7206439393939394,2.208333333333333,36.384259862574005,77,59,3,2,0,30,37,3,87,58,68,0,63,36,44,0,43,18,24,0,24,5,6,0,13,1,1,0,4,0,0,0,2,0,0,0
BTCUSDT,5,joint,baseline,2026,67,18,49,0,0.26865671641791045,0.17722204852487156,0.38518109097082254,0.3283582089552239,-0.6625714129477218,-44.392284667497364,-1.377384057971033,-10.743887981318775,9.25611201868118,0.3975960567033121,1.6277558096147067,-1.5039161069502467,6.017804384485819,-2.9864004944376705,44.39228466749736,4.77363184079602,3.4166666666666665,38.341366762559,61,45,4,1,0,22,25,0,65,43,47,2,43,21,25,2,33,13,15,1,21,4,4,0,16,2,2,0,5,0,0,0,0,0,0,0
BTCUSDT,5,joint,htf_slope,2021,18,6,12,0,0.3333333333333333,0.16278774656229916,0.5625053287487956,0.3333333333333333,-0.17593413332238506,-3.1668143998029312,-1.1992659409278503,-17.632675244255655,2.3673247557443906,0.7870590125377632,1.950829855181733,-1.239316127574444,5.641614055820116,-1.604918728261414,7.321498907748197,4.472222222222221,4.041666666666667,75.0381893935685,16,11,0,1,0,7,8,0,18,11,12,0,13,6,7,0,11,4,5,0,6,0,0,0,5,0,0,0,2,0,0,0,0,0,0,0
BTCUSDT,5,joint,htf_slope,2022,62,13,49,0,0.20967741935483872,0.12683989238428597,0.3263921499842839,0.22580645161290322,-0.8728705155215378,-54.117971962335346,-1.2413106461445822,-43.178399766371264,-23.178399766371278,0.21525459485765852,1.1418835334693074,-1.4073970999476806,3.211456486801068,-6.022089552238253,54.65209301078206,4.061827956989247,2.708333333333333,63.35796262816801,54,42,1,0,0,26,30,2,62,42,49,0,38,22,25,0,27,13,14,0,17,3,4,0,10,1,1,0,4,0,0,0,0,0,0,0
BTCUSDT,5,joint,htf_slope,2023,67,15,52,0,0.22388059701492538,0.14063731076560115,0.3370696621808726,0.23880597014925373,-0.6929104590725371,-46.42500075785999,-1.4929724770642132,-7.698792351435164,12.301207648564853,0.4982632565085524,3.073573590279637,-1.7793962425395102,10.31519166666674,-5.424210526316122,53.83843769222659,4.031094527363185,2.6666666666666665,31.561992579018,63,49,1,3,1,26,29,3,64,46,49,0,50,32,35,1,35,18,20,1,20,5,6,0,13,0,0,0,7,0,0,0,3,0,0,0
BTCUSDT,5,joint,htf_slope,2024,71,17,54,0,0.23943661971830985,0.1552093997864939,0.35041220950515967,0.29577464788732394,-0.3013521606348684,-21.396003405075657,-1.322419609910397,-8.32336175160373,11.676638248396214,0.7241227183303233,3.303543059887483,-1.4362265819104236,8.697916666666757,-2.3022955854127245,34.55600152755154,4.200704225352113,3.1666666666666665,42.586514363842,65,50,4,6,0,29,32,2,69,48,52,2,48,29,31,1,36,18,19,0,21,6,6,0,16,2,2,0,11,0,0,0,2,0,0,0
BTCUSDT,5,joint,htf_slope,2025,61,14,47,0,0.22950819672131148,0.14193230297937104,0.34913405226083943,0.2786885245901639,-0.7549011383538425,-46.0489694395844,-1.373155259366001,-26.602759496846684,-6.602759496846736,0.3621910455567887,1.867837010255071,-1.5361422890033065,7.559304817650013,-3.1672186878725976,46.04896943958438,3.5614754098360657,2.6666666666666665,36.599673045484,53,40,3,2,0,22,27,1,60,39,46,0,42,22,28,0,31,13,17,0,17,3,4,0,10,1,1,0,3,0,0,0,2,0,0,0
BTCUSDT,5,joint,htf_slope,2026,48,15,33,0,0.3125,0.199456833730646,0.45333071530003416,0.375,-0.5996395602220758,-28.78269889065964,-1.3273954302817905,-6.550704909639727,13.449295090360229,0.41167580952559374,1.3426997176039894,-1.4825210501430146,6.017804384485819,-2.9864004944376705,30.17536949363099,5.298611111111111,3.9166666666666665,41.969729270311,42,29,3,1,0,17,20,0,47,28,32,1,35,16,20,1,27,10,12,1,17,3,3,0,12,1,1,0,3,0,0,0,0,0,0,0
