candidates,chart_bars_total,chart_gaps,first,higher_bars,joint_candidates,last,minutes,partial_chart_buckets,partial_higher_buckets,symbol,v9_candidates,valid_ready_window_bars,window_bars_actual,window_bars_expected,window_gap_count,zero_activity,timeframe_min,stream_key,asset,current_status,delivery_ms,inherited,onboard_ms,tick,tail_status,recent_rows,recent_positive_volume_rows,window_missing_5m,gap_count,ready_signal_bars,coverage_status
64,90432,0,2025-11-15 00:00:00+00:00,30144,18,2026-09-24 23:55:00+00:00,5,0,0,0GUSDT,46,17856,17856,17856,0,False,5,0GUSDT_5m,0G,TRADING,4133404800000,True,1758123900000,0.0001,ok,17856,17856,0,0,17856,complete_raw_window_bars
21,30144,0,2025-11-15 00:00:00+00:00,7536,6,2026-09-24 23:45:00+00:00,15,0,0,0GUSDT,15,5952,5952,5952,0,False,15,0GUSDT_15m,0G,TRADING,4133404800000,True,1758123900000,0.0001,ok,17856,17856,0,0,5952,complete_raw_window_bars
7,7536,0,2025-11-15 00:00:00+00:00,1884,3,2026-09-24 23:00:00+00:00,60,0,0,0GUSDT,4,1488,1488,1488,0,False,60,0GUSDT_60m,0G,TRADING,4133404800000,True,1758123900000,0.0001,ok,17856,17856,0,0,1488,complete_raw_window_bars
31,90432,0,2025-11-15 00:00:00+00:00,30144,9,2026-09-24 23:55:00+00:00,5,0,0,1000000BOBUSDT,22,17856,17856,17856,0,False,5,1000000BOBUSDT_5m,1000000BOB,TRADING,4133404800000,True,1749112200000,1e-05,ok,17856,17856,0,0,17856,complete_raw_window_bars
17,30144,0,2025-11-15 00:00:00+00:00,7536,4,2026-09-24 23:45:00+00:00,15,0,0,1000000BOBUSDT,13,5952,5952,5952,0,False,15,1000000BOBUSDT_15m,1000000BOB,TRADING,4133404800000,True,1749112200000,1e-05,ok,17856,17856,0,0,5952,complete_raw_window_bars
3,7536,0,2025-11-15 00:00:00+00:00,1884,1,2026-09-24 23:00:00+00:00,60,0,0,1000000BOBUSDT,2,1488,1488,1488,0,False,60,1000000BOBUSDT_60m,1000000BOB,TRADING,4133404800000,True,1749112200000,1e-05,ok,17856,17856,0,0,1488,complete_raw_window_bars
54,90432,0,2025-11-15 00:00:00+00:00,30144,12,2026-09-24 23:55:00+00:00,5,0,0,1000000MOGUSDT,42,17856,17856,17856,0,False,5,1000000MOGUSDT_5m,1000000MOG,TRADING,4133404800000,True,1730982600000,0.0001,ok,17856,17849,0,0,17856,complete_raw_window_bars
19,30144,0,2025-11-15 00:00:00+00:00,7536,5,2026-09-24 23:45:00+00:00,15,0,0,1000000MOGUSDT,14,5952,5952,5952,0,False,15,1000000MOGUSDT_15m,1000000MOG,TRADING,4133404800000,True,1730982600000,0.0001,ok,17856,17849,0,0,5952,complete_raw_window_bars
4,7536,0,2025-11-15 00:00:00+00:00,1884,1,2026-09-24 23:00:00+00:00,60,0,0,1000000MOGUSDT,3,1488,1488,1488,0,False,60,1000000MOGUSDT_60m,1000000MOG,TRADING,4133404800000,True,1730982600000,0.0001,ok,17856,17849,0,0,1488,complete_raw_window_bars
42,90432,0,2025-11-15 00:00:00+00:00,30144,9,2026-09-24 23:55:00+00:00,5,0,0,1000BONKUSDT,33,17856,17856,17856,0,False,5,1000BONKUSDT_5m,1000BONK,TRADING,4133404800000,True,1700661600000,1e-06,ok,17856,17856,0,0,17856,complete_raw_window_bars
16,30144,0,2025-11-15 00:00:00+00:00,7536,2,2026-09-24 23:45:00+00:00,15,0,0,1000BONKUSDT,14,5952,5952,5952,0,False,15,1000BONKUSDT_15m,1000BONK,TRADING,4133404800000,True,1700661600000,1e-06,ok,17856,17856,0,0,5952,complete_raw_window_bars
8,7536,0,2025-11-15 00:00:00+00:00,1884,3,2026-09-24 23:00:00+00:00,60,0,0,1000BONKUSDT,5,1488,1488,1488,0,False,60,1000BONKUSDT_60m,1000BONK,TRADING,4133404800000,True,1700661600000,1e-06,ok,17856,17856,0,0,1488,complete_raw_window_bars
45,90432,0,2025-11-15 00:00:00+00:00,30144,11,2026-09-24 23:55:00+00:00,5,0,0,1000CATUSDT,34,17856,17856,17856,0,False,5,1000CATUSDT_5m,1000CAT,TRADING,4133404800000,True,1729513800000,1e-06,ok,17856,17856,0,0,17856,complete_raw_window_bars
18,30144,0,2025-11-15 00:00:00+00:00,7536,4,2026-09-24 23:45:00+00:00,15,0,0,1000CATUSDT,14,5952,5952,5952,0,False,15,1000CATUSDT_15m,1000CAT,TRADING,4133404800000,True,1729513800000,1e-06,ok,17856,17856,0,0,5952,complete_raw_window_bars
5,7536,0,2025-11-15 00:00:00+00:00,1884,2,2026-09-24 23:00:00+00:00,60,0,0,1000CATUSDT,3,1488,1488,1488,0,False,60,1000CATUSDT_60m,1000CAT,TRADING,4133404800000,True,1729513800000,1e-06,ok,17856,17856,0,0,1488,complete_raw_window_bars
56,90432,0,2025-11-15 00:00:00+00:00,30144,14,2026-09-24 23:55:00+00:00,5,0,0,1000CHEEMSUSDT,42,17856,17856,17856,0,False,5,1000CHEEMSUSDT_5m,1000CHEEMS,TRADING,4133404800000,True,1732535100000,1e-07,ok,17856,17856,0,0,17856,complete_raw_window_bars
15,30144,0,2025-11-15 00:00:00+00:00,7536,3,2026-09-24 23:45:00+00:00,15,0,0,1000CHEEMSUSDT,12,5952,5952,5952,0,False,15,1000CHEEMSUSDT_15m,1000CHEEMS,TRADING,4133404800000,True,1732535100000,1e-07,ok,17856,17856,0,0,5952,complete_raw_window_bars
3,7536,0,2025-11-15 00:00:00+00:00,1884,1,2026-09-24 23:00:00+00:00,60,0,0,1000CHEEMSUSDT,2,1488,1488,1488,0,False,60,1000CHEEMSUSDT_60m,1000CHEEMS,TRADING,4133404800000,True,1732535100000,1e-07,ok,17856,17856,0,0,1488,complete_raw_window_bars
59,90432,0,2025-11-15 00:00:00+00:00,30144,15,2026-09-24 23:55:00+00:00,5,0,0,1000FLOKIUSDT,44,17856,17856,17856,0,False,5,1000FLOKIUSDT_5m,1000FLOKI,TRADING,4133404800000,True,1683331200000,1e-05,ok,17856,17856,0,0,17856,complete_raw_window_bars
28,30144,0,2025-11-15 00:00:00+00:00,7536,8,2026-09-24 23:45:00+00:00,15,0,0,1000FLOKIUSDT,20,5952,5952,5952,0,False,15,1000FLOKIUSDT_15m,1000FLOKI,TRADING,4133404800000,True,1683331200000,1e-05,ok,17856,17856,0,0,5952,complete_raw_window_bars
6,7536,0,2025-11-15 00:00:00+00:00,1884,2,2026-09-24 23:00:00+00:00,60,0,0,1000FLOKIUSDT,4,1488,1488,1488,0,False,60,1000FLOKIUSDT_60m,1000FLOKI,TRADING,4133404800000,True,1683331200000,1e-05,ok,17856,17856,0,0,1488,complete_raw_window_bars
53,90432,0,2025-11-15 00:00:00+00:00,30144,14,2026-09-24 23:55:00+00:00,5,0,0,1000LUNCUSDT,39,17856,17856,17856,0,False,5,1000LUNCUSDT_5m,1000LUNC,TRADING,4133404800000,True,1662620400000,1e-05,ok,17856,17856,0,0,17856,complete_raw_window_bars
22,30144,0,2025-11-15 00:00:00+00:00,7536,4,2026-09-24 23:45:00+00:00,15,0,0,1000LUNCUSDT,18,5952,5952,5952,0,False,15,1000LUNCUSDT_15m,1000LUNC,TRADING,4133404800000,True,1662620400000,1e-05,ok,17856,17856,0,0,5952,complete_raw_window_bars
1,7536,0,2025-11-15 00:00:00+00:00,1884,0,2026-09-24 23:00:00+00:00,60,0,0,1000LUNCUSDT,1,1488,1488,1488,0,False,60,1000LUNCUSDT_60m,1000LUNC,TRADING,4133404800000,True,1662620400000,1e-05,ok,17856,17856,0,0,1488,complete_raw_window_bars
49,90432,0,2025-11-15 00:00:00+00:00,30144,13,2026-09-24 23:55:00+00:00,5,0,0,1000PEPEUSDT,36,17856,17856,17856,0,False,5,1000PEPEUSDT_5m,1000PEPE,TRADING,4133404800000,True,1683244800000,1e-07,ok,17856,17856,0,0,17856,complete_raw_window_bars
17,30144,0,2025-11-15 00:00:00+00:00,7536,6,2026-09-24 23:45:00+00:00,15,0,0,1000PEPEUSDT,11,5952,5952,5952,0,False,15,1000PEPEUSDT_15m,1000PEPE,TRADING,4133404800000,True,1683244800000,1e-07,ok,17856,17856,0,0,5952,complete_raw_window_bars
1,7536,0,2025-11-15 00:00:00+00:00,1884,0,2026-09-24 23:00:00+00:00,60,0,0,1000PEPEUSDT,1,1488,1488,1488,0,False,60,1000PEPEUSDT_60m,1000PEPE,TRADING,4133404800000,True,1683244800000,1e-07,ok,17856,17856,0,0,1488,complete_raw_window_bars
42,90432,0,2025-11-15 00:00:00+00:00,30144,11,2026-09-24 23:55:00+00:00,5,0,0,1000RATSUSDT,31,17856,17856,17856,0,False,5,1000RATSUSDT_5m,1000RATS,TRADING,4133404800000,True,1702648800000,1e-05,ok,17856,17855,0,0,17856,complete_raw_window_bars
25,30144,0,2025-11-15 00:00:00+00:00,7536,8,2026-09-24 23:45:00+00:00,15,0,0,1000RATSUSDT,17,5952,5952,5952,0,False,15,1000RATSUSDT_15m,1000RATS,TRADING,4133404800000,True,1702648800000,1e-05,ok,17856,17855,0,0,5952,complete_raw_window_bars
13,7536,0,2025-11-15 00:00:00+00:00,1884,4,2026-09-24 23:00:00+00:00,60,0,0,1000RATSUSDT,9,1488,1488,1488,0,False,60,1000RATSUSDT_60m,1000RATS,TRADING,4133404800000,True,1702648800000,1e-05,ok,17856,17855,0,0,1488,complete_raw_window_bars
54,90432,0,2025-11-15 00:00:00+00:00,30144,15,2026-09-24 23:55:00+00:00,5,0,0,1000SATSUSDT,39,17856,17856,17856,0,False,5,1000SATSUSDT_5m,1000SATS,TRADING,4133404800000,True,1702389600000,1e-08,ok,17856,17856,0,0,17856,complete_raw_window_bars
13,30144,0,2025-11-15 00:00:00+00:00,7536,3,2026-09-24 23:45:00+00:00,15,0,0,1000SATSUSDT,10,5952,5952,5952,0,False,15,1000SATSUSDT_15m,1000SATS,TRADING,4133404800000,True,1702389600000,1e-08,ok,17856,17856,0,0,5952,complete_raw_window_bars
