timeframe_min,arm,side,raw_signal_candidates,status_rows,skipped_in_position,trades_taken,closed_trades,censored_unclosed_trades,censored_mfe_known_n,censored_mfe_known_mean_r,censored_mfe_known_median_r,wins_net,losses_net,breakeven_net,fee_only_losses,win_rate_net,gross_win_rate,mean_net_r,median_net_r,sum_net_r_trade_units_nonportfolio,mean_gross_r,median_gross_r,sum_gross_r_trade_units_nonportfolio,mean_net_bp,median_net_bp,mean_gross_bp,median_gross_bp,profit_factor_net_r,profit_factor_gross_r,mean_cost_r,median_cost_r,sum_cost_r_trade_units_nonportfolio,fixed_round_trip_cost_bp,mfe_known_n,mfe_known_mean_r,mfe_known_median_r,mfe_known_q25_r,mfe_known_q75_r,mfe_known_q90_r,mfe_known_max_r,mfe_upper_mean_r,stop_bar_excursion_ambiguous_n,net_floating_profit_then_loss_n,net_floating_profit_n,mean_holding_hours,median_holding_hours,mfe_ge_0p5r_n,mfe_ge_0p5r_then_net_loss_n,mfe_ge_1r_n,mfe_ge_1r_then_net_loss_n,mfe_ge_2r_n,mfe_ge_2r_then_net_loss_n,mfe_ge_3r_n,mfe_ge_3r_then_net_loss_n,mfe_ge_5r_n,mfe_ge_5r_then_net_loss_n,mfe_ge_10r_n,mfe_ge_10r_then_net_loss_n,best_net_return_bp,mean_net_bp_ex_best_price_return,mean_net_r_ex_best_price_return,sum_net_r_ex_best_price_return,top_1pct_price_return_removed_n,mean_net_bp_ex_top_1pct_price_returns,mean_net_r_ex_top_1pct_price_returns,sum_net_r_ex_top_1pct_price_returns
5,v9_both,-1,9989,9989,1561,8428,8412,16,16,1.1701347780697473,1.1174242424242418,2022,6390,0,198,0.24037089871611983,0.26105563480741795,-0.4421296561806763,-1.1400174291939007,-3719.194667791849,-0.17590169437017503,-0.9999999999999928,-1479.6850530419124,-39.40982729921021,-81.606104457604,-19.409827299210217,-61.606104457604,0.49923341417984823,0.7417654397859433,0.2662279618105053,0.2180000000000001,2239.5096147499703,20.0,8412,1.5870764000127398,0.8666666666666165,0.294117647058815,2.250584112149567,3.7999999999999967,49.3684210526309,1.5952867597842109,122,4542,6564,4.594388968140752,2.75,5422,3400,3910,1900,2385,470,1344,84,456,9,67,1,8461.203954410932,-40.420481654424826,-0.44289670265163955,-3725.2041660029404,85,-52.86326899892553,-0.5098203005634403,-4245.273642791767
5,v9_both,1,9751,9751,1623,8128,8118,10,10,1.3424229409564403,1.1714285714285775,2254,5864,0,175,0.27765459472776544,0.29650160137965015,-0.1636066307658897,-1.1225607142857148,-1328.1586285574924,0.0880693577681781,-0.9999999999999962,714.9470463620698,-18.594746002314192,-84.93506493506351,1.4052539976858045,-64.93506493506351,0.804030722140455,1.1350450277204003,0.2516759885340727,0.20365865384615775,2043.1056749196023,20.0,8118,2.010650468264269,0.9411764705882278,0.277777777777791,2.5500000000000176,4.749999999999994,163.03030303030795,2.0170861024679327,119,4129,6383,4.233565328077524,2.5,5217,2963,3959,1708,2602,425,1663,70,758,6,197,2,9596.529304029307,-19.779312227524443,-0.17927581373323245,-1455.1817800726478,82,-37.2924562283415,-0.2838799902090025,-2281.2596013195443
5,joint,-1,0,0,0,0,0,0,0,,,0,0,0,0,,,,,0.0,,,0.0,,,,,,,,,0.0,20.0,0,,,,,,,,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0,,,0.0
5,joint,1,6875,6875,5,6870,6861,9,9,1.5396298004768108,1.2857142857142716,1918,4943,0,137,0.27955108584754407,0.2976242530243405,-0.1574998370770422,-1.1265413533834596,-1080.6063821855867,0.09512839756051396,-0.9999999999999964,652.6759356626862,-16.24669695525083,-84.580228514653,3.7533030447491624,-64.580228514653,0.8122577353509469,1.1452000734837076,0.25262823463755907,0.2078947368421023,1733.2823178482927,20.0,6861,2.041982433122963,0.9591836734694034,0.2812500000000054,2.5684210526315967,4.782051282051346,163.03030303030795,2.048801540471916,102,3466,5384,4.179650682602148,2.4166666666666665,4413,2495,3375,1460,2231,373,1434,58,644,4,172,1,9596.529304029307,-17.6479762556859,-0.17603929062693033,-1207.629533700742,69,-35.845613442433375,-0.2754604831866614,-1870.927601803804
15,v9_both,-1,3383,3383,558,2825,2816,9,9,1.9757610379749515,1.1121495327102788,738,2078,0,38,0.26207386363636365,0.2727272727272727,-0.2270113012390224,-1.0780522875816976,-639.2638242890871,-0.09035893403088913,-0.999999999999996,-254.45075823098378,-47.50536031248889,-136.80834251001698,-27.50536031248889,-116.808342510017,0.7029287217320975,0.8638941286581886,0.13665236720813387,0.11737285977076573,384.813066058105,20.0,2816,1.6439680256284925,0.9282496782496827,0.286593533487299,2.2841151385927483,3.9999999999999556,38.83720930232562,1.6491030307727181,38,1714,2452,15.435369318181818,9.25,1826,1088,1345,610,808,135,477,25,180,0,23,0,3057.812018489985,-48.60849259625531,-0.22780984739589108,-641.2847204194334,29,-65.37996034096501,-0.2930017061525371,-816.595755047121
15,v9_both,1,3722,3722,596,3126,3119,7,7,1.2357449211187437,1.1432291666666634,882,2237,0,32,0.282782943251042,0.2917601795447259,0.07311024730752981,-1.070981818181817,228.03086135218547,0.2018136693600019,-0.999999999999998,629.4568347338459,3.147270946786609,-143.647604327664,23.14727094678662,-123.647604327664,1.0980201246128962,1.308371219163868,0.12870342205247265,0.11118390804597696,401.4259733816622,20.0,3119,2.2858643294710888,0.9499999999999916,0.30903820816864075,2.6406025824964265,5.235097290416456,122.97142857142843,2.2973046990931163,69,1862,2744,13.150288554023726,7.75,2015,1133,1523,642,1000,141,675,25,332,10,104,1,17365.884509624204,-2.4212785203966543,0.04792046394496507,149.41600658040107,32,-40.1463159242929,-0.14391470885351423,-444.2647062307984
15,joint,-1,0,0,0,0,0,0,0,,,0,0,0,0,,,,,0.0,,,0.0,,,,,,,,,0.0,20.0,0,,,,,,,,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0,,,0.0
15,joint,1,2825,2825,1,2824,2820,4,4,0.9889913882718173,0.9382812500000011,794,2026,0,29,0.2815602836879433,0.2907801418439716,0.050515200352084406,-1.0728050974512742,142.45286499287803,0.17996471299524192,-0.999999999999998,507.5004906465822,1.4993297295546886,-142.789625281265,21.499329729554695,-122.789625281265,1.0674505801193057,1.2741542066945963,0.129449512643158,0.11232313725490242,365.0476256537055,20.0,2820,2.267424689394812,0.9550579128922814,0.302744425385934,2.659412521440822,5.181547619047551,111.94190871369317,2.2769965189668566,66,1675,2469,12.913297872340426,7.5,1815,1021,1381,588,915,142,612,30,300,8,94,1,17365.884509624204,-4.660437982362535,0.02264562263962174,63.83801022109369,29,-39.28706246331483,-0.1475325883450985,-411.7634540711699
60,v9_both,-1,651,651,107,544,539,5,5,0.4603531318243845,0.3126550868486341,153,386,0,3,0.28385899814471244,0.287569573283859,-0.16238461201807322,-1.036079207920794,-87.52530587774146,-0.09126395043234532,-0.999999999999998,-49.19126928303413,-90.88731771987291,-252.55813953488402,-70.8873177198729,-232.558139534884,0.7661482999263072,0.8586128547463355,0.07112066158572801,0.060172413793103265,38.3340365947074,20.0,539,1.6124983218834845,0.8888888888888858,0.30318062445287636,2.2437499999999986,4.05962975354077,14.777777777777704,1.6156748053351813,6,356,509,63.94805194805195,45.0,344,191,258,108,155,13,86,0,32,0,4,0,4213.1789703078175,-98.8874409318203,-0.1754257139227594,-94.37903409044456,6,-123.70235052306192,-0.1993016019223906,-106.22775382463419
60,v9_both,1,880,880,160,720,709,11,11,3.2791596148733344,1.0,285,424,0,3,0.4019746121297602,0.40620592383638926,0.698147809393223,-1.0197395459976106,494.9867968597951,0.7648365702651936,-0.999999999999997,542.2691283180222,176.22305603452972,-206.497036287405,196.22305603452972,-186.497036287405,2.1789745220490113,2.383526971491768,0.06668876087197069,0.05658241758241782,47.28233145822722,20.0,709,3.2851064246909147,1.4600000000000033,0.4841628959275985,4.137500000000007,7.335000000000005,72.86813186813278,3.307081918751023,38,386,671,57.59379407616361,46.0,529,244,426,141,311,35,236,2,133,0,43,0,7877.058823529413,165.34616935727703,0.6593152795373256,466.79521791242655,8,112.370952011098,0.4610662141354882,323.2074161089772
