trade_key,symbol,signal_bar_open,net_r
binance_um:PROMUSDT:1h:joint:10779,PROMUSDT,2026-04-09 15:00:00+00:00,33.99709090909101
binance_um:LYNUSDT:1h:joint:2898,LYNUSDT,2026-02-04 01:00:00+00:00,33.02593065693441
binance_um:ALPINEUSDT:1h:joint:3389,ALPINEUSDT,2025-09-24 14:00:00+00:00,29.40900603136311
binance_um:PENGUUSDT:1h:joint:3020,PENGUUSDT,2025-04-22 12:00:00+00:00,18.906475570032573
binance_um:ZENUSDT:1h:joint:3906,ZENUSDT,2024-12-19 06:00:00+00:00,16.61960769800149
binance_um:BIOUSDT:1h:joint:11170,BIOUSDT,2026-04-13 22:00:00+00:00,15.896191489361703
binance_um:INXUSDT:1h:joint:1615,INXUSDT,2026-04-08 02:00:00+00:00,11.750967921896782
binance_um:1000000MOGUSDT:1h:joint:4312,1000000MOGUSDT,2025-05-06 04:00:00+00:00,11.671952127659589
binance_um:ENJUSDT:1h:joint:14752,ENJUSDT,2026-03-16 04:00:00+00:00,10.898595744680897
binance_um:ALCHUSDT:1h:joint:11088,ALCHUSDT,2026-04-14 11:00:00+00:00,10.603509433962309
binance_um:XAIUSDT:1h:joint:14615,XAIUSDT,2026-03-10 11:00:00+00:00,10.373363636363658
binance_um:ACXUSDT:1h:joint:11036,ACXUSDT,2026-03-11 11:00:00+00:00,9.727454545454547
binance_um:STRKUSDT:1h:joint:6807,STRKUSDT,2025-04-19 03:00:00+00:00,9.490902527075892
binance_um:LABUSDT:1h:joint:4055,LABUSDT,2026-04-04 13:00:00+00:00,9.21560549132949
