arm,month,closed,mean_net_r,total_net_r,mean_net_bp
break_only,2024-09,332,0.27159962505194,90.17107551724409,287.15091507879293
break_only,2024-10,380,-0.2328940714578566,-88.49974715398551,-111.96946664025707
break_only,2024-11,389,1.1285321419665666,438.9990032249944,491.49808715089677
break_only,2024-12,506,-0.4449531774885899,-225.1463078092265,-191.0029095851056
break_only,2025-01,765,-0.06605779253719556,-50.5342112909546,-91.98153162212029
break_only,2025-02,493,-0.4758573000387374,-234.59764891909754,-278.19646065646043
break_only,2025-03,721,-0.23540661445241381,-169.72816902019036,-129.270128986109
break_only,2025-04,768,0.7783136595936413,597.7448905679165,344.5497828825736
break_only,2025-05,452,0.5539379461828592,250.37995167465235,240.13697965967128
break_only,2025-06,812,-0.03858364497724862,-31.329919721525883,-33.09666890844208
break_only,2025-07,413,0.6936122156259135,286.46184505350226,180.18143283113864
break_only,2025-08,768,0.02694616139400018,20.69465195059214,-73.90176358390555
break_only,2025-09,853,0.18496966039986534,157.77912032108514,80.79993417571549
break_only,2025-10,1084,-0.30643807844041526,-332.17887702941016,-158.5947162872569
break_only,2025-11,1270,-0.5408892132365666,-686.9293008104395,-273.38194354866
break_only,2025-12,1562,-0.4080059380236788,-637.3052751929863,-154.7865654649964
break_only,2026-01,789,0.18784275204336007,148.2079313622111,50.73674026666721
break_only,2026-02,1125,-0.3675139692468405,-413.45321540269555,-176.2344929313702
break_only,2026-03,1096,-0.061469847123389196,-67.37095244723456,-60.094662477637875
break_only,2026-04,916,0.3036830653017285,278.17368781638334,147.6146837911006
joint,2024-09,54,0.9889282724225736,53.402126710818976,528.1759500254782
joint,2024-10,25,-0.5420990137065822,-13.552475342664554,-240.86143583569324
joint,2024-11,27,0.12573110632913864,3.394739870886743,188.18495525486642
joint,2024-12,57,-0.5031887892718557,-28.68176098849578,-124.55793214290334
joint,2025-01,63,0.24393845243669518,15.368122503511797,43.2164369482018
joint,2025-02,56,-0.682057887662502,-38.19524170910011,-337.2298802008998
joint,2025-03,87,-0.06387826253533196,-5.557408840573881,-16.55622715526314
joint,2025-04,83,1.6565002364892774,137.48951962861003,694.6336114811131
joint,2025-05,27,0.19606958855223344,5.293878890910303,148.1592656650846
joint,2025-06,50,-0.5576144669350285,-27.880723346751424,-290.63349751543484
joint,2025-07,46,0.8900830505752328,40.94382032646071,297.46564981431874
joint,2025-08,81,0.07078301533528959,5.733424242158457,-144.9741504081628
joint,2025-09,119,0.4792508070428064,57.03084603809396,83.96973235035283
joint,2025-10,97,-0.12057297862867938,-11.6955789269819,-58.09851667199488
joint,2025-11,61,-0.7558334187441006,-46.105838543390135,-442.32332193932376
joint,2025-12,136,-0.5112942241644964,-69.53601448637151,-255.55390316823627
joint,2026-01,57,-0.1388216636450881,-7.912834827770022,-0.48103723097977324
joint,2026-02,76,-0.0784396993768486,-5.961417152640493,48.6532024011631
joint,2026-03,137,-0.0493371612841072,-6.759191095922686,-68.58163771770634
joint,2026-04,137,0.5312453099922333,72.78060746893595,271.8439550904843
v9_only,2024-09,181,0.5331258430088548,96.49577758460272,303.34056153083407
v9_only,2024-10,217,-0.34756653391043385,-75.42193785856415,-152.9516974750352
v9_only,2024-11,137,0.5023099806183661,68.81646734471614,394.0218279865975
v9_only,2024-12,223,-0.5699673120552452,-127.10271058831968,-279.04139339089085
v9_only,2025-01,242,-0.0640756478469033,-15.506306778950599,-85.26886734101916
v9_only,2025-02,325,-0.7583603213075133,-246.46710442494182,-402.391708780059
v9_only,2025-03,385,-0.24841019036893341,-95.63792329203936,-96.41285129643933
v9_only,2025-04,311,1.3030259627248009,405.24107440741307,521.5491331972784
v9_only,2025-05,224,-0.4624371893415393,-103.58593041250481,-220.15213212417171
v9_only,2025-06,232,-0.23753269459166718,-55.10758514526678,-145.59039781808465
v9_only,2025-07,342,1.0361755711425298,354.3720453307452,279.09478344511086
v9_only,2025-08,473,-0.02162740668516253,-10.229763362081876,-138.50458753120958
v9_only,2025-09,463,0.5262773160620552,243.66639733673154,125.5933044727941
v9_only,2025-10,379,-0.10199232449439358,-38.65509098337517,-80.18943787533723
v9_only,2025-11,227,-0.6171438444584455,-140.09165269206713,-301.4781667025131
v9_only,2025-12,479,-0.39078346786269413,-187.1852811062305,-185.96991302782462
v9_only,2026-01,299,0.1463746827914347,43.766030154638976,0.40028119715745697
v9_only,2026-02,324,-0.35287782208819646,-114.33241435657565,-133.36456510267396
v9_only,2026-03,464,-0.25605450545807495,-118.80929053254678,-94.72783805753869
v9_only,2026-04,624,0.13170954107092192,82.18675362825527,93.06126708124626
