symbol,trades,total_r,mean_r
AIXBTUSDT,7,-6.589589990142046,-0.9413699985917209
1000CHEEMSUSDT,6,-6.33530229204383,-1.0558837153406384
BANDUSDT,6,-5.920353424133136,-0.986725570688856
CATIUSDT,10,-5.661578390225565,-0.5661578390225566
NEOUSDT,5,-5.406442371651545,-1.081288474330309
CTSIUSDT,5,-5.302031864107024,-1.0604063728214048
ETHUSDT,5,-5.2816050946527735,-1.0563210189305547
KSMUSDT,5,-5.245685352824796,-1.0491370705649592
SAGAUSDT,8,-5.132963441468472,-0.641620430183559
NTRNUSDT,5,-5.092146403160395,-1.0184292806320792
