币种,信号K时间(北京),入场时间(北京),退出时间(北京),突破来源,距V9根数,入场价,初始止损,初始风险距离(%),退出价,退出原因,持仓小时,最大记录浮盈R,净R,净价格收益(%),较原V9入场追价(%),原V9净R(事后关联),交易标识
ORDIUSDT,2024-09-11 02:00:00+08:00,2024-09-11 03:00:00+08:00,2024-09-11 11:00:00+08:00,本周期1h,0,30.816,29.493,4.29322429906541,29.493,初始止损,8.0,0.0,-1.046585034013606,-4.493224299065409,0.0,-1.046585034013606,binance_um:ORDIUSDT:1h:box_any:1518
BNBUSDT,2024-09-12 02:00:00+08:00,2024-09-12 03:00:00+08:00,2024-09-17 00:00:00+08:00,本周期1h,0,532.86,507.55,4.74984048342904,534.77,反向确认,117.0,1.1481627815092823,0.0333575661793728,0.15844311826744,0.0,0.0333575661793728,binance_um:BNBUSDT:1h:box_any:1542
MINAUSDT,2024-09-12 12:00:00+08:00,2024-09-12 13:00:00+08:00,2024-09-16 10:00:00+08:00,本周期1h,0,0.4285,0.41281,3.66161026837805,0.41281,初始止损,93.0,1.2045889101338465,-1.054620777565328,-3.8616102683780498,0.0,-1.054620777565328,binance_um:MINAUSDT:1h:box_any:1552
TOKENUSDT,2024-09-12 14:00:00+08:00,2024-09-12 15:00:00+08:00,2024-09-12 23:00:00+08:00,本周期1h,2,0.05166,0.049907,3.3933410762679,0.049907,初始止损,8.0,0.6902452937820903,-1.058938961779805,-3.59334107626789,0.19394879751744032,-1.0538485639686692,binance_um:TOKENUSDT:1h:box_any:1554
IOSTUSDT,2024-09-13 01:00:00+08:00,2024-09-13 02:00:00+08:00,2024-09-16 04:00:00+08:00,本周期1h,0,0.004823,0.0047039,2.46941737507776,0.0047039,初始止损,74.0,0.9739714525608676,-1.080990764063813,-2.66941737507776,0.0,-1.080990764063813,binance_um:IOSTUSDT:1h:box_any:1565
LINKUSDT,2024-09-13 01:00:00+08:00,2024-09-13 02:00:00+08:00,2024-09-16 04:00:00+08:00,本周期1h,0,10.733,10.504,2.13360663374639,11.049,追踪止损,74.0,3.580786026200859,1.286174672489073,2.74419081337928,0.0,1.286174672489073,binance_um:LINKUSDT:1h:box_any:1565
IDUSDT,2024-09-13 02:00:00+08:00,2024-09-13 03:00:00+08:00,2024-09-16 07:00:00+08:00,本周期1h,1,0.34127,0.33249,2.5727429894218603,0.33249,初始止损,76.0,1.8781321184510231,-1.0777380410022794,-2.7727429894218703,-0.06734992679355845,-1.0757206208425716,binance_um:IDUSDT:1h:box_any:1566
HOOKUSDT,2024-09-13 04:00:00+08:00,2024-09-13 05:00:00+08:00,2024-09-15 02:00:00+08:00,本周期1h,14,0.414,0.40439,2.32125603864733,0.4184,追踪止损,45.0,2.6222684703434056,0.3716961498439202,0.8628019323671601,0.19361084220714808,0.4499588477366295,binance_um:HOOKUSDT:1h:box_any:1568
ORBSUSDT,2024-09-13 16:00:00+08:00,2024-09-13 17:00:00+08:00,2024-09-16 01:00:00+08:00,本周期1h,88,0.02363,0.0231789999999999,1.90859077443928,0.0231789999999999,初始止损,56.0,1.1086474501108494,-1.1047893569844798,-2.10859077443928,2.161694768698652,-0.4135628742514985,binance_um:ORBSUSDT:1h:box_any:1580
DYDXUSDT,2024-09-13 23:00:00+08:00,2024-09-14 00:00:00+08:00,2024-09-16 05:00:00+08:00,本周期1h,0,0.925,0.8909,3.6864864864864804,0.8909,初始止损,53.0,0.3519061583577714,-1.0542521994134886,-3.8864864864864797,0.0,-1.0542521994134886,binance_um:DYDXUSDT:1h:box_any:1587
