tf,arm,period,n,win,mean_r,pf,total,dd,diff,lo,hi,no_break_exits
15m,v9_add,full,23205,0.28515406162464985,-0.0998889381335752,0.8626225599889072,-2317.9228093896127,2969.077583376974,0.0,,,0
15m,v9_add,later,10857,0.24362162660035,-0.23376505202433565,0.6971858777198466,-2537.9871698282122,2586.230469624875,0.0,,,0
15m,v9_exit3,full,26190,0.3457808323787705,-0.09980971221837226,0.6842107433292177,-2614.0163629991694,2666.4847457426704,7.922591520294342e-05,-0.09686200060525925,0.08134397703203324,21258
15m,v9_exit3,later,12236,0.32052958483164434,-0.1423982704218387,0.5788713841648738,-1742.3852368816183,1747.2448027027247,0.09136678160249695,0.03740080891625017,0.15615153941886142,9892
15m,v9_exit6,full,25897,0.36058230683090703,-0.10272723559559527,0.7377366698349224,-2660.3272202191306,2766.2312136421615,-0.0028382974620200646,-0.08776232244091056,0.06735815977394416,18384
15m,v9_exit6,later,12090,0.33316790736145574,-0.1484683507971578,0.6427338633146692,-1794.9823611376378,1804.9351806025518,0.08529670122717783,0.038765591454191055,0.13929599644959828,8536
15m,v9_exit12,full,25285,0.36705556654142774,-0.10694513811146011,0.7762643242780267,-2704.107817148269,2956.398157421696,-0.007056199977884911,-0.08500730133226882,0.05702274906386608,14612
15m,v9_exit12,later,11804,0.3378515757370383,-0.16310124271458612,0.6789430931038355,-1925.2470690029745,1971.023219288634,0.07066380930974953,0.011773683179117823,0.1339916572602939,6688
15m,v9_exit24,full,24286,0.3519723297372972,-0.10422994322911538,0.8167472510250706,-2531.328401262296,2796.639171569356,-0.004341005095540182,-0.07275697557358404,0.04778876871139431,10338
15m,v9_exit24,later,11383,0.3167881929192656,-0.17743338333772443,0.7055104624622406,-2019.724202533317,2054.874911624793,0.056331668686611214,0.01726217033962933,0.0995419177654592,4706
15m,v9_exit48,full,23634,0.3255479394093255,-0.11354663714517453,0.8273238532723232,-2683.561222289055,3017.5082667842107,-0.013657699011599328,-0.0686400060479195,0.027526212220493968,6088
15m,v9_exit48,later,11082,0.2793719545208446,-0.22356154487812302,0.6810816951862576,-2477.509040339359,2515.792856900487,0.010203507146212626,-0.010695815373164094,0.03251865775400253,2635
15m,v9_exit6_add,full,25897,0.36058230683090703,-0.10272723559559527,0.7377366698349224,-2660.3272202191306,2766.2312136421615,-0.0028382974620200646,-0.08776232244091056,0.06735815977394416,18384
15m,v9_exit6_add,later,12090,0.33316790736145574,-0.1484683507971578,0.6427338633146692,-1794.9823611376378,1804.9351806025518,0.08529670122717783,0.038765591454191055,0.13929599644959828,8536
1h,v9_add,full,6551,0.29720653335368646,-0.005127224201856419,0.992366319441702,-33.5884457463614,707.866044695844,0.0,,,0
1h,v9_add,later,2926,0.2532467532467532,-0.15925558201425133,0.777926775790459,-465.9818329736994,709.6101727345983,0.0,,,0
1h,v9_exit3,full,7524,0.4102870813397129,-0.024262996877577638,0.9070368791383049,-182.55478850689414,312.94101216914436,-0.019135772675721217,-0.22106281000484887,0.1620186877739195,6105
1h,v9_exit3,later,3321,0.35862691960252935,-0.07312413881445742,0.7552182954283813,-242.8452650028131,303.70466608638367,0.0861314431997939,-0.03413220111169924,0.22573555942849213,2604
1h,v9_exit6,full,7448,0.41944146079484423,-0.01742499624469809,0.9477029775988699,-129.78137203051136,380.29842929178335,-0.01229777204284167,-0.19157475228259105,0.14963225400929683,5388
1h,v9_exit6,later,3291,0.36584624734123367,-0.0874846359665376,0.7696163482126112,-287.91193696587527,382.8033853751261,0.07177094604771372,-0.03518060072791513,0.19172756139798683,2270
1h,v9_exit12,full,7240,0.42790055248618786,0.016959756094470275,1.0417043557757677,122.78863412396478,436.92868225106565,0.022086980296326695,-0.1274965863290177,0.16197532990794858,4385
1h,v9_exit12,later,3210,0.35700934579439253,-0.08937747886689106,0.8068775386246275,-286.9017071627203,436.92868225106565,0.06987810314736027,-0.018729638370625683,0.17354947559330466,1821
1h,v9_exit24,full,6920,0.3916184971098266,0.042632128304221695,1.0842470874716958,295.0143278652141,483.8341318556138,0.047759352506078115,-0.06954418723757677,0.15444936594617206,3090
1h,v9_exit24,later,3070,0.3355048859934853,-0.07043231083349556,0.8752667060585999,-216.2271942588314,483.83413185561494,0.08882327118075577,0.013137062043653908,0.17534249056069914,1207
1h,v9_exit48,full,6680,0.3601796407185629,0.0628028298307485,1.1073490596124922,419.5229032694,548.7204298213862,0.06793005403260492,-0.020754165535886313,0.14609540130975723,1819
1h,v9_exit48,later,2982,0.29678068410462777,-0.09518867454750171,0.8540285790178858,-283.8526275006501,548.8493457505917,0.06406690746674962,0.011702182078442758,0.10730248913546586,660
1h,v9_exit6_add,full,7448,0.41944146079484423,-0.01742499624469809,0.9477029775988699,-129.78137203051136,380.29842929178335,-0.01229777204284167,-0.19157475228259105,0.14963225400929683,5388
1h,v9_exit6_add,later,3291,0.36584624734123367,-0.0874846359665376,0.7696163482126112,-287.91193696587527,382.8033853751261,0.07177094604771372,-0.03518060072791513,0.19172756139798683,2270
