币种,归档合约,15m_已平仓,15m_边界未平仓,15m_全部入场,1h_已平仓,1h_边界未平仓,1h_全部入场,4h_已平仓,4h_边界未平仓,4h_全部入场
BTC,BTCUSDT,12,0,12,4,0,4,3,0,3
ETH,ETHUSDT,17,0,17,2,0,2,2,0,2
SOL,SOLUSDT,12,0,12,3,0,3,1,0,1
PEPE,1000PEPEUSDT,18,0,18,9,0,9,1,1,2
WIF,WIFUSDT,14,0,14,7,0,7,3,0,3
ZEC,ZECUSDT,10,0,10,3,0,3,2,0,2
HYPE,HYPEUSDT,10,0,10,2,0,2,0,0,0
USELESS,USELESSUSDT,11,0,11,3,0,3,1,0,1
MUBARAK,MUBARAKUSDT,15,0,15,2,0,2,1,0,1
UNI,UNIUSDT,22,0,22,5,0,5,1,0,1
PUMP,PUMPUSDT,8,0,8,1,0,1,0,0,0
ARB,ARBUSDT,12,0,12,9,0,9,1,0,1
AR,ARUSDT,18,0,18,6,0,6,1,0,1
BOME,BOMEUSDT,17,0,17,6,0,6,1,0,1
ENA,ENAUSDT,13,0,13,5,0,5,1,0,1
ONE,ONEUSDT,13,0,13,3,0,3,0,0,0
PIEVERSE,PIEVERSEUSDT,9,0,9,3,0,3,1,0,1
AAVE,AAVEUSDT,16,0,16,3,0,3,3,0,3
NEAR,NEARUSDT,13,0,13,3,0,3,2,0,2
ZEN,ZENUSDT,21,0,21,6,0,6,0,0,0
DASH,DASHUSDT,8,0,8,1,0,1,3,0,3
PENDLE,PENDLEUSDT,12,0,12,5,0,5,1,0,1
XTZ,XTZUSDT,9,0,9,4,0,4,1,1,2
JUP,JUPUSDT,13,0,13,6,0,6,2,0,2
AERO,AEROUSDT,18,0,18,3,0,3,1,0,1
OP,OPUSDT,15,0,15,6,0,6,0,0,0
FIL,FILUSDT,19,0,19,3,0,3,1,0,1
APT,APTUSDT,21,0,21,5,0,5,1,0,1
API3,API3USDT,13,0,13,4,0,4,2,0,2
