arm,signal_i,status,blocking_trade,symbol,asset,timeframe,signal_bar_open
v9_long,1554,closed,,APTUSDT,APT,4h,2024-09-19 00:00:00+00:00
v9_long,3027,closed,,APTUSDT,APT,4h,2025-05-22 12:00:00+00:00
v9_long,3317,closed,,APTUSDT,APT,4h,2025-07-09 20:00:00+00:00
v9_long,3740,closed,,APTUSDT,APT,4h,2025-09-18 08:00:00+00:00
v9_long,4372,closed,,APTUSDT,APT,4h,2026-01-01 16:00:00+00:00
v9_long,4444,skipped_in_position,binance_um:APTUSDT:4h:v9_long:4372,APTUSDT,APT,4h,2026-01-13 16:00:00+00:00
v9_long,4861,closed,,APTUSDT,APT,4h,2026-03-24 04:00:00+00:00
v10_4,4861,closed,,APTUSDT,APT,4h,2026-03-24 04:00:00+00:00
box_chart,3323,closed,,APTUSDT,APT,4h,2025-07-10 20:00:00+00:00
box_any,3323,closed,,APTUSDT,APT,4h,2025-07-10 20:00:00+00:00
