arm,signal_i,status,blocking_trade,symbol,asset,timeframe,signal_bar_open
v9_long,3278,closed,,XTZUSDT,XTZ,4h,2025-07-03 08:00:00+00:00
v9_long,3317,closed,,XTZUSDT,XTZ,4h,2025-07-09 20:00:00+00:00
v9_long,4360,closed,,XTZUSDT,XTZ,4h,2025-12-30 16:00:00+00:00
v9_long,4379,skipped_in_position,binance_um:XTZUSDT:4h:v9_long:4360,XTZUSDT,XTZ,4h,2026-01-02 20:00:00+00:00
v9_long,5071,censored_boundary,,XTZUSDT,XTZ,4h,2026-04-28 04:00:00+00:00
v10_4,5071,censored_boundary,,XTZUSDT,XTZ,4h,2026-04-28 04:00:00+00:00
box_htf,4398,closed,,XTZUSDT,XTZ,4h,2026-01-06 00:00:00+00:00
box_chart,5071,censored_boundary,,XTZUSDT,XTZ,4h,2026-04-28 04:00:00+00:00
box_any,4398,closed,,XTZUSDT,XTZ,4h,2026-01-06 00:00:00+00:00
box_any,5071,censored_boundary,,XTZUSDT,XTZ,4h,2026-04-28 04:00:00+00:00
