arm,signal_i,status,blocking_trade,symbol,asset,timeframe,signal_bar_open
v9_long,1682,closed,,ZECUSDT,ZEC,4h,2024-10-10 08:00:00+00:00
v9_long,2938,closed,,ZECUSDT,ZEC,4h,2025-05-07 16:00:00+00:00
v9_long,3367,closed,,ZECUSDT,ZEC,4h,2025-07-18 04:00:00+00:00
v9_long,4903,closed,,ZECUSDT,ZEC,4h,2026-03-31 04:00:00+00:00
v10_4,1682,closed,,ZECUSDT,ZEC,4h,2024-10-10 08:00:00+00:00
v10_4,3367,closed,,ZECUSDT,ZEC,4h,2025-07-18 04:00:00+00:00
box_chart,1682,closed,,ZECUSDT,ZEC,4h,2024-10-10 08:00:00+00:00
box_chart,4945,closed,,ZECUSDT,ZEC,4h,2026-04-07 04:00:00+00:00
box_any,1682,closed,,ZECUSDT,ZEC,4h,2024-10-10 08:00:00+00:00
box_any,4945,closed,,ZECUSDT,ZEC,4h,2026-04-07 04:00:00+00:00
