timeframe,symbol,n,symbols,wins,losses,win_pct,mean_r,median_r,sum_r,gross_r,mean_bp,median_bp,sum_bp,gross_bp,avg_win_r,avg_loss_r,payoff_r,breakeven_win_pct_r,pf_r,avg_win_bp,avg_loss_bp,payoff_bp,pf_bp,mean_hold_h,median_hold_h,median_risk_pct,median_delay,mfe_ge1,mfe_ge2,loss_mfe_lt1,loss_mfe_ge1,loss_mfe_ge2,loss_mfe_ge3,loss_mfe_ge5,matched_n,matched_pct,paired_actual_r,random_r,excess_r,paired_actual_bp,random_bp,excess_bp,excess_blocks,excess_mean_ci_low,excess_mean_ci_high,excess_p_month_signflip
15m,1000PEPEUSDT,18,1,8,10,44.44444444444444,0.15592269552578827,-0.859519450673853,2.8066085194641888,0.28299079338756195,38.744350660577496,-115.6409278303145,697.3983118903949,58.74435066057755,1.7178227114739086,1.093597317232708,1.5708000416650354,38.898396755600174,1.2566400333320282,344.5805623815515,205.9246187162017,1.673333497130038,1.3386667977040303,13.791666666666666,10.0,1.677713294435735,5.5,11,8,7,3,2,0,0,18,100.0,0.15592269552578827,-0.07087761341001318,0.22680030893580147,38.744350660577496,-53.228993996694825,91.97334465727232,13,-0.6070793481946547,1.1535013898731608,0.32983508245877063
15m,AAVEUSDT,16,1,1,15,6.25,-0.9880283731246555,-1.1319165764833214,-15.808453969994488,-0.854166666666667,-169.78827546049945,-168.8823594387875,-2716.612407367991,-149.7882754604994,1.2156939890710443,1.1349431972710353,1.0711496328575507,48.28236377206156,0.07140997552383671,206.681531029357,194.88626255982317,1.0605238579395153,0.07070159052930101,7.578125,2.75,1.516246538150255,17.0,7,1,9,6,0,0,0,16,100.0,-0.9880283731246555,0.3793167248514745,-1.3673450979761301,-169.78827546049945,83.25796739939669,-253.04624285989613,9,-2.4505595951793264,-0.14059999235092757,0.9395302348825587
15m,AEROUSDT,18,1,4,14,22.22222222222222,-0.09411150871551208,-1.0754494878706216,-1.6940071568792174,0.008813620747751605,-61.0689887681841,-183.93247762385852,-1099.2417978273138,-41.068988768184106,3.0333196140471057,0.9876632580762601,3.0712083184660646,24.562732284276144,0.8774880909903042,536.2778754975318,231.73952141553153,2.3141407741838447,0.6611830783382413,12.041666666666666,5.0,2.2812212325125953,5.0,7,4,11,3,1,0,0,18,100.0,-0.09411150871551208,-0.4283454809539118,0.3342339722383997,-61.0689887681841,-113.54751717515921,52.47852840697511,11,-0.6022832663374419,2.1661981903184744,0.37381309345327335
15m,API3USDT,13,1,6,7,46.15384615384615,0.59934476175602,-0.2507551020408177,7.79148190282826,0.7189465698080528,68.43539623089109,-33.723068478112,889.6601510015842,88.43539623089107,2.182003335857495,0.7572197303309585,2.881598627790385,25.762581242699323,2.469941680963187,353.7433505831885,176.11427892822098,2.0086011919985425,1.7216581645701794,19.865384615384617,17.25,1.9385157626786598,3.0,10,8,3,4,2,0,0,13,100.0,0.59934476175602,-0.6142770813236517,1.2136218430796717,68.43539623089109,-105.21453541844107,173.64993164933216,9,0.2012244896355122,2.2967450433255765,0.01899050474762619
15m,APTUSDT,21,1,7,14,33.33333333333333,-0.16093841000576967,-1.0716957001102545,-3.379706610121163,-0.03712089111659654,-25.337574996924907,-116.52121455861499,-532.089074935423,-5.337574996924859,1.50055387972467,0.9916845548709896,1.513136281445747,39.79091812023517,0.7565681407228735,293.02215878694716,184.51744188886096,1.5880458551091394,0.7940229275545697,16.86904761904762,18.75,1.7243148927435101,2.0,15,7,6,8,1,0,0,21,100.0,-0.16093841000576967,-0.1010299813111675,-0.05990842869460215,-25.337574996924907,-19.520167522496806,-5.8174074744281015,13,-0.8795460622026093,0.9106318384099085,0.5367316341829086
15m,ARBUSDT,12,1,5,7,41.66666666666667,-0.16984935275374702,-0.6390653435900361,-2.038192233044964,-0.05235233016144211,-40.05086322441108,-75.16237751083949,-480.610358692933,-20.050863224411078,0.9619252790798594,0.9782598040634658,0.983302467385702,50.42095275150612,0.7023589052755015,184.09420494310862,200.154483344068,0.9197605862600061,0.6569718473285757,12.3125,8.25,1.8871212517760951,7.0,8,5,4,3,1,0,0,12,100.0,-0.16984935275374702,1.7656893567003584,-1.9355387094541054,-40.05086322441108,204.259947982308,-244.31081120671908,11,-5.16004027044218,0.34538705477925824,0.8725637181409296
15m,ARUSDT,18,1,8,10,44.44444444444444,0.8725316803301976,-0.4556035533728155,15.705570245943557,0.9725633648175899,450.51844035369714,-77.021049788892,8109.331926366549,470.51844035369714,3.146127384813264,0.9463448832562558,3.32450403703545,23.124038998135006,2.65960322962836,1262.204435132195,198.83035546910088,6.348147556012125,5.0785180448097,15.708333333333334,14.375,2.4311386084309397,4.0,11,9,7,3,1,0,0,18,100.0,0.8725316803301976,-0.8527095194179609,1.7252411997481585,450.51844035369714,-156.85968384219808,607.3781241958953,13,0.5912780738243345,3.3616050275119824,0.005997001499250375
15m,BOMEUSDT,17,1,6,11,35.294117647058826,0.16386311067335382,-0.630202702702705,2.785672881447015,0.26921281974101086,30.230949715465165,-155.08442776735401,513.9261451629078,50.23094971546522,2.1944884895278314,0.9437507323381795,2.3252840123269625,30.072619249753092,1.268336733996525,425.08067764871845,185.14162915721843,2.2959756786397767,1.252350370167151,15.308823529411764,9.5,1.82711478211335,5.0,8,6,9,2,0,0,0,17,100.0,0.16386311067335382,-0.5935678123625294,0.7574309230358831,30.230949715465165,-124.81472934832125,155.0456790637864,12,-0.08878374062017001,1.6453717945627289,0.08195902048975512
15m,BTCUSDT,12,1,4,8,33.33333333333333,0.07418841659297443,-1.1666798412937445,0.8902609991156931,0.4525682867379519,43.25161188885267,-46.606242090795504,519.0193426662321,63.25161188885267,2.9627208260730606,1.3700777881470687,2.1624471630037347,31.62108166418144,1.0812235815018674,291.1771170647515,80.71114069909675,3.607644676344044,1.803822338172022,12.104166666666666,8.375,0.620945280836175,8.0,9,4,3,5,0,0,0,12,100.0,0.07418841659297443,-0.06524788913768764,0.139436305730662,43.25161188885267,-9.610432947441836,52.8620448362945,8,-1.3035825018571703,1.9380289049978332,0.4472763618190905
15m,DASHUSDT,8,1,5,3,62.5,1.5992525770505166,1.291063374932178,12.794020616404133,1.682561587145853,465.79016108955636,558.9039506455534,3726.321288716451,485.79016108955636,3.225124244240503,1.110533534932794,2.90412143604081,25.61395736230237,4.84020239340135,934.6300912767604,315.6097225557837,2.961347590017812,4.935579316696353,19.78125,21.625,3.05407282792699,0.5,5,4,3,0,0,0,0,8,100.0,1.5992525770505166,-0.6303551744286686,2.229607751479185,465.79016108955636,-147.84858177324026,613.6387428627967,7,0.48916232466816756,4.007429676732959,0.03798100949525238
15m,ENAUSDT,13,1,6,7,46.15384615384615,0.9953278389682095,-0.159882352941176,12.939261906586724,1.088520252753114,446.95927553749146,-26.937561942517,5810.470581987389,466.95927553749146,3.2127359777529283,0.9053077085615495,3.5487778877500884,21.983926774991843,3.0418096180715044,1174.600595126651,176.7332841103596,6.6461764745636795,5.696722692483155,20.884615384615383,18.0,2.2348484848484897,14.0,8,7,5,2,1,0,0,13,100.0,0.9953278389682095,-0.23626436860309732,1.2315922075713068,446.95927553749146,-54.02139717441715,500.98067271190854,10,-0.10542429428502276,3.0213322033601524,0.10344827586206896
15m,ETHUSDT,17,1,4,13,23.52941176470588,-0.3083961818657371,-1.0923884170959195,-5.24273509171753,-0.06915065337981877,-45.423919476698934,-93.028251956324,-772.2066311038819,-25.42391947669894,2.2109291068627703,1.0835731937822008,2.0404058715641953,32.890345639463284,0.6278171912505217,227.577537713528,129.42436784292263,1.7583824553791143,0.541040755501266,14.470588235294118,9.75,1.2302307080349901,8.0,9,5,7,6,3,2,0,17,100.0,-0.3083961818657371,-0.058869063897462215,-0.24952711796827493,-45.423919476698934,-11.86974539448047,-33.55417408221848,12,-1.3653151724846058,0.5385514571898036,0.7301349325337332
15m,FILUSDT,19,1,7,12,36.84210526315789,0.20814161203919446,-1.0712798264642085,3.954690628744695,0.34952942642696466,40.521969726489196,-124.360257326661,769.9174248032947,60.521969726489225,2.444907709436422,1.0966386114425217,2.2294561616979576,30.964965923990988,1.3005160943238085,418.60839162606425,180.02844304826294,2.325234749232606,1.3563869370523538,13.342105263157896,6.75,1.33725595078897,4.0,8,6,11,1,1,0,0,19,100.0,0.20814161203919446,-0.48751474308815507,0.6956563551273496,40.521969726489196,-84.39601732520826,124.91798705169745,14,-0.4031353614682715,1.8001789527333252,0.1679160419790105
15m,HYPEUSDT,10,1,3,7,30.0,-0.1280111791847469,-1.0970276519112339,-1.280111791847469,-0.0006333035876070259,45.49918901001739,-144.86737649517198,454.9918901001739,65.49918901001742,2.219763905171213,1.134200501051587,1.9571177257576007,33.816712513324255,0.8387647396104003,579.7096453741486,183.44814943175317,3.1600735530440094,1.3543172370188612,11.95,8.25,1.3968489205758752,3.0,4,4,6,1,1,0,0,10,100.0,-0.1280111791847469,-0.688655740012768,0.5606445608280209,45.49918901001739,-105.37032532402641,150.8695143340438,8,-0.4596346577661485,2.113892687374562,0.2143928035982009
15m,JUPUSDT,13,1,3,10,23.076923076923077,-0.24683986656769014,-1.0979090909090932,-3.208918265379972,-0.12566450336234303,-26.125421214010924,-158.721351025331,-339.630475782142,-6.1254212140109265,2.685457179710786,1.126528980451233,2.383833195871376,29.552284114361864,0.7151499587614129,531.1432599731004,193.3060255701443,2.7476808258124694,0.8243042477437408,7.923076923076923,4.5,1.6540317022743,7.0,5,3,8,2,0,0,0,13,100.0,-0.24683986656769014,-0.3851371092221511,0.13829724265446114,-26.125421214010924,-50.73544362460438,24.610022410593466,10,-0.9881168014031582,1.5953241150270734,0.40379810094952523
15m,MUBARAKUSDT,15,1,3,12,20.0,-0.4634165820109943,-1.0645862068965524,-6.951248730164914,-0.380545438440173,-123.37005577153772,-238.74999999999798,-1850.550836573066,-103.37005577153768,2.020396229659397,1.0843697849285918,1.8631985672603786,34.9259744481096,0.4657996418150946,521.527224347446,284.59437580128366,1.832528218026344,0.45813205450658595,11.95,6.25,2.2918861959957697,13.0,6,3,9,3,0,0,0,15,100.0,-0.4634165820109943,-0.2078386707723614,-0.25557791123863277,-123.37005577153772,-142.55818950080487,19.18813372926714,8,-1.5789612355040195,0.7148882980511387,0.6351824087956022
