symbol,timeframe_min,candidates,carry_joint,carry_v9_both,chart_bars_total,chart_gaps,feature_ready_window_bars,first,high20_window_bars,higher_bars,joint_candidates,last,minutes,parent_parity,partial_chart_buckets,partial_higher_buckets,recent_rows,unknown_candidates,v9_candidates,valid_ready_window_bars,window_bars_actual,window_bars_expected,window_gap_count
0GUSDT,15,22,,,29968,0,5968,2025-11-15 00:00:00+00:00,1159,7492,6,2026-09-23 03:45:00+00:00,15,True,0,0,17904,0,16,5968,5968,5968,0
0GUSDT,60,7,,,7492,0,1492,2025-11-15 00:00:00+00:00,270,1873,3,2026-09-23 03:00:00+00:00,60,True,0,0,17904,0,4,1492,1492,1492,0
1000000BOBUSDT,15,14,,,29968,0,5968,2025-11-15 00:00:00+00:00,1225,7492,3,2026-09-23 03:45:00+00:00,15,True,0,0,17904,0,11,5968,5968,5968,0
1000000BOBUSDT,60,3,,,7492,0,1492,2025-11-15 00:00:00+00:00,355,1873,0,2026-09-23 03:00:00+00:00,60,True,0,0,17904,0,3,1492,1492,1492,0
1000000MOGUSDT,15,19,,,29968,0,5968,2025-11-15 00:00:00+00:00,1303,7492,5,2026-09-23 03:45:00+00:00,15,True,0,0,17904,0,14,5968,5968,5968,0
1000000MOGUSDT,60,5,,,7492,0,1492,2025-11-15 00:00:00+00:00,318,1873,1,2026-09-23 03:00:00+00:00,60,True,0,0,17904,0,4,1492,1492,1492,0
1000BONKUSDT,15,18,,binance_um:1000BONKUSDT:15m:v9_both:2026-07-22T19:15:00+00:00,29968,0,5968,2025-11-15 00:00:00+00:00,1247,7492,2,2026-09-23 03:45:00+00:00,15,True,0,0,17904,0,16,5968,5968,5968,0
1000BONKUSDT,60,8,,,7492,0,1492,2025-11-15 00:00:00+00:00,260,1873,3,2026-09-23 03:00:00+00:00,60,True,0,0,17904,0,5,1492,1492,1492,0
1000CATUSDT,15,18,,,29968,0,5968,2025-11-15 00:00:00+00:00,1279,7492,4,2026-09-23 03:45:00+00:00,15,True,0,0,17904,0,14,5968,5968,5968,0
1000CATUSDT,60,5,,,7492,0,1492,2025-11-15 00:00:00+00:00,330,1873,2,2026-09-23 03:00:00+00:00,60,True,0,0,17904,0,3,1492,1492,1492,0
1000CHEEMSUSDT,15,15,,,29968,0,5968,2025-11-15 00:00:00+00:00,1275,7492,3,2026-09-23 03:45:00+00:00,15,True,0,0,17904,0,12,5968,5968,5968,0
1000CHEEMSUSDT,60,3,,,7492,0,1492,2025-11-15 00:00:00+00:00,286,1873,1,2026-09-23 03:00:00+00:00,60,True,0,0,17904,0,2,1492,1492,1492,0
1000FLOKIUSDT,15,31,,binance_um:1000FLOKIUSDT:15m:v9_both:2026-07-20T16:15:00+00:00,29968,0,5968,2025-11-15 00:00:00+00:00,1322,7492,8,2026-09-23 03:45:00+00:00,15,True,0,0,17904,0,23,5968,5968,5968,0
1000FLOKIUSDT,60,8,,,7492,0,1492,2025-11-15 00:00:00+00:00,345,1873,2,2026-09-23 03:00:00+00:00,60,True,0,0,17904,0,6,1492,1492,1492,0
1000LUNCUSDT,15,22,,,29968,0,5968,2025-11-15 00:00:00+00:00,1221,7492,4,2026-09-23 03:45:00+00:00,15,True,0,0,17904,0,18,5968,5968,5968,0
1000LUNCUSDT,60,1,,,7492,0,1492,2025-11-15 00:00:00+00:00,349,1873,0,2026-09-23 03:00:00+00:00,60,True,0,0,17904,0,1,1492,1492,1492,0
1000PEPEUSDT,15,17,,,29968,0,5968,2025-11-15 00:00:00+00:00,1276,7492,6,2026-09-23 03:45:00+00:00,15,True,0,0,17904,0,11,5968,5968,5968,0
