timeframe_min,arm,policy,side,closed,wins,losses,flat,win_rate,win_ci_low,win_ci_high,gross_win_rate,mean_net_r,sum_net_r,median_net_r,mean_net_bp,mean_gross_bp,pf_r,average_win_r,average_loss_r,best_net_r,worst_net_r,event_ordered_drawdown_r_nonaccount,mean_holding_hours,median_holding_hours,median_risk_bp,stop_exits,stop_net_losses,fee_only_losses,net_gt5r,net_gt10r,net_float_to_stop_loss,net_float_to_any_loss,mfe_ge2r_no_close_arm_stop_losses,reached_0r,float_to_stop_loss_0r,float_to_any_loss_0r,ambiguous_stop_profit_0r,reached_0.5r,float_to_stop_loss_0.5r,float_to_any_loss_0.5r,ambiguous_stop_profit_0.5r,reached_1r,float_to_stop_loss_1r,float_to_any_loss_1r,ambiguous_stop_profit_1r,reached_2r,float_to_stop_loss_2r,float_to_any_loss_2r,ambiguous_stop_profit_2r,reached_3r,float_to_stop_loss_3r,float_to_any_loss_3r,ambiguous_stop_profit_3r,reached_5r,float_to_stop_loss_5r,float_to_any_loss_5r,ambiguous_stop_profit_5r,reached_10r,float_to_stop_loss_10r,float_to_any_loss_10r,ambiguous_stop_profit_10r,net_ge3r,net_ge3r_rate,net_ge5r,net_ge5r_rate,net_ge10r,net_ge10r_rate,all_matched,all_weeks,all_mean_excess_bp,all_p_one_sided,all_ci_low_bp,all_ci_high_bp,all_target_mean_net_bp,all_random_mean_net_bp,all_target_mean_net_r,all_random_mean_net_r,all_target_win_rate,all_random_win_rate,all_minimum_p_resolution
15,joint,baseline,1,2,0,2,0,0.0,0.0,0.6576197760453506,0.0,-0.5652945105382968,-1.1305890210765936,-0.5652945105382968,-844.9910248539825,-824.9910248539825,0.0,,-0.5652945105382968,-0.4908471910112346,-0.6397418300653591,1.1305890210765936,32.75,32.75,1436.8501993425352,0,0,0,0,0,0,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,2,1,-402.2777560196655,,,,-844.9910248539825,-442.71326883431703,-0.5652945105382968,-0.6537460813549502,0.0,0.0,
15,joint,high20,1,2,0,2,0,0.0,0.0,0.6576197760453506,0.0,-0.5652945105382968,-1.1305890210765936,-0.5652945105382968,-844.9910248539825,-824.9910248539825,0.0,,-0.5652945105382968,-0.4908471910112346,-0.6397418300653591,1.1305890210765936,32.75,32.75,1436.8501993425352,0,0,0,0,0,0,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,2,1,-402.2777560196655,,,,-844.9910248539825,-442.71326883431703,-0.5652945105382968,-0.6537460813549502,0.0,0.0,
15,v9_both,baseline,-1,5,2,3,0,0.4,0.11762077314099711,0.7692757205908813,0.4,0.39897457985909174,1.9948728992954587,-0.0728101265822779,366.9980249245254,386.9980249245254,1.9106194879854677,2.0927748020635377,-0.7302255682772056,2.174535980148879,-1.0801000000000005,2.117866578249339,33.15,36.25,529.568759657256,4,2,0,0,0,2,3,0,5,2,3,0,3,0,1,0,2,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,5,1,756.465970661048,,,,366.9980249245254,-389.46794573652255,0.39897457985909174,-0.913690323249621,0.4,0.0,
15,v9_both,baseline,1,1,0,1,0,0.0,0.0,0.7934506882081973,0.0,-0.4908471910112346,-0.4908471910112346,-0.4908471910112346,-489.362607818975,-469.362607818975,0.0,,-0.4908471910112346,-0.4908471910112346,-0.4908471910112346,0.4908471910112346,23.0,23.0,996.975467682312,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,1,1,204.901399778364,,,,-489.362607818975,-694.264007597339,-0.4908471910112346,-1.0296619718309854,0.0,0.0,
15,v9_both,high20,-1,3,1,2,0,0.3333333333333333,0.06149194402093078,0.7923404011921757,0.3333333333333333,0.28603449913197265,0.858103497395918,-0.0728101265822779,547.9485013922554,567.9485013922554,1.7442934862058208,2.0110136239781964,-0.5764550632911392,2.0110136239781964,-1.0801000000000005,1.1529101265822783,37.083333333333336,36.25,901.8264840182629,2,1,0,0,0,1,2,0,3,1,2,0,2,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,3,1,804.1617087934243,,,,547.9485013922554,-256.21320740116903,0.28603449913197265,-0.8295246646026836,0.3333333333333333,0.0,
15,v9_both,high20,1,1,0,1,0,0.0,0.0,0.7934506882081973,0.0,-0.4908471910112346,-0.4908471910112346,-0.4908471910112346,-489.362607818975,-469.362607818975,0.0,,-0.4908471910112346,-0.4908471910112346,-0.4908471910112346,0.4908471910112346,23.0,23.0,996.975467682312,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,1,1,204.901399778364,,,,-489.362607818975,-694.264007597339,-0.4908471910112346,-1.0296619718309854,0.0,0.0,
60,joint,baseline,1,1,1,0,0,1.0,0.2065493117918027,1.0,1.0,17.45046124763703,17.45046124763703,17.45046124763703,2406.928793053999,2426.928793053999,,17.45046124763703,,17.45046124763703,17.45046124763703,0.0,107.0,107.0,137.929236304852,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1.0,1,1.0,1,1.0,1,1,-36.98258584514197,,,,2406.928793053999,2443.911378899141,17.45046124763703,27.846607866507817,1.0,1.0,
60,joint,high20,1,1,1,0,0,1.0,0.2065493117918027,1.0,1.0,17.45046124763703,17.45046124763703,17.45046124763703,2406.928793053999,2426.928793053999,,17.45046124763703,,17.45046124763703,17.45046124763703,0.0,107.0,107.0,137.929236304852,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1.0,1,1.0,1,1.0,1,1,-36.98258584514197,,,,2406.928793053999,2443.911378899141,17.45046124763703,27.846607866507817,1.0,1.0,
60,v9_both,baseline,-1,8,3,5,0,0.375,0.13684428473912286,0.694257607346229,0.375,0.15986185536294675,1.278894842903574,-0.22199870351019735,208.50820062853984,228.50820062854,1.5124481343709424,1.2581839926626854,-0.49913142701689645,2.0834117647058794,-1.0631504424778786,1.8290760477368155,138.625,132.5,664.1967353951895,4,1,0,0,0,1,5,0,8,1,5,0,7,1,4,0,5,0,2,0,3,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,8,2,-123.40395333913749,1.0,-187.867568038656,-114.19486552492057,208.50820062853984,331.9121539676774,0.15986185536294675,0.21223993141860972,0.375,0.5,0.25
60,v9_both,baseline,1,1,1,0,0,1.0,0.2065493117918027,1.0,1.0,18.017780202649984,18.017780202649984,18.017780202649984,2411.92062100914,2431.92062100914,,18.017780202649984,,18.017780202649984,18.017780202649984,0.0,108.0,108.0,133.863361295438,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1.0,1,1.0,1,1.0,1,1,-256.56573768998686,,,,2411.92062100914,2668.486358699127,18.017780202649984,44.98866786355531,1.0,1.0,
