timeframe_min,arm,month,closed,wins,losses,flat,win_rate,win_ci_low,win_ci_high,gross_win_rate,mean_net_r,sum_net_r,median_net_r,mean_net_bp,mean_gross_bp,pf_r,average_win_r,average_loss_r,best_net_r,worst_net_r,event_ordered_drawdown_r_nonaccount,mean_holding_hours,median_holding_hours,median_risk_bp,stop_exits,stop_net_losses,fee_only_losses,net_gt5r,net_gt10r,net_float_to_stop_loss,net_float_to_any_loss,mfe_ge2r_no_close_arm_stop_losses,reached_0r,float_to_stop_loss_0r,float_to_any_loss_0r,ambiguous_stop_profit_0r,reached_0.5r,float_to_stop_loss_0.5r,float_to_any_loss_0.5r,ambiguous_stop_profit_0.5r,reached_1r,float_to_stop_loss_1r,float_to_any_loss_1r,ambiguous_stop_profit_1r,reached_2r,float_to_stop_loss_2r,float_to_any_loss_2r,ambiguous_stop_profit_2r,reached_3r,float_to_stop_loss_3r,float_to_any_loss_3r,ambiguous_stop_profit_3r,reached_5r,float_to_stop_loss_5r,float_to_any_loss_5r,ambiguous_stop_profit_5r,reached_10r,float_to_stop_loss_10r,float_to_any_loss_10r,ambiguous_stop_profit_10r
15,joint,2026-07,305,69,236,0,0.2262295081967213,0.1828489092311596,0.2764205793766284,0.24262295081967214,-0.39792074259722415,-121.36582649215336,-1.0836315789473687,-65.92880889085339,-45.9288088908534,0.5086191711548838,1.8206306272170183,-1.0465649990259644,7.703235294117652,-1.682975609756126,139.19691975924502,11.3,7.75,168.421052631577,279,213,6,7,0,162,184,7,293,201,224,2,187,98,118,0,139,54,70,0,90,20,23,0,52,6,6,0,24,1,1,0,7,1,1,0
15,joint,2026-08,1551,410,1141,0,0.26434558349451964,0.24300070438335314,0.2868548986914758,0.2746615087040619,0.1306611070937376,202.65537710238704,-1.0749732620320864,8.552863358194008,28.552863358194013,1.1703368746152325,3.3960688724554875,-1.04271065784782,78.61485477178441,-2.0886936416184967,275.3201337308135,13.001289490651192,7.25,172.506738544474,1377,984,17,59,30,785,939,41,1497,931,1087,9,1000,465,590,3,740,257,330,5,490,77,91,2,328,25,25,2,167,7,7,0,55,0,0,0
15,joint,2026-09,880,270,610,0,0.3068181818181818,0.2772426186974092,0.33807300540745233,0.31363636363636366,-0.01717412423082424,-15.113229323125331,-1.0742588235294104,-7.693700566493456,12.306299433506547,0.9762058970138507,2.2964954954728856,-1.0412573985259088,19.689782608695932,-1.407820359281455,287.10450412706297,12.382102272727273,7.25,178.151001493809,805,542,7,23,8,443,510,16,859,521,589,6,558,228,288,1,447,136,178,1,297,29,34,0,200,3,3,0,92,0,0,0,26,0,0,0
15,v9_both,2026-07,718,226,492,0,0.3147632311977716,0.28185497989043484,0.3496430495906585,0.32729805013927576,-0.09451049960854074,-67.85853871893225,-1.0616751435602971,-31.308761061643583,-11.308761061643581,0.8680552998461111,1.9753838850495646,-1.04531564378076,10.935833333333116,-1.4314285714285495,141.24332956399692,14.12325905292479,9.5,160.352514256091,636,425,12,14,1,321,386,13,691,399,465,5,473,188,247,0,365,95,139,2,254,29,39,1,156,6,6,1,61,2,2,1,8,1,1,1
15,v9_both,2026-08,3283,796,2487,0,0.24246116356990557,0.22810756197382437,0.2574167563863481,0.25403594273530306,-0.13641900538446786,-447.86359467720797,-1.0804489795918342,-31.891968862000557,-11.891968862000553,0.8265525950221716,2.681238093485266,-1.038250549695006,80.7416571428571,-2.8925263157896213,621.1284072896175,13.961696618946085,8.0,168.990283058723,2826,2100,44,78,32,1709,2090,84,3186,2004,2390,15,2139,1037,1343,7,1549,556,754,8,921,142,176,2,553,34,35,3,236,8,8,0,68,0,0,0
15,v9_both,2026-09,1841,548,1293,0,0.29766431287343836,0.2772170528411917,0.3189542081560731,0.30472569255839216,0.005628113120648138,10.361356255113222,-1.075226277372264,-5.630582246055368,14.369417753944633,1.0077043962339487,2.473036867611221,-1.0401104773363,19.689782608695932,-1.7192578512396628,427.3284932882468,14.332971211298208,8.25,179.054757443264,1650,1133,17,61,12,885,1042,29,1791,1083,1243,8,1144,465,596,1,889,257,343,3,586,51,64,0,397,9,9,0,191,0,0,0,44,0,0,0
60,joint,2026-07,91,13,78,0,0.14285714285714285,0.08542758101829259,0.22921813651169295,0.14285714285714285,-0.2433170695766903,-22.141853331478817,-1.0550193548387097,-72.3215608177122,-52.32156081771221,0.7230479973098639,4.446652947510805,-1.0249787390912726,28.19157894736854,-1.213780590717304,63.431126686835945,38.56043956043956,19.0,347.463516330784,83,70,0,4,1,60,67,4,89,68,76,0,54,35,41,1,36,19,23,1,19,5,6,0,12,0,0,0,6,0,0,0,3,0,0,0
60,joint,2026-08,347,166,181,0,0.4783861671469741,0.42635180611948853,0.5308938396835204,0.484149855907781,1.1198245783547696,388.579128689105,-0.4191428571428589,287.15459140700057,307.1545914070007,3.1550942188694595,3.4270264240297172,-0.9961726944741877,49.90969230769294,-1.3708453608247366,25.51634362212595,56.178674351585016,50.0,325.757575757575,320,161,2,29,7,142,161,10,345,159,179,0,274,92,108,0,229,51,63,3,178,16,18,1,148,2,2,1,92,0,0,0,30,0,0,0
60,joint,2026-09,218,70,148,0,0.3211009174311927,0.26268088049581023,0.385716671551769,0.3256880733944954,0.09251500940878135,20.168272051114336,-1.034817343260559,-25.843206420747418,-5.843206420747422,1.1381792267504458,2.373222995325304,-0.9861982271733578,25.983122302158147,-1.3422914572864248,44.65658536848215,53.49082568807339,37.5,360.49590815014653,203,136,1,6,3,127,139,7,216,134,146,1,155,74,85,2,120,42,50,0,81,12,13,0,48,0,0,0,25,0,0,0,6,0,0,0
60,v9_both,2026-07,282,96,186,0,0.3404255319148936,0.28759584166579466,0.39754430437098054,0.3475177304964539,0.09346493016804869,26.35711030738973,-1.034613399503723,20.933318045627747,40.93331804562774,1.144556314868064,2.173835409139865,-0.9802746718819212,28.19157894736854,-1.280903542616629,104.43419883633564,66.76950354609929,45.5,318.3389277062635,243,158,2,6,1,142,169,9,277,153,181,3,202,83,106,1,149,42,56,1,102,12,14,0,57,1,1,0,20,0,0,0,3,0,0,0
