timeframe_min,arm,policy,group,taken,closed,wins,losses,flat,win_rate,win_ci_low,win_ci_high,gross_win_rate,mean_net_r,sum_net_r,median_net_r,mean_net_bp,mean_gross_bp,pf_r,average_win_r,average_loss_r,best_net_r,worst_net_r,event_ordered_drawdown_r_nonaccount,mean_holding_hours,median_holding_hours,median_risk_bp,stop_exits,stop_net_losses,fee_only_losses,net_gt5r,net_gt10r,net_float_to_stop_loss,net_float_to_any_loss,mfe_ge2r_no_close_arm_stop_losses,reached_0r,float_to_stop_loss_0r,float_to_any_loss_0r,ambiguous_stop_profit_0r,reached_0.5r,float_to_stop_loss_0.5r,float_to_any_loss_0.5r,ambiguous_stop_profit_0.5r,reached_1r,float_to_stop_loss_1r,float_to_any_loss_1r,ambiguous_stop_profit_1r,reached_2r,float_to_stop_loss_2r,float_to_any_loss_2r,ambiguous_stop_profit_2r,reached_3r,float_to_stop_loss_3r,float_to_any_loss_3r,ambiguous_stop_profit_3r,reached_5r,float_to_stop_loss_5r,float_to_any_loss_5r,ambiguous_stop_profit_5r,reached_10r,float_to_stop_loss_10r,float_to_any_loss_10r,ambiguous_stop_profit_10r,net_ge3r,net_ge3r_rate,net_ge5r,net_ge5r_rate,net_ge10r,net_ge10r_rate,matched,weeks,mean_excess_bp,p_one_sided,ci_low_bp,ci_high_bp,minimum_p_resolution,random_coverage,random_mean_net_bp,paired_target_mean_net_bp,random_win_rate,random_mean_net_r,random_ge5r
15,v9_both,baseline,long,3085,3023,829,2194,0.0,0.2742308964604697,0.2586216686201066,0.29041318551972783,0.2838240158782666,0.043365187832089876,131.0929628164077,-1.0737000000000008,-3.604842832893612,16.395157167106394,1.0574268052240738,2.911793066645992,-1.040466494727949,80.7416571428571,-2.8925263157896213,483.6980316328581,12.848412173337744,7.5,176.49591046061002,2700.0,1900.0,33.0,97.0,39.0,1527.0,1815.0,61.0,2922.0,1801.0,2093.0,19.0,1937.0,871.0,1108.0,4.0,1458.0,482.0,630.0,5.0,953.0,121.0,146.0,1.0,634.0,28.0,28.0,2.0,310.0,10.0,10.0,0.0,97.0,1.0,1.0,0.0,198,0.06549784981806153,97,0.032087330466424084,39,0.012901091630830301,2983,10,-26.120881308889302,0.919921875,-54.78937231153766,4.081410757446566,0.0009765625,0.9867681111478663,23.32613159487835,-2.7947497140109476,0.2903117666778411,0.21013994641721112,141
15,v9_both,baseline,short,2828,2819,741,2078,0.0,0.2628591699184108,0.2469403354542799,0.27942342975346973,0.2738559772969138,-0.22577287689160505,-636.4537399574347,-1.0805333333333322,-44.92709693059897,-24.92709693059896,0.7051412425898461,2.054048625690817,-1.0387409872927478,17.308372093023273,-2.377349999999836,1095.6808907787163,15.439162823696346,9.25,165.99812238627598,2412.0,1758.0,40.0,56.0,6.0,1388.0,1703.0,65.0,2746.0,1685.0,2005.0,9.0,1819.0,819.0,1078.0,4.0,1345.0,426.0,606.0,8.0,808.0,101.0,133.0,2.0,472.0,21.0,22.0,2.0,178.0,0.0,0.0,1.0,23.0,0.0,0.0,1.0,161,0.05711245122383824,56,0.019865200425682867,6,0.002128414331323164,2816,10,-14.956129640898736,0.8046875,-40.272214197548394,16.78543868777395,0.0009765625,0.9989357928343384,-29.3522510801707,-44.30838072106943,0.2588778409090909,-0.28186132526366453,52
15,v9_both,baseline,BTCUSDT,8,8,4,4,0.0,0.5,0.21521606069626764,0.7847839393037324,0.5,0.5286262807931306,4.2290102463450445,0.06223700529413828,30.572920589014878,50.57292058901487,1.905845312232695,2.2243972686448905,-1.1671447070586292,3.9803809155882273,-1.465121842496298,1.9304924253905105,15.1875,18.75,70.923400173858,7.0,3.0,0.0,0.0,0.0,2.0,3.0,0.0,8.0,3.0,4.0,0.0,7.0,2.0,3.0,0.0,5.0,1.0,1.0,0.0,4.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.125,0,0.0,0,0.0,8,6,111.43978284367076,0.046875,48.88689453512524,169.9219365076591,0.015625,1.0,-80.86686225465589,30.572920589014874,0.0,-1.150090072763313,0
15,v9_both,baseline,ETHUSDT,12,12,3,9,0.0,0.25,0.08894166769488562,0.5323053370816633,0.25,-0.5973417274997342,-7.1681007299968105,-1.199803914732267,-30.098419022238243,-10.098419022238247,0.40366696896554183,1.6173990842544839,-1.3355886647511401,1.9064750483559143,-2.0886936416184967,7.624662784049557,11.541666666666666,7.75,82.360954593079,11.0,8.0,0.0,0.0,0.0,4.0,5.0,0.0,12.0,8.0,9.0,0.0,7.0,3.0,4.0,0.0,4.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,12,7,-2.4116292384623352,0.5390625,-60.24932721893111,54.83828985074817,0.0078125,1.0,-27.686789783775914,-30.098419022238247,0.25,-0.5517193126084243,0
15,v9_both,baseline,week:2026-07-20,281,281,73,208,0.0,0.2597864768683274,0.21199786910888857,0.31405427045602113,0.2775800711743772,-0.273283150954934,-76.79256541833645,-1.082315068493148,-53.996358601219626,-33.99635860121964,0.6425474157825409,1.8909631094948596,-1.032850348132025,10.935833333333116,-1.4145454545454592,106.46221535045437,14.193950177935942,9.0,142.66304347826,246.0,176.0,7.0,5.0,1.0,132.0,162.0,7.0,271.0,167.0,198.0,1.0,177.0,79.0,104.0,0.0,134.0,42.0,61.0,2.0,91.0,16.0,21.0,1.0,52.0,3.0,3.0,1.0,14.0,0.0,0.0,1.0,4.0,0.0,0.0,1.0,9,0.03202846975088968,5,0.017793594306049824,1,0.0035587188612099642,281,1,-63.50181301482587,,,,,1.0,9.505454413606241,-53.99635860121964,0.28825622775800713,-0.1272222409038236,9
15,v9_both,baseline,week:2026-07-27,615,615,184,431,0.0,0.2991869918699187,0.26433497572880843,0.3365321018478756,0.3089430894308943,-0.09047810718410773,-55.64403591822626,-1.0717902097902088,-19.874823542079007,0.1251764579210046,0.8777810966060566,2.171944084839104,-1.0563381613193072,49.35325405405423,-1.480000000000005,220.24495998861178,13.13048780487805,8.75,161.61616161615999,546.0,375.0,7.0,10.0,1.0,299.0,355.0,9.0,594.0,354.0,410.0,5.0,406.0,173.0,222.0,0.0,315.0,94.0,131.0,1.0,203.0,18.0,28.0,1.0,124.0,4.0,4.0,1.0,56.0,2.0,2.0,0.0,5.0,1.0,1.0,0.0,43,0.06991869918699187,10,0.016260162601626018,1,0.0016260162601626016,615,1,-1.2162763469839188,,,,,1.0,-18.658547195095085,-19.874823542079003,0.2682926829268293,-0.19754605815903506,11
15,v9_both,baseline,week:2026-08-03,793,793,221,572,0.0,0.2786885245901639,0.24860687309854018,0.31090399811945973,0.29129886506935687,-0.1998009884274055,-158.44218382293258,-1.1007301587301574,-15.761686816824673,4.2383131831753245,0.7478575569166406,2.1264318860459794,-1.098572780837577,21.11369863013721,-2.8925263157896213,294.1807538647532,14.220680958385877,7.75,125.189681335357,708.0,500.0,12.0,17.0,5.0,363.0,434.0,17.0,765.0,472.0,544.0,3.0,515.0,240.0,294.0,1.0,367.0,114.0,146.0,1.0,253.0,35.0,40.0,0.0,172.0,13.0,13.0,1.0,72.0,2.0,2.0,0.0,16.0,0.0,0.0,0.0,37,0.04665825977301387,17,0.021437578814627996,5,0.006305170239596469,793,1,-10.489109606287435,,,,,1.0,-5.2725772105372375,-15.761686816824678,0.2572509457755359,-0.16720121873166752,23
15,v9_both,baseline,week:2026-08-10,573,573,144,429,0.0,0.2513089005235602,0.21752862259194458,0.28840148071110505,0.2705061082024433,-0.012273259889579946,-7.032577916729309,-1.0637708333333342,-3.948577407552383,16.05142259244761,0.9838129752626973,2.9682301772852373,-1.0127219660741342,80.7416571428571,-2.377349999999836,76.91128798533357,14.241710296684118,9.25,161.81229773462698,477.0,343.0,12.0,9.0,6.0,283.0,366.0,13.0,557.0,328.0,413.0,4.0,387.0,175.0,243.0,1.0,292.0,101.0,149.0,0.0,170.0,27.0,34.0,1.0,100.0,7.0,7.0,1.0,35.0,3.0,3.0,0.0,10.0,0.0,0.0,0.0,18,0.031413612565445025,9,0.015706806282722512,6,0.010471204188481676,573,1,-62.19557758160759,,,,,1.0,58.24700017405524,-3.948577407552391,0.2914485165794066,0.22192522951848098,15
15,v9_both,baseline,week:2026-08-17,499,499,155,344,0.0,0.3106212424849699,0.27159599508682986,0.35254000909134475,0.3186372745490982,0.7705084103462538,384.48369676278065,-1.0662912621359193,80.63858456765232,100.63858456765234,2.061221502464493,4.817978462366434,-1.0532062933256294,60.80539130434942,-2.066070796460163,153.62830673452655,14.693386773547093,9.5,153.84615384615302,442.0,295.0,6.0,43.0,18.0,231.0,279.0,15.0,481.0,277.0,326.0,2.0,340.0,144.0,185.0,0.0,260.0,83.0,105.0,1.0,175.0,24.0,26.0,0.0,120.0,5.0,5.0,0.0,73.0,1.0,1.0,0.0,36.0,0.0,0.0,0.0,65,0.13026052104208416,43,0.08617234468937876,18,0.036072144288577156,499,1,17.60675775344164,,,,,1.0,63.03182681421068,80.63858456765232,0.3026052104208417,0.7596867623775121,39
15,v9_both,baseline,week:2026-08-24,1177,1175,227,948,0.0,0.19319148936170213,0.17163193004772817,0.2167506259202144,0.2025531914893617,-0.4937672517697606,-580.1765208294687,-1.0796354679802966,-104.04572520834724,-84.04572520834724,0.3914885389944695,1.6443133477893603,-1.0057338088371872,24.859655172413778,-1.9914074074074104,622.6324329979018,13.623617021276596,7.25,212.085199744036,989.0,799.0,12.0,8.0,2.0,692.0,840.0,35.0,1147.0,771.0,920.0,5.0,744.0,395.0,517.0,5.0,514.0,207.0,287.0,5.0,265.0,50.0,65.0,0.0,133.0,8.0,9.0,0.0,45.0,2.0,2.0,0.0,5.0,0.0,0.0,0.0,27,0.02297872340425532,8,0.006808510638297872,2,0.001702127659574468,1175,1,-55.1065546399467,,,,,1.0,-48.939170568400534,-104.04572520834724,0.2604255319148936,-0.33199681602155556,20
