arm,stage,period,signals,alerts_per_day,distinct_labels,label_drop,labels_per_100_asset_days,baseline_signals,same_time_kept,same_time_removed,new_times,positive_events,hits_1,recall_1,recall_6,baseline_hit_events,retained_hit_events,retention,newly_caught,large_positive_events,large_hits_1,large_recall_1,large_baseline_hits,large_retained_hits,matched,unmatched,duplicates,unknown
v3,early,full,10386,170.2622950819672,12042,0.0,73.137327347542,10386,10386,0,0,1660,1463,0.8813253012048192,0.9150602409638554,1463,1463,1.0,0,947,798,0.8426610348468849,798,798,1519,8687,0,180
v3,early,first31,4981,160.67741935483872,5814,0.0,69.8451789227096,4981,4981,0,0,630,584,0.926984126984127,0.9444444444444444,584,584,1.0,0,280,252,0.9,252,252,595,4386,0,0
v3,early,last30,5405,180.16666666666666,6228,0.0,76.5036160488077,5405,5405,0,0,1030,879,0.8533980582524272,0.8970873786407767,879,879,1.0,0,667,546,0.8185907046476761,546,546,924,4301,0,180
v3,early,case_night,224,448.0,273,0.0,201.4760147601476,224,224,0,0,144,129,0.8958333333333334,0.9305555555555556,129,129,1.0,0,91,81,0.8901098901098901,81,81,133,91,0,0
v3,early,week_2026-07-06,486,162.0,583,0.0,72.84844067267142,486,486,0,0,51,45,0.8823529411764706,0.9215686274509803,45,45,1.0,0,30,27,0.9,27,27,47,439,0,0
v3,early,week_2026-07-13,984,140.57142857142858,1150,0.0,61.33878566983732,984,984,0,0,111,106,0.954954954954955,0.972972972972973,106,106,1.0,0,44,43,0.9772727272727273,43,43,108,876,0,0
v3,early,week_2026-07-20,1229,175.57142857142858,1409,0.0,74.82740308019119,1229,1229,0,0,172,158,0.9186046511627907,0.9418604651162791,158,158,1.0,0,78,67,0.8589743589743589,67,67,162,1067,0,0
v3,early,week_2026-07-27,1031,147.28571428571428,1189,0.0,63.143919277748275,1031,1031,0,0,98,92,0.9387755102040817,0.9591836734693877,92,92,1.0,0,49,45,0.9183673469387755,45,45,94,937,0,0
v3,early,week_2026-08-03,1251,178.71428571428572,1483,0.0,78.75730217737653,1251,1251,0,0,198,183,0.9242424242424242,0.9292929292929293,183,183,1.0,0,79,70,0.8860759493670886,70,70,184,1067,0,0
v3,early,week_2026-08-10,985,140.71428571428572,1122,0.0,59.28665785997358,985,985,0,0,107,103,0.9626168224299065,0.9813084112149533,103,103,1.0,0,53,51,0.9622641509433962,51,51,105,880,0,0
