fold,variant,timeframe_min,seeds,pairs,matched_pairs,mean_net_r_difference,mean_net_return_difference,match_rate,seed_mean_net_r_difference_p05,seed_mean_net_r_difference_p95,seed_mean_net_return_difference_p05,seed_mean_net_return_difference_p95
development,A,15,99,194337,194040,0.06140086004909661,-0.00034070273296098446,0.9984717269485481,-0.004972965898104313,0.13488822745236204,-0.0016144715793510638,0.0007244248971933835
development,A,30,99,95832,95443,0.16872172428682924,0.0031015105751400454,0.9959408130895734,0.0644589948803127,0.27759110937219006,0.0009581225965353504,0.005107426882300439
development,A,60,99,48906,48703,0.040721947007497566,0.001150096098981747,0.9958491800597064,-0.12288414602266524,0.1812126302121162,-0.003480632948984169,0.005872234306058771
development,A,240,99,11583,11547,0.11264199587077088,0.018688895190542665,0.9968919968919969,-0.5062346290402678,0.5226860265366711,-0.0038780369848870184,0.041114141284243504
development,B,15,99,67221,67127,0.15545636516078237,0.001268089476060641,0.9986016274676068,0.030995782386002674,0.2759666073818412,-0.000702728593628563,0.0031962504152530592
development,B,30,99,33561,33352,0.22551062581824607,0.007492436093396389,0.9937725335955424,0.04915980937651674,0.41132130046309534,0.0038681481031375155,0.011691105215771273
development,B,60,99,17721,17596,0.06627145702326123,0.002488564812039053,0.9929462219965013,-0.20591768934700994,0.27575034219574024,-0.004214650683444273,0.009090813279516694
development,B,240,99,4554,4511,0.35655424373723654,0.023277719424741272,0.9905577514273166,-1.2601664958446772,1.169064429243853,-0.015274971828803744,0.0603466074628994
development,C,15,99,42570,42519,0.16658305592030603,0.0018801173176000096,0.9988019732205778,-0.011097994394642784,0.2953594431719741,-0.0007529282891218813,0.004015205740794807
development,C,30,99,21681,21575,0.21465348045441457,0.00833224461289414,0.9951109266177759,-0.07417748536513565,0.45031825948024884,0.003080944129728271,0.013621454329435258
development,C,60,99,11880,11826,-0.12979877213031324,-0.0015039073832853384,0.9954545454545455,-0.4241185528449871,0.15287792714389092,-0.011391332166329083,0.007643367568211088
development,C,240,99,3564,3521,-0.3663642793010548,0.00032937523342602327,0.9879349046015713,-2.138452724681191,0.7470337456221876,-0.04889445119493276,0.049867618615675
development,D,15,99,42570,42519,0.16658305592030603,0.0018801173176000096,0.9988019732205778,-0.011097994394642784,0.2953594431719741,-0.0007529282891218813,0.004015205740794807
development,D,30,99,21681,21575,0.21465348045441457,0.00833224461289414,0.9951109266177759,-0.07417748536513565,0.45031825948024884,0.003080944129728271,0.013621454329435258
development,D,60,99,11880,11826,-0.12979877213031324,-0.0015039073832853384,0.9954545454545455,-0.4241185528449871,0.15287792714389092,-0.011391332166329083,0.007643367568211088
development,D,240,99,3564,3521,-0.3663642793010548,0.00032937523342602327,0.9879349046015713,-2.138452724681191,0.7470337456221876,-0.04889445119493276,0.049867618615675
validation,A,15,99,248193,247982,0.047235517827760976,-0.00032725030747557155,0.9991498551530462,-0.03669038240355807,0.12245939456686922,-0.001410518934482896,0.0008362568786708167
validation,A,30,99,122958,122806,0.013307099159812602,-0.0006013184108530721,0.9987638055270905,-0.10951577655574744,0.13079556816747112,-0.0033097111392901626,0.001792926308893441
validation,A,60,99,60786,60585,0.1559118945105452,0.0025583082582110134,0.9966933175402231,-0.04236095549637855,0.3272907247075609,-0.0053158576111122235,0.007785404023725582
validation,A,240,99,14157,13978,-0.3521425065885683,-0.020223656390863588,0.9873560782651691,-0.6185859708318964,-0.06938860755432052,-0.03129987424237263,-0.00855784823392637
validation,B,15,99,86625,86526,-0.0538431097876018,-0.001180005292455177,0.9988571428571429,-0.22055505279640705,0.09047201741838183,-0.0032913949638566924,0.0007690914185112189
validation,B,30,99,41283,41256,0.18719491948904526,0.0006867369081592139,0.999345977763244,-0.019004115327747647,0.3687811956696942,-0.004605010696192135,0.004441825602901348
validation,B,60,99,20196,20196,0.48205073188539804,0.02140668125038383,1.0,0.136321351700453,0.7407741298220436,0.011176218121043547,0.029223394220889425
validation,B,240,99,4950,4893,-0.45708245586454505,-0.020890549808432624,0.9884848484848485,-0.9193474995460686,0.06278021179914309,-0.04078357898717049,0.0046385592348029345
validation,C,15,99,52470,52440,0.06656391755491521,5.435977678444741e-05,0.9994282447112636,-0.1601126096519666,0.23049167362315995,-0.0031206005603535017,0.0024471586241628473
validation,C,30,99,26037,26019,0.30446996424246137,0.0031694129153767253,0.9993086761147598,0.05452267437831576,0.5375341676048369,-0.001520625444704369,0.007359398144712156
validation,C,60,99,13959,13959,0.26367570548631214,0.02570441738301495,1.0,-0.09517188041072788,0.5726074131472032,0.01330563171606787,0.03650118236407968
validation,C,240,99,3168,3111,-0.1616293608858672,-0.018250119375246794,0.9820075757575758,-0.7007128131826745,0.5296078187246293,-0.046669892262585576,0.01366546648685002
validation,D,15,99,52470,52440,0.06656391755491521,5.435977678444741e-05,0.9994282447112636,-0.1601126096519666,0.23049167362315995,-0.0031206005603535017,0.0024471586241628473
validation,D,30,99,26037,26019,0.30446996424246137,0.0031694129153767253,0.9993086761147598,0.05452267437831576,0.5375341676048369,-0.001520625444704369,0.007359398144712156
validation,D,60,99,13959,13959,0.26367570548631214,0.02570441738301495,1.0,-0.09517188041072788,0.5726074131472032,0.01330563171606787,0.03650118236407968
validation,D,240,99,3168,3111,-0.1616293608858672,-0.018250119375246794,0.9820075757575758,-0.7007128131826745,0.5296078187246293,-0.046669892262585576,0.01366546648685002
