fold,variant,timeframe_min,side,seed,seed_pairs,seed_matched_pairs,seed_mean_net_r_difference,seed_mean_net_return_difference,seed_match_rate
development,A,15,-1,0,1005,1004,0.06159295519742725,-0.0010290060166123984,0.9990049751243781
development,A,15,-1,1,1005,1004,0.1918084248740043,0.0011334198423100965,0.9990049751243781
development,A,15,-1,2,1005,1002,0.07522494023114938,-0.0004285807932660231,0.9970149253731343
development,A,15,-1,3,1005,1005,0.10171705072623309,2.8293376992824045e-05,1.0
development,A,15,-1,4,1005,1004,0.10903759193555973,0.0005388147959356923,0.9990049751243781
development,A,15,-1,5,1005,1004,0.05866751756038371,-0.00016676838823250482,0.9990049751243781
development,A,15,-1,6,1005,1002,0.07656384798165602,-0.00043890363511362677,0.9970149253731343
development,A,15,-1,7,1005,1002,0.06972935493642025,-0.0007176670855987126,0.9970149253731343
development,A,15,-1,8,1005,1004,0.10749677427650639,-0.0008688138904240135,0.9990049751243781
development,A,15,-1,9,1005,1002,0.09526499393198858,-0.00010886254106088501,0.9970149253731343
development,A,15,-1,10,1005,1004,0.09691560894985589,-0.0012128330253388885,0.9990049751243781
development,A,15,-1,11,1005,1004,0.1858395155771358,0.0012992486711584554,0.9990049751243781
development,A,15,-1,12,1005,1002,0.07746688506028779,-0.00018945519706171343,0.9970149253731343
development,A,15,-1,13,1005,1002,0.11385647062389749,-0.0003321691730246339,0.9970149253731343
development,A,15,-1,14,1005,1004,0.13074790892873553,0.000481777865123292,0.9990049751243781
development,A,15,-1,15,1005,1003,0.11069626153136171,-0.00033691557811202106,0.9980099502487563
development,A,15,-1,16,1005,1004,0.07798523272626152,-0.00017460142834982,0.9990049751243781
development,A,15,-1,17,1005,1004,-0.004922848194971307,-0.0033513574581003603,0.9990049751243781
development,A,15,-1,18,1005,1004,0.1750788137851477,0.0006608846662872437,0.9990049751243781
development,A,15,-1,19,1005,1002,-0.03991438578234372,-0.001388443209502581,0.9970149253731343
development,A,15,-1,20,1005,1004,0.14802593037414621,0.0007826418637535991,0.9990049751243781
development,A,15,-1,21,1005,1004,-0.002842631150116607,-0.002096687439153599,0.9990049751243781
development,A,15,-1,22,1005,1003,0.07487148963585917,-0.0011135533353304828,0.9980099502487563
development,A,15,-1,23,1005,1003,0.0898055927577364,3.5507837359208916e-07,0.9980099502487563
development,A,15,-1,24,1005,1004,0.04912576738961418,-0.0007804542287254141,0.9990049751243781
development,A,15,-1,25,1005,1002,0.05298935269745544,-0.0012760775063238342,0.9970149253731343
development,A,15,-1,26,1005,1004,0.11494429591640236,-0.00022633974714318704,0.9990049751243781
development,A,15,-1,27,1005,1002,0.1405908775568495,-5.041988336354981e-05,0.9970149253731343
development,A,15,-1,28,1005,1002,0.06822280453770056,-0.0008822469513083444,0.9970149253731343
development,A,15,-1,29,1005,1003,0.05285832462867123,-0.0007919896815934438,0.9980099502487563
development,A,15,-1,30,1005,1003,0.10636055437408748,0.0001965164176054706,0.9980099502487563
development,A,15,-1,31,1005,1003,0.02864248592360148,-0.001621806942821673,0.9980099502487563
development,A,15,-1,32,1005,1001,-0.03628311732870857,-0.001154084151046801,0.9960199004975124
development,A,15,-1,33,1005,1004,0.020661821420591545,-0.0017786466657953364,0.9990049751243781
development,A,15,-1,34,1005,1005,0.05595005738116852,-0.0007913097321028607,1.0
development,A,15,-1,35,1005,1003,0.08364917372053259,-0.00035676052698960557,0.9980099502487563
development,A,15,-1,36,1005,1004,0.09966518197929544,-0.00037297428325887207,0.9990049751243781
development,A,15,-1,37,1005,1004,0.05486749849299863,-0.0004350275626952789,0.9990049751243781
development,A,15,-1,38,1005,1004,0.220593254970806,0.0016166072418450147,0.9990049751243781
development,A,15,-1,39,1005,1005,0.15675059369953515,0.000955122358887851,1.0
development,A,15,-1,40,1005,1005,0.031757264685845214,-0.0010524669407387937,1.0
development,A,15,-1,41,1005,1003,0.07893937440116192,-0.0009427805881057431,0.9980099502487563
development,A,15,-1,42,1005,1003,0.10436129201581221,0.0005914490657922047,0.9980099502487563
development,A,15,-1,43,1005,1003,0.18470198459503678,0.0005423340719866481,0.9980099502487563
development,A,15,-1,44,1005,1005,0.14915947322419476,-0.000466021477891312,1.0
development,A,15,-1,45,1005,1005,0.15142426852597357,0.0006826130889307518,1.0
development,A,15,-1,46,1005,1004,0.14774288238102284,0.00021527506911379768,0.9990049751243781
development,A,15,-1,47,1005,1005,0.17465168997536618,0.0009603635236590968,1.0
development,A,15,-1,48,1005,1000,0.12972794234925986,2.2300773201256185e-05,0.9950248756218906
development,A,15,-1,49,1005,1005,0.08810496734855547,-8.504201211635857e-05,1.0
development,A,15,-1,50,1005,1002,0.13479907293407473,5.5328068808833424e-05,0.9970149253731343
development,A,15,-1,51,1005,1001,0.10942746145201311,-0.0007002561740594319,0.9960199004975124
development,A,15,-1,52,1005,1001,0.1794299604054157,0.0006264307270422742,0.9960199004975124
development,A,15,-1,53,1005,1005,0.06098187793698785,-0.0009738455437547072,1.0
development,A,15,-1,54,1005,1002,0.08103159044577732,-0.0008283030100627307,0.9970149253731343
development,A,15,-1,55,1005,1003,0.06483581323453246,-0.0017382754846061903,0.9980099502487563
development,A,15,-1,56,1005,1003,-0.008804633370872174,-0.0010620558685636998,0.9980099502487563
development,A,15,-1,57,1005,1004,0.06022957040027124,-0.00035653208543862656,0.9990049751243781
development,A,15,-1,58,1005,1005,0.14906395543242462,-6.765003942516485e-05,1.0
development,A,15,-1,59,1005,1001,0.01959024044718489,-0.001739130843928804,0.9960199004975124
development,A,15,-1,60,1005,1004,0.09635222342484208,0.0005748553210109344,0.9990049751243781
development,A,15,-1,61,1005,1003,0.13106770543950158,0.0002795104549279188,0.9980099502487563
development,A,15,-1,62,1005,1002,0.07987553908011805,-0.00022213750334746995,0.9970149253731343
development,A,15,-1,63,1005,1004,-0.004791483657884137,-0.002949181584327256,0.9990049751243781
development,A,15,-1,64,1005,1004,0.031546272511699426,-0.0005322985431027682,0.9990049751243781
development,A,15,-1,65,1005,1004,0.07643376478926624,-0.0005066980929112534,0.9990049751243781
development,A,15,-1,66,1005,1005,0.18653277106495936,4.6542224756404476e-05,1.0
development,A,15,-1,67,1005,1004,0.08087844239859643,-0.0003990570296647944,0.9990049751243781
development,A,15,-1,68,1005,1004,0.11732827334571568,-0.00022579648277585746,0.9990049751243781
development,A,15,-1,69,1005,1002,0.057688967978063756,-0.001709302280531285,0.9970149253731343
development,A,15,-1,70,1005,1003,0.10815988782389196,0.0007005406511025892,0.9980099502487563
development,A,15,-1,71,1005,1003,-0.004007321674448319,-0.0017627721918606768,0.9980099502487563
development,A,15,-1,72,1005,1002,0.07066938878335108,-0.0004760606141717902,0.9970149253731343
development,A,15,-1,73,1005,1004,0.0293050679360484,-0.000993493484592344,0.9990049751243781
development,A,15,-1,74,1005,1004,-0.05905485628792078,-0.0021503552225899288,0.9990049751243781
development,A,15,-1,75,1005,1004,0.0529159389173285,-0.0009005657073587917,0.9990049751243781
development,A,15,-1,76,1005,1003,0.02868040436715642,-0.0017547211212697767,0.9980099502487563
development,A,15,-1,77,1005,1003,-0.0034342661130404967,-0.0016612592506324996,0.9980099502487563
development,A,15,-1,78,1005,1005,0.01692572798133399,-0.0011735575471174345,1.0
development,A,15,-1,79,1005,1003,0.10157058354765248,-0.0007424781797913916,0.9980099502487563
development,A,15,-1,80,1005,1003,-0.05628237841742137,-0.0026918222298558552,0.9980099502487563
development,A,15,-1,81,1005,1005,0.1518182018828169,1.0039680285586813e-07,1.0
development,A,15,-1,82,1005,1003,0.02918979570393844,-0.0016008582341179845,0.9980099502487563
development,A,15,-1,83,1005,1003,0.049966315511244065,-0.0005589823106038626,0.9980099502487563
development,A,15,-1,84,1005,1005,-0.009805541498823374,-0.002371334539886165,1.0
development,A,15,-1,85,1005,1004,0.026843865356021433,-0.0015958351665271845,0.9990049751243781
development,A,15,-1,86,1005,1003,0.03783480185847728,-0.000982112695994628,0.9980099502487563
development,A,15,-1,87,1005,1003,0.024264266202277306,-0.0020674143024424834,0.9980099502487563
development,A,15,-1,88,1005,1003,0.11433928425206401,0.0005824202193361619,0.9980099502487563
development,A,15,-1,89,1005,1005,0.08369266866542872,-0.0017863161381698907,1.0
development,A,15,-1,90,1005,1004,0.0875438946897846,-0.0005247942899902616,0.9990049751243781
development,A,15,-1,91,1005,1005,0.13212731940837003,0.0005782547538225562,1.0
development,A,15,-1,92,1005,1005,0.04454799738254253,-0.001285739235065364,1.0
development,A,15,-1,93,1005,1004,0.06303221585822066,-0.0002533409085573182,0.9990049751243781
development,A,15,-1,94,1005,1003,0.08032989528134414,-0.0006135819430696003,0.9980099502487563
development,A,15,-1,95,1005,1002,0.09827295149181933,-0.0003273600444346928,0.9970149253731343
development,A,15,-1,96,1005,1004,0.13024858739558395,0.0005269589708254441,0.9990049751243781
development,A,15,-1,97,1005,1002,0.06764160341187556,-0.0007470261315651797,0.9970149253731343
development,A,15,-1,98,1005,1002,0.10963588902362233,-4.396418822700795e-05,0.9970149253731343
development,A,15,1,0,958,958,0.008775247461253162,-0.0005668499641577129,1.0
development,A,15,1,1,958,957,-0.059018832957462464,-0.0019193413273806202,0.9989561586638831
development,A,15,1,2,958,957,-0.07000637969578535,-0.0026512576258513865,0.9989561586638831
development,A,15,1,3,958,954,0.016922647098108316,0.0003136875229070506,0.9958246346555324
development,A,15,1,4,958,958,0.060096741279902666,7.267525186916271e-05,1.0
development,A,15,1,5,958,958,0.21633806014048898,0.002307268450783135,1.0
development,A,15,1,6,958,958,0.19699247905262063,0.0019604175252732137,1.0
