方向,入场北京时间,入场纽约时间,ICT时段,入场价,初始止损,退出根北京时间,退出价,是否开盘退出,退出原因,毛R,净R,是否边界未平
多,2023-08-28 21:00:00+08:00,2023-08-28 09:00:00-04:00,new_york,1655.3,1634.7,2023-08-30 22:30:00+08:00,1700.43,False,trailing_stop,2.1907766990291413,2.0300679611650585,False
空,2023-09-26 22:30:00+08:00,2023-09-26 10:30:00-04:00,new_york,1584.59,1594.54,2023-09-27 07:30:00+08:00,1594.54,False,initial_stop,-1.0,-1.3185105527638008,False
空,2023-10-08 14:00:00+08:00,2023-10-08 02:00:00-04:00,london,1629.41,1640.91,2023-10-14 04:30:00+08:00,1556.77,False,trailing_stop,6.316521739130444,6.033146086956524,False
空,2023-11-01 14:30:00+08:00,2023-11-01 02:30:00-04:00,london,1800.21,1813.13,2023-11-01 20:30:00+08:00,1813.13,False,initial_stop,-1.0,-1.278670278637779,False
多,2023-11-09 22:30:00+08:00,2023-11-09 09:30:00-05:00,new_york,1938.16,1906.39,2023-11-11 09:00:00+08:00,2047.69,False,trailing_stop,3.4475920679886696,3.325580107019203,False
空,2023-11-14 20:00:00+08:00,2023-11-14 07:00:00-05:00,lunch,2032.76,2057.3,2023-11-15 20:00:00+08:00,2020.18,False,trailing_stop,0.5126324368378089,0.3469633251833682,False
多,2023-11-26 18:30:00+08:00,2023-11-26 05:30:00-05:00,lunch,2087.65,2075.92,2023-11-26 20:00:00+08:00,2075.92,False,initial_stop,-1.0,-1.3559505541347028,False
空,2023-11-27 19:00:00+08:00,2023-11-27 06:00:00-05:00,lunch,2025.0,2055.04,2023-11-29 00:30:00+08:00,2055.04,False,initial_stop,-1.0,-1.1348202396804228,False
空,2023-12-18 17:30:00+08:00,2023-12-18 04:30:00-05:00,london,2151.0,2187.4,2023-12-19 04:30:00+08:00,2187.4,False,initial_stop,-1.0,-1.118186813186816,False
多,2023-12-20 21:30:00+08:00,2023-12-20 08:30:00-05:00,new_york,2234.99,2200.5,2023-12-21 03:30:00+08:00,2200.5,False,initial_stop,-1.0,-1.1296022035372586,False
多,2023-12-21 19:30:00+08:00,2023-12-21 06:30:00-05:00,lunch,2245.0,2202.05,2023-12-21 23:00:00+08:00,2202.05,False,initial_stop,-1.0,-1.1045401629802076,False
多,2024-01-08 20:30:00+08:00,2024-01-08 07:30:00-05:00,lunch,2247.78,2204.92,2024-01-09 20:30:00+08:00,2283.68,False,trailing_stop,0.837610825944926,0.7327214185720822,False
空,2024-01-18 20:00:00+08:00,2024-01-18 07:00:00-05:00,lunch,2523.03,2548.75,2024-01-20 02:00:00+08:00,2488.33,False,trailing_stop,1.349144634525682,1.1529525660964437,False
空,2024-02-04 15:00:00+08:00,2024-02-04 02:00:00-05:00,london,2286.99,2305.5,2024-02-04 17:30:00+08:00,2305.5,False,initial_stop,-1.0,-1.2471085899513636,False
多,2024-02-05 18:30:00+08:00,2024-02-05 05:30:00-05:00,lunch,2326.13,2307.79,2024-02-05 23:00:00+08:00,2307.79,False,initial_stop,-1.0,-1.2536673936750191,False
多,2024-02-06 16:00:00+08:00,2024-02-06 03:00:00-05:00,london,2326.9,2307.32,2024-02-09 00:30:00+08:00,2413.11,False,trailing_stop,4.402962206333011,4.165280898876417,False
多,2024-03-04 17:00:00+08:00,2024-03-04 04:00:00-05:00,london,3537.19,3458.44,2024-03-04 22:00:00+08:00,3458.44,False,initial_stop,-1.0,-1.089833396825395,False
多,2024-03-30 20:00:00+08:00,2024-03-30 08:00:00-04:00,new_york,3561.51,3505.61,2024-03-31 03:00:00+08:00,3505.61,False,initial_stop,-1.0,-1.1274243291592123,False
空,2024-04-25 18:30:00+08:00,2024-04-25 06:30:00-04:00,lunch,3081.56,3158.29,2024-04-25 23:30:00+08:00,3158.29,False,initial_stop,-1.0,-1.080322168643297,False
空,2024-05-14 17:00:00+08:00,2024-05-14 05:00:00-04:00,lunch,2914.33,2944.65,2024-05-15 20:30:00+08:00,2944.65,False,initial_stop,-1.0,-1.192238126649078,False
多,2024-05-15 22:30:00+08:00,2024-05-15 10:30:00-04:00,new_york,2963.38,2889.63,2024-05-19 19:00:00+08:00,3093.38,False,trailing_stop,1.7627118644067796,1.6823490169491528,False
多,2024-05-26 16:00:00+08:00,2024-05-26 04:00:00-04:00,london,3785.24,3743.42,2024-05-28 03:30:00+08:00,3860.03,False,trailing_stop,1.788378766140625,1.6073534194165775,False
空,2024-06-02 18:00:00+08:00,2024-06-02 06:00:00-04:00,lunch,3781.17,3807.09,2024-06-02 19:30:00+08:00,3807.09,False,initial_stop,-1.0,-1.2917569444444494,False
空,2024-06-04 18:00:00+08:00,2024-06-04 06:00:00-04:00,lunch,3750.4,3787.59,2024-06-04 21:30:00+08:00,3787.59,False,initial_stop,-1.0,-1.201688625974731,False
多,2024-06-05 21:30:00+08:00,2024-06-05 09:30:00-04:00,new_york,3815.1,3788.11,2024-06-05 22:00:00+08:00,3788.11,False,initial_stop,-1.0,-1.282704705446458,False
多,2024-07-13 18:00:00+08:00,2024-07-13 06:00:00-04:00,lunch,3165.99,3125.9500000000003,2024-07-16 15:30:00+08:00,3381.05,False,trailing_stop,5.371128871128947,5.2129875124875875,False
空,2024-08-19 18:00:00+08:00,2024-08-19 06:00:00-04:00,lunch,2580.0,2625.77,2024-08-20 01:30:00+08:00,2625.77,False,initial_stop,-1.0,-1.1127376010487182,False
空,2024-09-25 18:00:00+08:00,2024-09-25 06:00:00-04:00,lunch,2621.91,2645.2000000000003,2024-09-26 15:30:00+08:00,2624.03,False,trailing_stop,-0.0910261914985104,-0.316179476170049,False
多,2024-09-27 22:30:00+08:00,2024-09-27 10:30:00-04:00,new_york,2691.78,2639.13,2024-09-29 15:30:00+08:00,2639.13,False,initial_stop,-1.0,-1.1022518518518511,False
空,2024-09-30 18:30:00+08:00,2024-09-30 06:30:00-04:00,lunch,2606.47,2646.32,2024-10-01 12:30:00+08:00,2646.32,False,initial_stop,-1.0,-1.130814052697617,False
空,2024-12-02 17:30:00+08:00,2024-12-02 04:30:00-05:00,london,3616.0,3692.35,2024-12-04 08:30:00+08:00,3692.35,False,initial_stop,-1.0,-1.0947216764898469,False
多,2024-12-04 16:00:00+08:00,2024-12-04 03:00:00-05:00,london,3715.55,3659.81,2024-12-06 04:00:00+08:00,3817.25,False,trailing_stop,1.824542518837449,1.6912253318980943,False
空,2024-12-30 22:00:00+08:00,2024-12-30 09:00:00-05:00,new_york,3337.5,3435.16,2024-12-31 18:00:00+08:00,3389.75,True,opposite_v6_next_open,-0.535019455252919,-0.6033688306369075,False
多,2024-12-31 18:00:00+08:00,2024-12-31 05:00:00-05:00,lunch,3389.75,3346.57,2025-01-01 01:30:00+08:00,3346.57,False,initial_stop,-1.0,-1.15700555812876,False
多,2025-01-02 17:30:00+08:00,2025-01-02 04:30:00-05:00,london,3445.63,3405.75,2025-01-07 19:30:00+08:00,3637.94,False,trailing_stop,4.822216649949835,4.64941675025073,False
空,2025-01-12 19:00:00+08:00,2025-01-12 06:00:00-05:00,lunch,3244.99,3270.48,2025-01-12 21:30:00+08:00,3270.48,False,initial_stop,-1.0,-1.254608866222033,False
空,2025-02-11 22:30:00+08:00,2025-02-11 09:30:00-05:00,new_york,2656.21,2714.46,2025-02-13 01:30:00+08:00,2683.56,True,opposite_v6_next_open,-0.4695278969957066,-0.5607282403433425,False
多,2025-02-17 17:30:00+08:00,2025-02-17 04:30:00-05:00,london,2716.63,2672.19,2025-02-18 00:00:00+08:00,2740.71,False,trailing_stop,0.5418541854185396,0.4195936093609372,False
空,2025-03-09 20:30:00+08:00,2025-03-09 08:30:00-04:00,new_york,2141.82,2172.88,2025-03-10 17:00:00+08:00,2103.15,False,trailing_stop,1.2450096587250528,1.1070946555054784,False
空,2025-03-18 22:00:00+08:00,2025-03-18 10:00:00-04:00,new_york,1880.0,1906.12,2025-03-19 03:30:00+08:00,1906.12,False,initial_stop,-1.0,-1.1439509954058198,False
空,2025-05-06 19:30:00+08:00,2025-05-06 07:30:00-04:00,lunch,1781.93,1802.8,2025-05-07 06:30:00+08:00,1802.8,False,initial_stop,-1.0,-1.1707647340680374,False
多,2025-05-27 15:30:00+08:00,2025-05-27 03:30:00-04:00,london,2589.68,2545.17,2025-05-29 20:30:00+08:00,2674.59,False,trailing_stop,1.9076611997304147,1.7912972365760662,False
多,2025-07-15 22:00:00+08:00,2025-07-15 10:00:00-04:00,new_york,3051.95,2957.84,2025-07-19 04:00:00+08:00,3524.99,False,trailing_stop,5.026458399745001,4.9615991924344085,False
多,2025-08-22 16:30:00+08:00,2025-08-22 04:30:00-04:00,london,4348.0,4273.16,2025-08-22 19:30:00+08:00,4273.16,False,initial_stop,-1.0,-1.116194548369856,False
空,2025-08-22 21:00:00+08:00,2025-08-22 09:00:00-04:00,new_york,4243.25,4319.81,2025-08-22 22:00:00+08:00,4319.81,False,initial_stop,-1.0,-1.1108477011494275,False
空,2025-08-29 15:30:00+08:00,2025-08-29 03:30:00-04:00,london,4383.2,4492.45,2025-08-31 11:00:00+08:00,4448.28,True,opposite_v6_next_open,-0.5956979405034318,-0.6759395881006841,False
多,2025-09-01 16:30:00+08:00,2025-09-01 04:30:00-04:00,london,4465.54,4366.74,2025-09-01 23:00:00+08:00,4366.74,False,initial_stop,-1.0,-1.0903955465587027,False
空,2025-09-02 21:30:00+08:00,2025-09-02 09:30:00-04:00,new_york,4304.85,4397.41,2025-09-03 21:30:00+08:00,4397.41,False,initial_stop,-1.0,-1.093017502160756,False
多,2025-09-05 16:00:00+08:00,2025-09-05 04:00:00-04:00,london,4414.88,4314.77,2025-09-05 22:00:00+08:00,4314.77,False,initial_stop,-1.0,-1.0882005793627003,False
多,2025-09-08 19:00:00+08:00,2025-09-08 07:00:00-04:00,lunch,4327.01,4289.03,2025-09-09 03:30:00+08:00,4289.03,False,initial_stop,-1.0,-1.227857293312272,False
多,2025-09-09 16:00:00+08:00,2025-09-09 04:00:00-04:00,london,4360.27,4300.42,2025-09-09 22:30:00+08:00,4300.42,False,initial_stop,-1.0,-1.1457065998329123,False
多,2025-10-06 15:30:00+08:00,2025-10-06 03:30:00-04:00,london,4566.65,4502.86,2025-10-07 22:00:00+08:00,4655.89,False,trailing_stop,1.3989653550713397,1.2557877410252554,False
多,2025-10-19 22:00:00+08:00,2025-10-19 10:00:00-04:00,new_york,3970.51,3900.32,2025-10-21 12:00:00+08:00,3900.32,False,initial_stop,-1.0,-1.1131360592677046,False
空,2025-11-29 18:00:00+08:00,2025-11-29 05:00:00-05:00,lunch,3000.3,3027.39,2025-11-30 20:30:00+08:00,3027.39,False,initial_stop,-1.0,-1.2215060908084194,False
多,2025-11-30 22:30:00+08:00,2025-11-30 09:30:00-05:00,new_york,3037.77,2995.41,2025-12-01 07:30:00+08:00,2995.41,False,initial_stop,-1.0,-1.1434263456090676,False
空,2026-02-19 21:30:00+08:00,2026-02-19 08:30:00-05:00,new_york,1931.81,1965.93,2026-02-20 15:30:00+08:00,1965.93,False,initial_stop,-1.0,-1.1132362250879253,False
多,2026-02-21 17:30:00+08:00,2026-02-21 04:30:00-05:00,london,1974.61,1957.68,2026-02-22 21:30:00+08:00,1957.68,False,initial_stop,-1.0,-1.233267572356762,False
空,2026-03-31 18:00:00+08:00,2026-03-31 06:00:00-04:00,lunch,2017.49,2061.16,2026-03-31 21:00:00+08:00,2061.16,False,initial_stop,-1.0,-1.0923970689260394,False
多,2026-03-31 22:30:00+08:00,2026-03-31 10:30:00-04:00,new_york,2085.51,2030.67,2026-04-02 19:00:00+08:00,2030.67,False,initial_stop,-1.0,-1.0760579868708957,False
多,2026-04-22 22:00:00+08:00,2026-04-22 10:00:00-04:00,new_york,2415.95,2384.98,2026-04-23 00:30:00+08:00,2384.98,False,initial_stop,-1.0,-1.1560187278011018,False
多,2026-04-26 22:30:00+08:00,2026-04-26 10:30:00-04:00,new_york,2349.13,2321.68,2026-04-27 13:30:00+08:00,2321.68,False,initial_stop,-1.0,-1.1711570127504547,False
空,2026-04-27 14:30:00+08:00,2026-04-27 02:30:00-04:00,london,2324.41,2398.01,2026-04-29 14:00:00+08:00,2327.99,True,opposite_v6_next_open,-0.0486413043478248,-0.1118046195652155,False
