stream_key,venue,symbol,asset,timeframe_min,arm,events,closed,censored,net_r,realized_ge10,candidates
binance_240m_0048c474ae7d6dbc,binance,API3USDT,API3,240,v8,10,10,0,-3.0043224996876745,0,10
binance_240m_0048c474ae7d6dbc,binance,API3USDT,API3,240,v9,8,8,0,-1.1721068975124012,0,8
binance_240m_021383e29d0b16d2,binance,XVGUSDT,XVG,240,v8,14,14,0,1.1371491031760383,0,15
binance_240m_021383e29d0b16d2,binance,XVGUSDT,XVG,240,v9,13,13,0,2.1505530426564845,0,14
binance_240m_026766676690a0de,binance,WAVESUSDT,WAVES,240,v8,0,0,0,0.0,0,0
binance_240m_026766676690a0de,binance,WAVESUSDT,WAVES,240,v9,0,0,0,0.0,0,0
binance_240m_02e0cb11d23a838a,binance,HIGHUSDT,HIGH,240,v8,11,11,0,2.9822686091551622,0,13
binance_240m_02e0cb11d23a838a,binance,HIGHUSDT,HIGH,240,v9,10,10,0,3.679872822623345,0,10
binance_240m_02e5b6ae13d9b8b0,binance,OGNUSDT,OGN,240,v8,14,14,0,6.384273618745274,0,15
binance_240m_02e5b6ae13d9b8b0,binance,OGNUSDT,OGN,240,v9,12,12,0,8.43058627113071,0,12
binance_240m_034360160d8cd752,binance,COSUSDT,COS,240,v8,7,7,0,-0.728700809039768,0,9
binance_240m_034360160d8cd752,binance,COSUSDT,COS,240,v9,7,7,0,2.253681616293628,0,8
binance_240m_03537aa8c682f9d4,binance,TNSRUSDT,TNSR,240,v8,10,10,0,-0.08652637304131755,0,15
binance_240m_03537aa8c682f9d4,binance,TNSRUSDT,TNSR,240,v9,8,8,0,1.9545178225837117,0,13
binance_240m_046c65084c49df77,binance,GWEIUSDT,GWEI,240,v8,2,1,1,-1.021415254237288,0,2
binance_240m_046c65084c49df77,binance,GWEIUSDT,GWEI,240,v9,2,1,1,-1.021415254237288,0,2
binance_240m_04a1e0fcf568a486,binance,CAKEUSDT,CAKE,240,v8,14,14,0,-3.59772443290041,0,15
binance_240m_04a1e0fcf568a486,binance,CAKEUSDT,CAKE,240,v9,13,13,0,-2.5519751533615036,0,13
binance_240m_04f2c1a5462e3b5a,binance,VANAUSDT,VANA,240,v8,12,12,0,-3.649712073527465,0,15
binance_240m_04f2c1a5462e3b5a,binance,VANAUSDT,VANA,240,v9,9,9,0,-4.913418717927806,0,11
binance_240m_04f5b000218350b3,binance,SKRUSDT,SKR,240,v8,0,0,0,0.0,0,0
binance_240m_04f5b000218350b3,binance,SKRUSDT,SKR,240,v9,0,0,0,0.0,0,0
binance_240m_05302eb4febd65c7,binance,ORCAUSDT,ORCA,240,v8,8,8,0,6.218777882230973,0,10
binance_240m_05302eb4febd65c7,binance,ORCAUSDT,ORCA,240,v9,8,8,0,6.218777882230973,0,10
binance_240m_05bbbfcbff24a4f8,binance,AIXBTUSDT,AIXBT,240,v8,7,7,0,2.041694246621274,0,7
binance_240m_05bbbfcbff24a4f8,binance,AIXBTUSDT,AIXBT,240,v9,6,6,0,3.078556991719314,0,6
binance_240m_0684300ce6d7a85d,binance,KOMAUSDT,KOMA,240,v8,14,14,0,-10.248898122002883,0,14
binance_240m_0684300ce6d7a85d,binance,KOMAUSDT,KOMA,240,v9,14,14,0,-10.248898122002883,0,14
binance_240m_06c7cb123ade49e1,binance,SFPUSDT,SFP,240,v8,13,13,0,-0.38429784543259915,0,15
binance_240m_06c7cb123ade49e1,binance,SFPUSDT,SFP,240,v9,11,11,0,1.6889418379447112,0,13
binance_240m_07025d8e5e1d6a17,binance,1INCHUSDT,1INCH,240,v8,13,13,0,0.4604726698078556,0,16
binance_240m_07025d8e5e1d6a17,binance,1INCHUSDT,1INCH,240,v9,13,13,0,0.4604726698078556,0,15
binance_240m_077816b7c99b0cde,binance,DUSKUSDT,DUSK,240,v8,11,11,0,-0.4251816383960645,0,12
binance_240m_077816b7c99b0cde,binance,DUSKUSDT,DUSK,240,v9,9,9,0,-1.431600635348602,0,10
binance_240m_07ac39f712f079d2,binance,IOUSDT,IO,240,v8,10,10,0,-1.1230227404972135,0,10
binance_240m_07ac39f712f079d2,binance,IOUSDT,IO,240,v9,10,10,0,-1.1230227404972135,0,10
binance_240m_07c48b0793893db5,binance,MTLUSDT,MTL,240,v8,8,8,0,8.910121966292031,0,9
binance_240m_07c48b0793893db5,binance,MTLUSDT,MTL,240,v9,7,7,0,6.990704009635687,0,8
binance_240m_0821915b0cbdc91a,binance,PUFFERUSDT,PUFFER,240,v8,0,0,0,0.0,0,0
binance_240m_0821915b0cbdc91a,binance,PUFFERUSDT,PUFFER,240,v9,0,0,0,0.0,0,0
binance_240m_08f0cde18c222d7f,binance,METUSDT,MET,240,v8,4,4,0,-1.9000184901182973,0,4
binance_240m_08f0cde18c222d7f,binance,METUSDT,MET,240,v9,4,4,0,-1.9000184901182973,0,4
binance_240m_096f8cf925558d31,binance,1MBABYDOGEUSDT,1MBABYDOGE,240,v8,12,12,0,-10.308609776105316,0,16
binance_240m_096f8cf925558d31,binance,1MBABYDOGEUSDT,1MBABYDOGE,240,v9,10,10,0,-8.250471591859654,0,13
binance_240m_09d66dce59781d86,binance,1000000MOGUSDT,1000000MOG,240,v8,9,9,0,0.6121075636257913,0,11
binance_240m_09d66dce59781d86,binance,1000000MOGUSDT,1000000MOG,240,v9,8,8,0,1.6431075636257906,0,10
binance_240m_0a6d981dd29345d6,binance,BREVUSDT,BREV,240,v8,3,2,1,0.5721125859443281,0,3
binance_240m_0a6d981dd29345d6,binance,BREVUSDT,BREV,240,v9,1,1,0,1.6034740882917453,0,1
binance_240m_0aabcb5f49839108,binance,NEIROETHUSDT,NEIROETH,240,v8,3,3,0,0.6819268420788798,0,4
binance_240m_0aabcb5f49839108,binance,NEIROETHUSDT,NEIROETH,240,v9,2,2,0,1.6995359329879705,0,3
binance_240m_0aae2a4284f6a510,binance,OXTUSDT,OXT,240,v8,12,12,0,0.4903270033819269,0,12
binance_240m_0aae2a4284f6a510,binance,OXTUSDT,OXT,240,v9,10,10,0,-1.8688877012682603,0,10
binance_240m_0bfc831571abf7a1,binance,DOLOUSDT,DOLO,240,v8,4,4,0,-3.947174534893184,0,5
binance_240m_0bfc831571abf7a1,binance,DOLOUSDT,DOLO,240,v9,4,4,0,-3.947174534893184,0,5
binance_240m_0c032c1a8d90c889,binance,PHBUSDT,PHB,240,v8,10,10,0,4.1088053440737955,0,11
binance_240m_0c032c1a8d90c889,binance,PHBUSDT,PHB,240,v9,10,10,0,4.1088053440737955,0,11
binance_240m_0c5f9c79a18ebe2b,binance,CHIPUSDT,CHIP,240,v8,0,0,0,0.0,0,0
binance_240m_0c5f9c79a18ebe2b,binance,CHIPUSDT,CHIP,240,v9,0,0,0,0.0,0,0
binance_240m_0c70b1fb26ebd23b,binance,BERAUSDT,BERA,240,v8,5,5,0,2.6553473213989935,0,6
binance_240m_0c70b1fb26ebd23b,binance,BERAUSDT,BERA,240,v9,4,4,0,3.6992246883962894,0,5
binance_240m_0c99a5fa01ce1fb2,binance,EDUUSDT,EDU,240,v8,18,18,0,1.0679293834096995,0,20
binance_240m_0c99a5fa01ce1fb2,binance,EDUUSDT,EDU,240,v9,17,17,0,2.094552567518803,0,19
binance_240m_0cd8171aa871bd77,binance,1000FLOKIUSDT,1000FLOKI,240,v8,18,18,0,-1.3984390439495447,0,22
binance_240m_0cd8171aa871bd77,binance,1000FLOKIUSDT,1000FLOKI,240,v9,15,15,0,1.7049647549473899,0,17
binance_240m_0d63cae4773fa4d4,binance,EDENUSDT,EDEN,240,v8,3,3,0,-3.0581706190330595,0,3
binance_240m_0d63cae4773fa4d4,binance,EDENUSDT,EDEN,240,v9,3,3,0,-3.0581706190330595,0,3
binance_240m_0db68c022d4b96ab,binance,ACHUSDT,ACH,240,v8,7,7,0,3.354324460030135,0,7
binance_240m_0db68c022d4b96ab,binance,ACHUSDT,ACH,240,v9,7,7,0,3.354324460030135,0,7
binance_240m_0eda4d94e43c6b73,binance,OMGUSDT,OMG,240,v8,1,1,0,-1.0299870967741938,0,1
binance_240m_0eda4d94e43c6b73,binance,OMGUSDT,OMG,240,v9,1,1,0,-1.0299870967741938,0,1
binance_240m_0f6c2ffc8eb93935,binance,1000WHYUSDT,1000WHY,240,v8,7,7,0,-3.23689940803922,0,8
binance_240m_0f6c2ffc8eb93935,binance,1000WHYUSDT,1000WHY,240,v9,6,6,0,-2.226190547279726,0,7
binance_240m_10d9df29051e5276,binance,1000RATSUSDT,1000RATS,240,v8,13,13,0,-5.88310747655017,0,13
binance_240m_10d9df29051e5276,binance,1000RATSUSDT,1000RATS,240,v9,12,12,0,-6.954802908022253,0,12
binance_240m_10ef4706f800c438,binance,POPCATUSDT,POPCAT,240,v8,13,13,0,-6.072781583962563,0,15
binance_240m_10ef4706f800c438,binance,POPCATUSDT,POPCAT,240,v9,13,13,0,-6.072781583962563,0,15
binance_240m_111198aee0710a02,binance,XVSUSDT,XVS,240,v8,12,12,0,-7.380427735386058,0,12
binance_240m_111198aee0710a02,binance,XVSUSDT,XVS,240,v9,11,11,0,-6.348858769868816,0,11
binance_240m_1179ac87893f8f0f,binance,TRUTHUSDT,TRUTH,240,v8,5,5,0,-5.1384361823616365,0,5
binance_240m_1179ac87893f8f0f,binance,TRUTHUSDT,TRUTH,240,v9,4,4,0,-4.101189194409828,0,4
binance_240m_11aea8ef6b4b2fc9,binance,POWRUSDT,POWR,240,v8,10,10,0,-1.5022287529672278,0,11
binance_240m_11aea8ef6b4b2fc9,binance,POWRUSDT,POWR,240,v9,8,8,0,-3.061959645041646,0,9
binance_240m_11ff9d91eece8b1b,binance,OMNIUSDT,OMNI,240,v8,7,6,1,-5.4739399958675925,0,7
binance_240m_11ff9d91eece8b1b,binance,OMNIUSDT,OMNI,240,v9,5,4,1,-3.4353327836228877,0,5
binance_240m_12f45795f1e36d93,binance,COMMONUSDT,COMMON,240,v8,0,0,0,0.0,0,0
binance_240m_12f45795f1e36d93,binance,COMMONUSDT,COMMON,240,v9,0,0,0,0.0,0,0
binance_240m_1350ba4be24dc57c,binance,DOGSUSDT,DOGS,240,v8,6,6,0,-1.4666521130015397,0,7
binance_240m_1350ba4be24dc57c,binance,DOGSUSDT,DOGS,240,v9,5,5,0,-0.423463877707422,0,6
binance_240m_13cfeb9d5e97c134,binance,ETHWUSDT,ETHW,240,v8,11,11,0,10.07371839585825,0,14
binance_240m_13cfeb9d5e97c134,binance,ETHWUSDT,ETHW,240,v9,10,10,0,11.102664687418354,0,13
binance_240m_1475f52221e55f4c,binance,BCHUSDT,BCH,240,v8,18,18,0,4.601985231859366,1,19
binance_240m_1475f52221e55f4c,binance,BCHUSDT,BCH,240,v9,15,15,0,7.205148102346189,1,15
binance_240m_154d70e98a3638a0,binance,BOMEUSDT,BOME,240,v8,12,12,0,18.524003641038153,1,15
binance_240m_154d70e98a3638a0,binance,BOMEUSDT,BOME,240,v9,12,12,0,18.524003641038153,1,14
binance_240m_159c68ffefabf23e,binance,LUMIAUSDT,LUMIA,240,v8,3,3,0,-2.2801226414502076,0,3
binance_240m_159c68ffefabf23e,binance,LUMIAUSDT,LUMIA,240,v9,3,3,0,-2.2801226414502076,0,3
binance_240m_163b04bfd1709948,binance,BSVUSDT,BSV,240,v8,9,9,0,-1.1185770344485582,0,10
binance_240m_163b04bfd1709948,binance,BSVUSDT,BSV,240,v9,9,9,0,-1.1185770344485582,0,9
binance_240m_173dbf00f1b29eb2,binance,ZKUSDT,ZK,240,v8,12,12,0,5.0270130533602995,0,13
binance_240m_173dbf00f1b29eb2,binance,ZKUSDT,ZK,240,v9,8,8,0,7.695747749483247,0,9
binance_240m_177c2535a57f53e0,binance,AEVOUSDT,AEVO,240,v8,17,17,0,-1.2587264757117342,0,20
binance_240m_177c2535a57f53e0,binance,AEVOUSDT,AEVO,240,v9,16,16,0,-0.2450273388436699,0,18
binance_240m_17b0cbf343b94332,binance,STXUSDT,STX,240,v8,7,7,0,-2.515282917624763,0,9
binance_240m_17b0cbf343b94332,binance,STXUSDT,STX,240,v9,7,7,0,-2.515282917624763,0,9
