step,family,arm,description,eligible,accepted,n_events,n_long,n_short,mean_gross_bp,mean_net_bp,control_net_bp,paired_excess_bp,win_rate,stop_rate,profit_factor,mean_terminal_r,median_mfe_r,hit_1r_rate,hit_2r_rate,hit_3r_rate,hit_5r_rate,robust_score,worst_fold_excess_bp,positive_folds,fold_count,min_fold_n
0,baseline,broad_candidate,broad causal K1→K2 candidate,True,True,2792,1385,1407,9.071353067919564,-10.92864693208045,-23.48393672226751,12.555289790187075,0.1518624641833811,0.83810888252149,0.8634249189411047,0.1748335122695151,1.31742424242427,0.43982808022922637,0.31912607449856734,0.23746418338108882,0.1565186246418338,12.728429107870292,0.33540616560667874,4,4,559
1,gap_window,gap_1_3,K1→K2 1–3 bars,True,False,2240,1145,1095,10.245411298161521,-9.754588701838493,-25.648322479166914,15.893733777328428,0.15401785714285715,0.8352678571428571,0.8783301535619549,0.1664789082376156,1.3641711229946778,0.4388392857142857,0.3200892857142857,0.24330357142857142,0.159375,12.145932918077529,11.0261923442307,4,4,434
1,gap_window,gap_1_5,K1→K2 1–5 bars,True,False,2428,1231,1197,8.90929879909367,-11.090701200906345,-23.745405432955504,12.65470423204917,0.15238879736408567,0.8377265238879736,0.861870346370849,0.17090299700547093,1.3636363636364077,0.44233937397034595,0.32042833607907745,0.23929159802306424,0.15733113673805602,10.354278279977223,4.461522648318868,4,4,484
1,gap_window,gap_2_5,K1→K2 2–5 bars,True,False,2088,1049,1039,7.654042549565829,-12.345957450434183,-20.702828279322542,8.356870828888363,0.1446360153256705,0.8457854406130269,0.83889361204271,0.2255981307064129,1.4285714285714457,0.44396551724137934,0.3184865900383142,0.2361111111111111,0.15996168582375478,3.7177963801501175,-7.032685940230484,3,4,418
1,gap_window,gap_2_8,K1→K2 2–8 bars,True,False,2372,1189,1183,7.058797286700728,-12.941202713299285,-20.57924795116628,7.638045237867004,0.14207419898819562,0.8486509274873525,0.8336427187945271,0.1798411131752699,1.4000000000000128,0.44013490725126475,0.31323777403035413,0.23018549747048903,0.15345699831365936,4.247852086362272,0.6150268954430046,4,4,465
1,gap_window,gap_3_8,K1→K2 3–8 bars,True,False,2134,1069,1065,6.0832467603377545,-13.91675323966226,-23.677410369442747,9.760657129780494,0.13495782567947517,0.8556701030927835,0.8234310050446466,0.15737302830736924,1.3333333333333357,0.436269915651359,0.30927835051546393,0.22774133083411435,0.14058106841611998,4.084947632077179,-7.056425740386636,3,4,417
1,gap_window,gap_1_8,K1→K2 1–8 bars,True,False,2622,1312,1310,8.52408573045598,-11.475914269544033,-24.794050085168063,13.318135815624036,0.15026697177726925,0.8394355453852022,0.8575856831837044,0.1618801240047378,1.3263403263403313,0.43707093821510296,0.3135011441647597,0.2322654462242563,0.15255530129672007,9.734614763328102,4.453382097746884,4,4,523
1,gap_window,gap_1_12,K1→K2 1–12 bars,True,False,2792,1385,1407,9.071353067919564,-10.92864693208045,-23.48393672226751,12.555289790187075,0.1518624641833811,0.83810888252149,0.8634249189411047,0.1748335122695151,1.31742424242427,0.43982808022922637,0.31912607449856734,0.23746418338108882,0.1565186246418338,12.728429107870292,0.33540616560667874,4,4,559
2,k1_cross_depth,cross_0,K1 full-rope depth ≥ 0 ATR,True,False,1476,709,767,4.696881601003139,-15.303118398996878,-24.00669517803892,8.703576779042056,0.14498644986449866,0.8448509485094851,0.813105145368822,0.038099992668519544,1.272727272727267,0.44037940379403795,0.3048780487804878,0.22899728997289973,0.15040650406504066,7.838291891376281,-12.340721539143697,3,4,299
2,k1_cross_depth,cross_0.05,K1 full-rope depth ≥ 0.05 ATR,False,False,1179,566,613,0.48345285922655695,-19.516547140773454,-22.920369715786695,3.403822575013247,0.15012722646310434,0.8371501272264631,0.7640158302586886,0.030401058527727058,1.3000000000000778,0.457167090754877,0.32230703986429177,0.24257845631891434,0.15860899067005937,-11.763796176028265,-23.308692833394037,2,4,239
2,k1_cross_depth,cross_0.1,K1 full-rope depth ≥ 0.1 ATR,False,False,935,438,497,4.282037999768964,-15.717962000231049,-28.09321860960101,12.375256609369972,0.15935828877005348,0.8299465240641711,0.8099452236919126,0.053987033900504695,1.3500000000000867,0.45989304812834225,0.3304812834224599,0.2449197860962567,0.17005347593582887,-2.4193357339124777,-6.258451810082712,2,4,195
