actual_trade_id,actual_decision_index,actual_decision_time,month,volbin,side,score,actual_gross_bp,actual_net_bp,control_number,control_decision_index,control_decision_time,control_entry_index,control_entry_time,control_entry_price,control_exit_decision_index,control_exit_decision_time,control_exit_index,control_exit_time,control_exit_price,control_exit_kind,control_gross_bp,control_net_bp,gross_excess_bp,excess_bp
0,22351,2026-01-06 09:00:00+00:00,2026-01,4,1,0.058704309336147294,442.2164268697843,422.216426869784,1,22356,2026-01-07 05:00:00+00:00,4910450,2026-01-07 05:00:00+00:00,4464.495,22471.0,2026-02-02 17:00:00+00:00,4935848,2026-02-02 17:00:00+00:00,4665.528,signal,450.2928102730541,430.2928102730541,-8.076383403269801,-8.076383403270086
0,22351,2026-01-06 09:00:00+00:00,2026-01,4,1,0.058704309336147294,442.2164268697843,422.216426869784,2,22341,2026-01-02 21:00:00+00:00,4907270,2026-01-02 21:00:00+00:00,4331.405,22342.0,2026-01-03 01:00:00+00:00,4907330,2026-01-04 23:00:00+00:00,4360.875,signal,68.03796920398896,48.037969203988965,374.17845766579535,374.17845766579507
0,22351,2026-01-06 09:00:00+00:00,2026-01,4,1,0.058704309336147294,442.2164268697843,422.216426869784,3,22355,2026-01-07 01:00:00+00:00,4910210,2026-01-07 01:00:00+00:00,4491.695,22471.0,2026-02-02 17:00:00+00:00,4935848,2026-02-02 17:00:00+00:00,4665.528,signal,387.0098036487346,367.0098036487346,55.20662322104971,55.206623221049426
1,22511,2026-02-11 05:00:00+00:00,2026-02,4,1,0.03459835637896172,-137.9903507824509,-157.99035078245305,1,22508,2026-02-10 17:00:00+00:00,4944128,2026-02-10 17:00:00+00:00,5023.575,22509.0,2026-02-10 21:00:00+00:00,4944368,2026-02-10 21:00:00+00:00,5029.898,signal,12.58665392673608,-7.41334607326392,-150.57700470918698,-150.57700470918914
1,22511,2026-02-11 05:00:00+00:00,2026-02,4,1,0.03459835637896172,-137.9903507824509,-157.99035078245305,2,22523,2026-02-13 05:00:00+00:00,4947541,2026-02-13 05:00:00+00:00,4976.375,22524.0,2026-02-13 09:00:00+00:00,4947781,2026-02-13 09:00:00+00:00,4982.389,signal,12.085102107457502,-7.914897892542498,-150.07545288990838,-150.07545288991054
1,22511,2026-02-11 05:00:00+00:00,2026-02,4,1,0.03459835637896172,-137.9903507824509,-157.99035078245305,3,22513,2026-02-11 13:00:00+00:00,4945268,2026-02-11 13:00:00+00:00,5083.025,22523.0,2026-02-13 05:00:00+00:00,4947541,2026-02-13 05:00:00+00:00,4976.375,signal,-209.81600523310328,-229.81600523310328,71.8256544506524,71.82565445065023
2,22560,2026-02-23 01:00:00+00:00,2026-02,2,1,0.21944680109630318,-131.71975339480684,-151.71975339480923,1,22563,2026-02-23 13:00:00+00:00,4956148,2026-02-23 13:00:00+00:00,5163.835,22614.0,2026-03-05 21:00:00+00:00,4967665,2026-03-05 21:00:00+00:00,5076.495,signal,-169.13785974958517,-189.13785974958517,37.41810635477833,37.418106354775944
2,22560,2026-02-23 01:00:00+00:00,2026-02,2,1,0.21944680109630318,-131.71975339480684,-151.71975339480923,2,22576,2026-02-25 17:00:00+00:00,4959147,2026-02-25 17:00:00+00:00,5211.985,22614.0,2026-03-05 21:00:00+00:00,4967665,2026-03-05 21:00:00+00:00,5076.495,signal,-259.9585378699287,-279.9585378699287,128.23878447512186,128.23878447511947
2,22560,2026-02-23 01:00:00+00:00,2026-02,2,1,0.21944680109630318,-131.71975339480684,-151.71975339480923,3,22590,2026-02-28 01:00:00+00:00,4962206,2026-03-01 23:00:00+00:00,5372.198,22614.0,2026-03-05 21:00:00+00:00,4967665,2026-03-05 21:00:00+00:00,5076.495,signal,-550.4320577908717,-570.4320577908717,418.71230439606484,418.71230439606245
3,22652,2026-03-16 01:00:00+00:00,2026-03,3,-1,0.14236760480950256,516.8109825318609,496.8109825318588,1,22656,2026-03-16 17:00:00+00:00,4977082,2026-03-16 17:00:00+00:00,4990.485,22729.0,2026-04-01 21:00:00+00:00,4993761,2026-04-01 21:00:00+00:00,4765.715,signal,450.39710569213076,430.39710569213076,66.41387683973011,66.41387683972806
