epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,147.687,1.32939,1.35498,1.41929,0.50337,0.59381,0.5106,0.25799,1.64859,1.59214,1.73306,0.0001,0.0001,0.0001
2,274.483,1.29161,1.28405,1.39386,0.52148,0.60157,0.51563,0.2613,1.63147,1.59925,1.71787,9.7525e-05,9.7525e-05,9.7525e-05
3,396.822,1.2742,1.24381,1.38001,0.52159,0.59372,0.50925,0.26359,1.64837,1.59317,1.72658,9.505e-05,9.505e-05,9.505e-05
4,519.475,1.2701,1.20843,1.38355,0.50781,0.59176,0.51292,0.26278,1.63743,1.59309,1.72588,9.2575e-05,9.2575e-05,9.2575e-05
5,641.353,1.23981,1.19408,1.36461,0.51681,0.58587,0.51928,0.266,1.63858,1.59246,1.7305,9.01e-05,9.01e-05,9.01e-05
6,764.006,1.23358,1.20054,1.35449,0.51788,0.58609,0.51395,0.26362,1.64418,1.603,1.72928,8.7625e-05,8.7625e-05,8.7625e-05
7,885.867,1.25201,1.20439,1.37635,0.51516,0.57802,0.51778,0.26403,1.64027,1.59639,1.72407,8.515e-05,8.515e-05,8.515e-05
8,1007.72,1.23795,1.18048,1.36158,0.51992,0.57497,0.51084,0.26103,1.65159,1.59113,1.73679,8.2675e-05,8.2675e-05,8.2675e-05
9,1129.51,1.22909,1.16412,1.36612,0.5097,0.60157,0.51138,0.26188,1.64879,1.60159,1.73534,8.02e-05,8.02e-05,8.02e-05
10,1251.12,1.21374,1.18404,1.33626,0.49668,0.58096,0.50398,0.25652,1.6558,1.60514,1.73568,7.7725e-05,7.7725e-05,7.7725e-05
11,1372.9,1.21269,1.1458,1.34606,0.50398,0.59274,0.51466,0.25915,1.66154,1.6068,1.74181,7.525e-05,7.525e-05,7.525e-05
12,1494.69,1.21182,1.14243,1.33942,0.5111,0.58373,0.51457,0.25835,1.66031,1.60779,1.74753,7.2775e-05,7.2775e-05,7.2775e-05
13,1616.94,1.20695,1.14734,1.34248,0.51458,0.57704,0.5128,0.25917,1.65873,1.61363,1.7514,7.03e-05,7.03e-05,7.03e-05
14,1738.7,1.18577,1.13665,1.32289,0.5113,0.57017,0.51255,0.25795,1.65536,1.59952,1.74615,6.7825e-05,6.7825e-05,6.7825e-05
15,1860.7,1.19313,1.11588,1.33096,0.50864,0.579,0.50121,0.25596,1.6649,1.60365,1.75246,6.535e-05,6.535e-05,6.535e-05
