epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2338.15,1.79672,1.86532,1.93327,0.49155,0.56774,0.47915,0.24894,1.55802,1.87703,1.61808,0.0001,0.0001,0.0001
2,4903.71,1.66357,1.75526,1.79172,0.49003,0.55514,0.47494,0.2548,1.5537,1.87642,1.6255,9.7525e-05,9.7525e-05,9.7525e-05
3,7094.31,1.61256,1.69018,1.74851,0.50824,0.55325,0.49589,0.26442,1.54169,1.83115,1.61817,9.505e-05,9.505e-05,9.505e-05
4,9169.08,1.57198,1.64847,1.7145,0.49798,0.56585,0.48478,0.26085,1.52937,1.83435,1.61416,9.2575e-05,9.2575e-05,9.2575e-05
5,11273.8,1.5516,1.61528,1.68882,0.50605,0.51645,0.47825,0.25804,1.53586,1.80931,1.61605,9.01e-05,9.01e-05,9.01e-05
6,13410,1.53193,1.55372,1.66745,0.49964,0.51985,0.47904,0.25476,1.54567,1.71046,1.62141,8.7625e-05,8.7625e-05,8.7625e-05
7,15508.3,1.50851,1.49378,1.64589,0.47737,0.55655,0.48734,0.2583,1.52907,1.68357,1.60725,8.515e-05,8.515e-05,8.515e-05
8,17578.9,1.48306,1.44324,1.62519,0.4757,0.57229,0.49587,0.26475,1.53782,1.63679,1.61407,8.2675e-05,8.2675e-05,8.2675e-05
9,19661.8,1.46465,1.39093,1.6054,0.48915,0.59168,0.50595,0.2703,1.54599,1.6043,1.62184,8.02e-05,8.02e-05,8.02e-05
10,21763,1.45906,1.36849,1.59748,0.49971,0.61059,0.51432,0.27347,1.53771,1.59346,1.61933,7.7725e-05,7.7725e-05,7.7725e-05
11,23837.4,1.4299,1.34887,1.57873,0.51202,0.61878,0.5232,0.27789,1.53409,1.56688,1.61517,7.525e-05,7.525e-05,7.525e-05
12,25928.9,1.41098,1.32926,1.55678,0.51376,0.60521,0.52437,0.2778,1.54132,1.57064,1.62071,7.2775e-05,7.2775e-05,7.2775e-05
13,28011.7,1.40182,1.31974,1.54978,0.53852,0.59042,0.53255,0.28055,1.53426,1.57317,1.61344,7.03e-05,7.03e-05,7.03e-05
14,30127.8,1.39705,1.31781,1.54153,0.51075,0.6213,0.52706,0.27934,1.53966,1.56378,1.61741,6.7825e-05,6.7825e-05,6.7825e-05
15,33183.6,1.37341,1.28086,1.52633,0.52083,0.61437,0.53229,0.28259,1.53374,1.56712,1.61456,6.535e-05,6.535e-05,6.535e-05
16,36447.5,1.37044,1.28337,1.51854,0.53235,0.60176,0.52425,0.27838,1.53958,1.56432,1.62001,6.2875e-05,6.2875e-05,6.2875e-05
17,39744.3,1.36368,1.27103,1.51034,0.52677,0.61234,0.52697,0.28144,1.53694,1.5743,1.62122,6.04e-05,6.04e-05,6.04e-05
18,41679.6,1.35567,1.26568,1.50369,0.52216,0.60933,0.52523,0.27965,1.53915,1.56954,1.61989,5.7925e-05,5.7925e-05,5.7925e-05
19,43445.9,1.34235,1.262,1.49244,0.51769,0.63516,0.52987,0.2816,1.53612,1.56849,1.62029,5.545e-05,5.545e-05,5.545e-05
20,45730.4,1.34478,1.26323,1.50046,0.52707,0.61374,0.52625,0.27767,1.541,1.57366,1.62522,5.2975e-05,5.2975e-05,5.2975e-05
21,47671.9,1.33091,1.24438,1.48434,0.53204,0.60681,0.53506,0.28326,1.54263,1.56498,1.62218,5.05e-05,5.05e-05,5.05e-05
22,49690.9,1.33625,1.24634,1.48591,0.51313,0.63755,0.53397,0.28357,1.53723,1.56713,1.6191,4.8025e-05,4.8025e-05,4.8025e-05
23,51722.8,1.32347,1.23674,1.48083,0.51592,0.63201,0.53818,0.28353,1.54242,1.56609,1.62632,4.555e-05,4.555e-05,4.555e-05
24,53827.7,1.31389,1.22968,1.47416,0.52655,0.6244,0.53836,0.28252,1.54153,1.56393,1.62349,4.3075e-05,4.3075e-05,4.3075e-05
25,55972.7,1.3138,1.23158,1.46806,0.53235,0.62886,0.53167,0.28018,1.54273,1.57323,1.62759,4.06e-05,4.06e-05,4.06e-05
26,58149,1.31092,1.22076,1.47236,0.51882,0.62823,0.53005,0.28219,1.54352,1.56676,1.62597,3.8125e-05,3.8125e-05,3.8125e-05
27,60336.9,1.30293,1.20939,1.46223,0.53427,0.61059,0.52859,0.28111,1.54643,1.57016,1.62981,3.565e-05,3.565e-05,3.565e-05
28,62543.1,1.30639,1.2184,1.46514,0.52023,0.62792,0.53309,0.28322,1.54373,1.56399,1.62596,3.3175e-05,3.3175e-05,3.3175e-05
29,64553.3,1.30789,1.21533,1.46185,0.52136,0.62256,0.53133,0.28327,1.54565,1.56036,1.62946,3.07e-05,3.07e-05,3.07e-05
30,66337.9,1.30668,1.22122,1.46499,0.51693,0.64398,0.5392,0.28353,1.54792,1.56682,1.62759,2.8225e-05,2.8225e-05,2.8225e-05
31,68466.4,1.29358,1.20083,1.45659,0.51778,0.62855,0.53258,0.28182,1.54558,1.568,1.63032,2.575e-05,2.575e-05,2.575e-05
32,70203.9,1.28532,1.20501,1.44966,0.53732,0.58979,0.53246,0.28232,1.54972,1.5672,1.63186,2.3275e-05,2.3275e-05,2.3275e-05
