src,symbol,bars,start,end
okx,ETH_USDT_SWAP,35040,2025-07-04,2026-07-04
okx,HYPE_USDT,17700,2025-12-16,2026-06-18
okx,DOT_USDT,17700,2025-12-16,2026-06-18
okx,ICP_USDT,17700,2025-12-16,2026-06-18
okx,PAXG_USDT,17700,2025-12-16,2026-06-18
okx,UNI_USDT,17700,2025-12-16,2026-06-18
okx,WLFI_USDT,17700,2025-12-16,2026-06-18
okx,ENA_USDT,17700,2025-12-16,2026-06-18
okx,ONDO_USDT,17700,2025-12-16,2026-06-18
okx,AAVE_USDT,17700,2025-12-16,2026-06-18
okx,JTO_USDT,17700,2025-12-16,2026-06-18
okx,FIL_USDT,17700,2025-12-16,2026-06-18
okx,PUMP_USDT,17700,2025-12-16,2026-06-18
okx,SUI_USDT,17700,2025-12-16,2026-06-18
okx,BIO_USDT,17700,2025-12-16,2026-06-18
okx,APT_USDT,17700,2025-12-16,2026-06-18
okx,XLM_USDT,17700,2025-12-16,2026-06-18
okx,IP_USDT,17700,2025-12-16,2026-06-18
okx,ZEC_USDT,17700,2025-12-16,2026-06-18
okx,APE_USDT,17700,2025-12-16,2026-06-18
okx,SOL_USDT,17700,2025-12-16,2026-06-18
okx,CFX_USDT,17700,2025-12-16,2026-06-18
okx,WLD_USDT,17700,2025-12-16,2026-06-18
okx,ASTER_USDT,17700,2025-12-16,2026-06-18
okx,OKB_USDT,17700,2025-12-16,2026-06-18
okx,NIGHT_USDT,17700,2025-12-16,2026-06-18
okx,XAUT_USDT,17700,2025-12-16,2026-06-18
okx,ORDI_USDT,17700,2025-12-16,2026-06-18
okx,XPL_USDT,17700,2025-12-16,2026-06-18
okx,LTC_USDT,17700,2025-12-16,2026-06-18
okx,ALLO_USDT,17700,2025-12-16,2026-06-18
okx,TRX_USDT,17700,2025-12-16,2026-06-18
okx,BNB_USDT,17700,2025-12-16,2026-06-18
okx,DOGE_USDT,17700,2025-12-16,2026-06-18
okx,CRV_USDT,17700,2025-12-16,2026-06-18
